case,top_crno,top_corpNm,top_region,top_addr,top_sicNm,affiliate_crno,affiliate_corpNm,affiliate_region,affiliate_addr,affiliate_sicNm,subsidiary_name,subsidiary_region,subsidiary_addr,subsidiary_bizCtt,domestic,name_norm,대분류,top_대분류,affiliate_대분류,subsidiary_대분류
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101116557114,롯데정보통신(주),서울,서울특별시 금천구 가산디지털2로 179,컴퓨터 시스템 통합 자문 및 구축 서비스업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101116768969,롯데컬처웍스(주),서울,서울특별시 송파구 올림픽로 295 롯데월드타워 18층,영화관 운영업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101117061081,롯데위탁관리부동산투자회사(주),서울,서울특별시 송파구 올림픽로 300 롯데월드타워 30층,부동산 임대업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1341110213433,롯데오토리스(주),경기,경기도 안양시 동안구 전파로 88 8층(호계동 신원비젼타워),금융리스업,,,,,,,유통·물류;금융,유통·물류,금융,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1349110029305,(주)백학음료,경기,경기도 연천군 백학면 장백로 589,비알코올 음료 및 얼음 제조업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1501110082218,(주)충북소주,충북,충청북도 청주시 청원구 내수읍 우산길 57,소주 제조업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1948110004183,산청음료(주),경남,경상남도 산청군 시천면 남명로 59-61,생수 생산업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,2062110050365,롯데베르살리스엘라스토머스(주),전남,전라남도 여수시 여수산단4로 53 (중흥동),합성고무 제조업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,2101110061897,데크항공(주),전북,전북특별자치도 군산시 서해로 251,항공기용 부품 제조업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1101110031479,(주)지에스글로벌,서울,서울특별시 강남구 논현로 508 GS강남타워,그 외 기타 특정 상품 중개업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1101110033433,에스와이티에스(주),서울,서울특별시 강남구 테헤란로 301(역삼동) 삼정개발빌딩 6층,모피 및 가죽 제조업,,,,,,,부동산·건설;제조,부동산·건설,제조,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1101110078819,GS칼텍스(주),서울,"서울특별시 강남구 논현로 508 (역삼동, GS강남타워)",원유 정제처리업,,,,,,,부동산·건설;에너지·환경,부동산·건설,에너지·환경,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1101110411142,파르나스호텔(주),서울,서울특별시 강남구 테헤란로 521,호텔업,,,,,,,부동산·건설;서비스,부동산·건설,서비스,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1101111007023,지에스엠비즈(주),서울,서울특별시 영등포구 선유로43길 19,액체연료 및 관련제품 도매업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1101114303030,지에스바이오(주),전남,전라남도 여수시 여수산단로 923-106,바이오 연료 및 혼합물 제조업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1201110348096,인천종합에너지(주),인천,인천광역시 연수구 아카데미로51번길 37,"증기, 냉·온수 및 공기조절 공급업",,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1313110093131,(주)피엘에스,경기,경기 평택시 포승읍 서동대로 437-100,,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1341110074744,GS파워(주),경기,경기도 안양시 동안구 부림로 100,발전업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1350110121570,(주)지에스이앤알,경기,경기도 안산시 단원구 해안로 404 (초지동),전기업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1447110019225,(주)지에스동해전력,강원,"강원도 동해시 공단4로 36 (구호동, GS동해전력)",화력 발전업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1650110004621,지에스이피에스(주),충남,충청남도 당진시 송악읍 부곡공단로 241,화력 발전업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1745110004266,(주)지에스풍력발전,경북,경상북도 영양군 영양읍 무네미길 255,전기발전업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,1812110008699,(주)지에스엔텍,울산,울산광역시 남구 용잠로 353,"증류기, 열교환기 및 가스발생기 제조업",,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002694,지에스건설(주),서울,서울특별시 종로구 종로 33 그랑서울,아파트 건설업,2844110079755,(주)지에스포천그린에너지,경기,경기도 포천시 신북면 장자경제로 78,"증기, 냉ㆍ온수 및 공기조절 공급업",,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110002818,한국제지(주),서울,서울특별시 강남구  테헤란로 504 해성빌딩 19층,크라프트지 및 상자용 판지 제조업,1101110028145,해성산업(주),서울,서울 강남구 대치3동 942,비주거용 건물 임대업,,,,,,,제조;부동산·건설,제조,부동산·건설,
1,1101110002818,한국제지(주),서울,서울특별시 강남구  테헤란로 504 해성빌딩 19층,크라프트지 및 상자용 판지 제조업,1101110212889,계양전기(주),서울,서울특별시 강남구 테헤란로 508 (대치동)해성2빌딩 2층,그 외 자동차용 신품 부품 제조업,,,,,,,제조,제조,제조,
1,1101110002818,한국제지(주),서울,서울특별시 강남구  테헤란로 504 해성빌딩 19층,크라프트지 및 상자용 판지 제조업,1350110040291,(주)한국팩키지,경기,경기도 안산시 단원구 해안로 227,식품 위생용 종이 상자 및 용기 제조업,,,,,,,제조;모름,제조,모름,
1,1101110002818,한국제지(주),서울,서울특별시 강남구  테헤란로 504 해성빌딩 19층,크라프트지 및 상자용 판지 제조업,1942110223694,해성디에스(주),서울,서울특별시 강남구 테헤란로 508 (해성2빌딩) 8층,그 외 기타 전자부품 제조업,,,,,,,제조;모름,제조,모름,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1101110008212,대한해운(주),서울,서울특별시 서대문구 신촌역로 30 -,기타 해상 운송업,,,,,,,모름;유통·물류,모름,유통·물류,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1101110008262,경남기업(주),충남,"충청남도 아산시 배방읍 모산로 38-11 (공수리, 아산배방1단지우방아이유쉘) 101호",아파트 건설업,,,,,,,모름;부동산·건설,모름,부동산·건설,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1101110020307,삼환기업(주),서울,"서울특별시 서대문구 신촌역로 30 (신촌동, 신촌민자역사), 2층",토목시설물 건설업,,,,,,,모름;부동산·건설,모름,부동산·건설,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1101110356140,대한상선 주식회사,서울,"서울특별시 서대문구 신촌역로 30 (신촌동, 신촌민자역사)",외항 화물 운송업,,,,,,,모름;유통·물류,모름,유통·물류,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1101111801277,에스엠신용정보(주),서울,서울특별시 영등포구 선유동1로 22 9층,신용 조사 및 추심 대행업,,,,,,,모름,모름,모름,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1101113783457,(주)티케이케미칼,대구,대구광역시 북구 원대로 128,합성섬유 제조업,,,,,,,모름,모름,모름,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1243110028914,에스엠스틸(주),경기,경기도 이천시 애련정로 126,건물 건설업,,,,,,,모름,모름,모름,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1311110191187,에스엠하이플러스(주),서울,"서울특별시 강서구 마곡중앙8로 78 3층 (마곡동, 에스엠알앤디센터)",소프트웨어 개발 및 공급업,,,,,,,모름,모름,모름,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1351110040869,에스엠중공업(주),경기,"경기도 군포시 번영로 504 (산본동, 산본역) 산본쇼핑센터 3층",토목건축공사업,,,,,,,모름,모름,모름,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1449110003109,한덕철광산업(주),강원,강원도 정선군 신동읍 조동1길 154,철 광업,,,,,,,모름,모름,모름,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1701110005042,(주)남선알미늄,대구,대구광역시 달성군 논공읍 논공중앙로 288,"알루미늄 압연, 압출 및 연신제품 제조업",,,,,,,모름;제조,모름,제조,
1,1101110002834,(주)삼라,경기,경기도 이천시 호법면 중부대로 859 (안평리),주거용 건물 개발 및 공급업,1846110007779,에스엠인더스트리(주),경남,경상남도 김해시 생림면 나전로 276,유리 및 창호 공사업,,,,,,,모름,모름,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,,,,,,,제조;금융,제조,금융,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101110202989,(주)한화갤러리아,서울,서울특별시 영등포구 63로 50,백화점업,,,,,,,제조;유통·물류,제조,유통·물류,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101110249709,한화호텔앤드리조트 (주),서울,서울특별시 중구 소공로 119 (태평로2가),휴양콘도 운영업,,,,,,,제조;서비스,제조,서비스,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101110360935,한화솔루션(주),서울,서울특별시 중구 청계천로 86 한화빌딩,합성수지 및 기타 플라스틱 물질 제조업,,,,,,,제조,제조,제조,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101112558405,(주)한화건설,경기,경기도 시흥시 대은로 81 모비딕빌딩 8층 (대야동),건물 건설업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101113807223,한화에너지(주),세종,"세종특별자치시 한누리대로 411 (어진동, KT&G세종타워A)",기타 발전업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101114143577,(주)제주해양과학관,제주,제주특별자치도 서귀포시 섭지코지로 95,식물원 및 동물원 운영업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1101114231596,(주)한화도시개발,충남,충남 아산시 둔포면 해위안길 62번길 16 (신항리),비주거용 건물 개발 및 공급업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1311110514404,한화테크윈(주),경기,경기도 성남시 분당구 판교로319번길 6,방송장비 제조업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1601110003410,(주)한화갤러리아타임월드,대전,대전광역시 서구 대덕대로 211 (둔산동 갤러리아타임월드백화점),백화점,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1614110001243,한화종합화학(주),울산,울산광역시 남구 사평로 71 (부곡동),기초 화학물질 제조업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1614110013066,한화토탈(주),충남,충청남도 서산시 대산읍 독곶2로 103,기초 화학물질 제조업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1614110017852,(주)서산테크노밸리,충남,"충청남도 서산시 성연면 성연3로 240-72 (왕정리, 한화이글스서산구장)",기타 부동산 개발 및 공급업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1760110020640,한화시스템(주),경북,경상북도 구미시 1공단로 244,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",,,,,,,제조,제조,제조,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1942110000480,한화에어로스페이스(주),경남,경남 창원시 성산구 창원대로 1204 (성주동),항공기용 엔진 및 부품 제조업,,,,,,,제조,제조,제조,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1942110273300,한화디펜스(주),경남,경상남도 창원시 성산구 공단로 799,그 외 기타 운송장비 제조업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1942110273318,한화파워시스템(주),경기,경기도 성남시 분당구 판교로319번길 6,기체 펌프 및 압축기 제조업,,,,,,,제조;모름,제조,모름,
1,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,1942110273326,한화정밀기계(주),경남,경상남도 창원시 성산구 정동로 84,특수 목적용 기계 제조업,,,,,,,제조;모름,제조,모름,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1101112101816,(주)동원에프앤비,서울,서울특별시 서초구 마방로 68,기타 식품 제조업,,,,,,,식품·농업;제조,식품·농업,제조;식품·농업,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1101112217572,(주)동원엔터프라이즈,서울,"서울특별시 서초구 마방로 68 (양재동, 동원산업빌딩)",비금융 지주회사,,,,,,,식품·농업;금융,식품·농업,금융,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1101113809138,동원팜스(주),충남,충청남도 논산시 가야곡면 동안로 1281,배합 사료 제조업,,,,,,,식품·농업;모름,식품·농업,모름,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1101114004787,(주)테크팩솔루션,서울,"서울특별시 서초구 마방로 68 (양재동, 동원산업빌딩) 5층",플라스틱 용기 제조업,,,,,,,식품·농업;모름,식품·농업,모름,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1101114505769,동원로엑스(주),서울,서울 서초구 마방로68(양재동) 동원산업빌딩,일반 화물자동차 운송업,,,,,,,식품·농업;모름,식품·농업,모름,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1311110330941,동원건설산업(주),경기,경기도 안양시 동안구 시민대로 327번길 7-512,건물 건설업,,,,,,,식품·농업;모름,식품·농업,모름,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1341110011712,동원시스템즈(주),충남,성남시 중원구 갈마치로 302,포장용 플라스틱제품 제조업,,,,,,,식품·농업;모름,식품·농업,모름,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1615110022122,(주)동원홈푸드,서울,서울특별시 서초구 마방로 68,가공식품 도매업,,,,,,,식품·농업;모름,식품·농업,모름,
1,1101110003098,동원산업(주),서울,서울특별시 서초구 마방로 68 (양재동),원양 어업,1801110985002,동원로엑스냉장(주),부산,부산광역시 중구 중앙대로 70,냉장 및 냉동 창고업,,,,,,,식품·농업;모름,식품·농업,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101110002959,(주)한화,서울,서울특별시 중구  청계천로 86 24층,화약 및 불꽃제품 제조업,,,,,,,금융;제조,금융,제조,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101110202989,(주)한화갤러리아,서울,서울특별시 영등포구 63로 50,백화점업,,,,,,,금융;유통·물류,금융,유통·물류,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101110249709,한화호텔앤드리조트 (주),서울,서울특별시 중구 소공로 119 (태평로2가),휴양콘도 운영업,,,,,,,금융;서비스,금융,서비스,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101110360935,한화솔루션(주),서울,서울특별시 중구 청계천로 86 한화빌딩,합성수지 및 기타 플라스틱 물질 제조업,,,,,,,금융;제조,금융,제조,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101112558405,(주)한화건설,경기,경기도 시흥시 대은로 81 모비딕빌딩 8층 (대야동),건물 건설업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101113807223,한화에너지(주),세종,"세종특별자치시 한누리대로 411 (어진동, KT&G세종타워A)",기타 발전업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101114143577,(주)제주해양과학관,제주,제주특별자치도 서귀포시 섭지코지로 95,식물원 및 동물원 운영업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1101114231596,(주)한화도시개발,충남,충남 아산시 둔포면 해위안길 62번길 16 (신항리),비주거용 건물 개발 및 공급업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1311110514404,한화테크윈(주),경기,경기도 성남시 분당구 판교로319번길 6,방송장비 제조업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1601110003410,(주)한화갤러리아타임월드,대전,대전광역시 서구 대덕대로 211 (둔산동 갤러리아타임월드백화점),백화점,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1614110001243,한화종합화학(주),울산,울산광역시 남구 사평로 71 (부곡동),기초 화학물질 제조업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1614110013066,한화토탈(주),충남,충청남도 서산시 대산읍 독곶2로 103,기초 화학물질 제조업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1614110017852,(주)서산테크노밸리,충남,"충청남도 서산시 성연면 성연3로 240-72 (왕정리, 한화이글스서산구장)",기타 부동산 개발 및 공급업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1760110020640,한화시스템(주),경북,경상북도 구미시 1공단로 244,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",,,,,,,금융;제조,금융,제조,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1942110000480,한화에어로스페이스(주),경남,경남 창원시 성산구 창원대로 1204 (성주동),항공기용 엔진 및 부품 제조업,,,,,,,금융;제조,금융,제조,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1942110273300,한화디펜스(주),경남,경상남도 창원시 성산구 공단로 799,그 외 기타 운송장비 제조업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1942110273318,한화파워시스템(주),경기,경기도 성남시 분당구 판교로319번길 6,기체 펌프 및 압축기 제조업,,,,,,,금융;모름,금융,모름,
1,1101110003155,한화투자증권(주),서울,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,증권 중개업,1942110273326,한화정밀기계(주),경남,경상남도 창원시 성산구 정동로 84,특수 목적용 기계 제조업,,,,,,,금융;모름,금융,모름,
1,1101110003212,태양금속공업(주),경기,경기도 안산시 단원구  해봉로 212 (성곡동),볼트 및 너트류 제조업,1350110033246,(주)현양,,,,,,,,,,제조;모름,제조,모름,
1,1101110003345,신성통상(주),서울,서울특별시 강동구 풍성로63길 84(둔촌동),남녀용 겉옷 및 셔츠 도매업,1101110497465,에이션패션,서울,서울특별시 강동구 양재대로102길 51 (둔촌동),남녀용 겉옷 및 셔츠 도매업,,,,,,,유통·물류,유통·물류,유통·물류,
1,1101110003345,신성통상(주),서울,서울특별시 강동구 풍성로63길 84(둔촌동),남녀용 겉옷 및 셔츠 도매업,1342110001894,(주)가나안,서울,"서울특별시 강동구 풍성로63길 84, 3층 (둔촌동, 신성빌딩)",가죽·가방 및 신발 제조업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110003353,일광이앤씨(주),경기,"경기도 성남시 분당구 돌마로 48 (구미동, 구미동후성빌딩) 5층",기타 토목시설물 건설업,1314110189425,(주)후성,경기,경기도 성남시 분당구 돌마로 48,기타 기초 무기화학 물질 제조업,,,,,,,부동산·건설;제조,부동산·건설,제조,
1,1101110003353,일광이앤씨(주),경기,"경기도 성남시 분당구 돌마로 48 (구미동, 구미동후성빌딩) 5층",기타 토목시설물 건설업,1348110023854,후성정공(주),경기,경기도 화성시 팔탄면 삼천병마로 355-33,1차 비철금속 제조업,,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110003353,일광이앤씨(주),경기,"경기도 성남시 분당구 돌마로 48 (구미동, 구미동후성빌딩) 5층",기타 토목시설물 건설업,1601110119598,유콘시스템(주),대전,대전광역시 유성구 테크노2로 40-9,"레이더, 항행용 무선기기 및 측량기구 제조업",,,,,,,부동산·건설;모름,부동산·건설,모름,
1,1101110003353,일광이앤씨(주),경기,"경기도 성남시 분당구 돌마로 48 (구미동, 구미동후성빌딩) 5층",기타 토목시설물 건설업,1812110003091,후성에이치디에스(주),경기,경기도 화성시 팔탄면 현대기아로 72-37,경영 컨설팅업,,,,,,,부동산·건설;모름,부동산·건설,모름,
