Unnamed: 0,crno,corpNm,corpEnsnNm,enpPbanCmpyNm,enpRprFnm,bzno,enpBsadr,enpDtadr,enpHmpgUrl,enpTlno,enpEstbDt,enpEmpeCnt,lastOpegDt,상장여부
43,1101112276809,(주)세아홀딩스,SEAH HOLDINGS CORP,세아홀딩스,"[""이태성"", ""김수호""]",1048163174,서울특별시 마포구 양화로 45,,www.seahholdings.co.kr,02-6970-0110,20010701,63,20260915,1
44,1101112322438,(주)신한금융지주회사,"SHINHAN FINANCIAL GROUP CO.,LTD",신한지주,"[""진옥동""]",1048164625,서울특별시 중구 세종대로9길 20 태평로2가,,www.shinhangroup.com,02-6360-3000,20010901,195,20260915,1
45,1101112341850,모트렉스 주식회사,"MOTREX CO., LTD",모트렉스,"[""이형환""]",1088150292,경기도 성남시 수정구 금토로80번길 56 위든타워 1동 1301호,,www.motrex.co.kr,070-4862-6100,20011001,440,20260915,0
46,1101112365321,(주)국민은행,KOOKMIN BANK,국민은행,"[""이환주""]",2018168693,서울특별시 영등포구 국제금융로8길 26 국민은행,,www.kbstar.com,02-2073-7114,20011101,15389,20260915,0
47,1101112407470,코스맥스엔비티(주),"COSMAX NBT, INC.",코스맥스엔비티,"[""김남중""]",2148701803,"경기도 성남시 분당구 판교로256번길 25 GB2빌딩 6층 (삼평동,제C동)",,http://www.cosmaxnbt.com,031-8016-8527,20020102,632,20260915,0
48,1101112487050,LG전자(주),LG ELECTRONICS INC.,LG전자,"[""류재철""]",1078614075,서울특별시 영등포구  여의대로 128 LG트윈타워,,www.lge.co.kr,02-3777-1114,20020401,34144,20260915,1
49,1101112507551,(주)형지엘리트,HYUNGJI ELITE INC.,형지엘리트,"[""최준호""]",1058639463,"인천광역시 연수구 하모니로177번길 49 업무동 10층(송도동, 형지글로벌 패션복합센터)",,www.hyungji-elite.com,032-454-8404,20020425,148,20260915,1
50,1101112611906,티케이지휴켐스(주),"TKG Huchems Co.,Ltd.",티케이지휴켐스,"[""김우찬""]",2018176228,서울특별시 중구 마른내로 27 타워107 15층,,tkg.huchems.com,02-2262-0600,20020915,298,20260915,1
51,1101112644725,(주)현대백화점,"HYUNDAI DEPARTMENT STORE CO.,LTD",현대백화점,"[""정지선"", ""정지영""]",2118721455,서울특별시 강남구 테헤란로98길 12 -,,home.e-hyundai.com,02-549-2233,20021101,3139,20260915,1
52,1101112915605,(주)인티큐브,"Inticube Co., Ltd.",인티큐브,"[""조형석""]",1208661116,"서울특별시 마포구 월드컵북로 396, 14층 (상암동, 누리꿈스퀘어비즈니스타워)",,www.hansolinticube.com,02)6005-3000,20031215,204,20260915,0
53,1101113001685,SK디앤디(주),"SK D&D Co.,Ltd.",SK디앤디,"[""김도현""]",1018604792,경기도 성남시 분당구 판교로 332 (삼평동),,www.skdnd.com,02-398-4700,20040427,151,20260915,1
54,1101113326588,롯데렌탈(주),"LOTTE rental co., ltd.",롯데렌탈,"[""이장섭""]",2148779183,"경기도 안양시 동안구 전파로 88, 8층",,www.lotterental.com/,02-3404-9994,20051020,1326,20260915,1
55,1101113555187,(주)LF,LF Corp.,LF,"[""오규식"", ""김상균""]",2118787724,서울특별시 강남구 언주로 870 (신사동),,www.lfcorp.com,02-3441-8114,20061103,910,20260915,1
56,1101113748253,CJ제일제당(주),CJ CHEILJEDANG CORP.,CJ제일제당,"[""손경식"", ""윤석환""]",1048609535,서울특별시 중구  동호로 330,,www.cj.co.kr,726-8114,20070904,8232,20260915,1
57,1101113836678,주식회사 디비메탈,"DB Metal Co., Ltd.",디비메탈,"[""김경덕""]",1208724194,서울특별시 강남구 테헤란로 432,,www.dbmetal.co/,02-3484-1892,20080201,137,20260915,0
58,1101114071207,(주)엘엑스하우시스,"LX HAUSYS, LTD.",LX하우시스,"[""노진서""]",1078718122,서울특별시 종로구 새문안로 58 LX광화문빌딩,,www.lxhausys.com,080-005-4000,20090402,2728,20260915,1
59,1101114255463,케이씨코트렐(주),"KC Cottrell Co., Ltd.",KC코트렐,"[""박기서""]",1058738796,서울특별시 마포구 상암산로 34디지털큐브 12층,,www.kc-cottrell.com/,02-320-6114,20100106,155,20260915,1
60,1101114264828,(주)서진오토모티브,"Seojin Automotive Co.,Ltd.",서진오토모티브,"[""고만윤""]",1078730882,경기도 시흥시 공단1대로 313,,www.secoautomotive.com,031-496-1500,20100119,290,20260915,0
61,1101114382612,대성산업(주),"DAESUNG INDUSTRIAL CO., LTD.",대성산업,"[""김영대"", ""이은우""]",1018656344,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티 9층, 11층)",,www.daesung.co.kr,02-2170-2160,20100630,375,20260915,1
62,1101114382878,(주)피제이메탈,"PJ METAL CO., LTD",피제이메탈,"[""고이석""]",1208756037,서울특별시 강남구 테헤란로81길 13삼성동 동원빌딩 11층,,-,02-555-4451,20100630,79,20260915,0
63,1101114546523,주식회사 케이비국민카드,"KB Kookmin Card Co., Ltd",케이비국민카드,"[""김재관""]",1018661717,서울특별시 종로구 새문안로3길 30,,www.kbcard.com,02-6936-2272,20110302,1438,20260915,0
64,1101114560268,제이티비씨 주식회사,"JTBC Co., Ltd",제이티비씨,"[""전진배"", ""남중권""]",1048633995,서울특별시 마포구 상암산로 38,,www.jtbc.co.kr/,02-751-6925,20110321,540,20260915,0
65,1101114566406,(주)메리츠금융지주,MERITZ FINANCIAL GROUP INC.,메리츠금융지주,"[""김용범""]",2208814824,서울특별시 강남구  강남대로 382,,www.meritzgroup.com,02-2018-6824,20110328,38,20260915,1
66,1101114594952,(주)이마트,E-MART Inc.,이마트,"[""한채양""]",2068650913,서울특별시 중구 세종대로7길 37,,emartcompany.com/ko/main.do,02-380-5678,20110503,23075,20260915,1
67,1101114720945,(주)삼양사,Samyang Corporation,삼양사,"[""이운익""]",1018666838,서울특별시 종로구 종로33길 31 삼양사,,www.samyangcorp.com,02-740-7114,20111103,1257,20260915,1
68,1101114731299,넷마블(주),Netmarble Corporation,넷마블,"[""김병규""]",1058764746,"서울특별시 구로구 디지털로26길 38 (구로동, 지타워)",,company.netmarble.com,02-2271-7114,20111117,795,20260915,1
69,1101114951243,애경케미칼(주),"AEKYUNG CHEMICAL CO., LTD",애경케미칼,"[""고준""]",1138663305,서울특별시 마포구 양화로 188 9층(동교동),,www.aekyungchemical.co.kr,02-6078-3000,20120903,716,20260915,1
70,1101114952093,한국타이어앤테크놀로지(주),"HANKOOK TIRE & TECHNOLOGY CO.,LTD",한국타이어앤테크놀로지,"[""안종선"", ""이상훈""]",2208843431,경기도 성남시 분당구 판교로 286 -,,www.hankooktire.com,031-5178-7000,20120901,6493,20260915,1
71,1101115079713,동아에스티(주),"DONG-A ST CO.,LTD",동아에스티,"[""정재훈""]",2048640122,서울 동대문구 용두동 138 ~255 천호대로 64,,www.donga.co.kr,02-920-8114,20130304,1685,20260915,1
72,1101115101839,주식회사 우리카드,"Woori Card Co., Ltd.",우리카드,"[""진성원""]",1018679070,"서울특별시 종로구 종로1길 50 (중학동, 더케이트윈타워)",,www.wooricard.com,1588-9955,20130401,1053,20260915,0
73,1101115197193,(주)한진칼,HANJINKAL,한진칼,"[""조원태"", ""류경표""]",2018634368,서울특별시 중구 서소문로 117 -,,www.hanjinkal.co.kr,02-726-6166,20130801,25,20260915,1
74,1101115238096,아세아시멘트(주),"ASIA CEMENT CO.,LTD.",아세아시멘트,"[""임경태"", ""김웅종""]",2208864630,서울 강남구 역삼2동 726 아세아타워빌딩 14층,,www.asiacement.co.kr,02-527-6582,20131002,495,20260915,1
75,1101115260669,(주)종근당,Chong Kun Dang Pharmaceutical Corp.,종근당,"[""김영주""]",1108608069,서울 서대문구 충정로3가 3가 368 종근당빌딩,,www.ckdpharm.com,02-2194-0300,20131105,2304,20260915,1
76,1101115455476,(주)서연이화,"SEOYON E-HWA CO.,LTD.",서연이화,"[""강용석""]",2208882958,경기도 안양시 동안구 부림로170번길 41-22 (관양동),,www.seoyoneh.com,031-420-3200,20140702,1068,20260915,1
77,1101115505354,하나카드 주식회사,"HanaCard Co., Ltd.",하나카드,"[""성영수""]",1048656659,"서울특별시 중구 을지로 66 (을지로2가, 외환은행본점)",,www.hanacard.co.kr,02-1800-1111,20140901,727,20260915,0
78,1101115542497,(주)정다운,"JUNGDAWN Co., Ltd.",정다운,"[""이지훈""]",1078831874,전라남도 나주시 동수농공단지길 137-17 (주)정다운,,jungdawn.co.kr,061-334-5289,20141020,335,20260915,0
79,1101115554418,주식회사 삼양패키징,SAMYANG PACKAGING CORPORATION,삼양패키징,"[""윤석환""]",1018693655,서울특별시 종로구 종로33길 31,,www.samyangpackaging.co.kr/,02-740-7827,20141101,517,20260915,1
80,1101115604700,한솔제지(주),"Hansol Paper Co., Ltd",한솔제지,"[""한경록"", ""고민혁""]",1048658322,"서울특별시 중구 을지로 100 비동 (을지로2가, 파인애비뉴)",,www.hansolpaper.co.kr,02-3287-6040,20150102,1732,20260915,1
81,1101115698315,(주)신세계디에프,SHINSEGAE DF Inc.,신세계디에프,"[""이석구""]",8648100077,서울특별시 중구 퇴계로 77,,,02-6048-5312,20150415,375,20260915,0
82,1101116139277,일동제약(주),"IL DONG PHARMACEUTICAL CO., LTD.",일동제약,"[""윤웅섭"", ""이재준""]",8038800431,서울특별시 서초구 바우뫼로27길 2,,www.ildong.com,025263114,20160801,1104,20260915,1
83,1101116363850,에이치디현대일렉트릭(주),"HD HYUNDAI ELECTRIC CO.,LTD",HD현대일렉트릭,"[""김영기""]",2668600531,경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&D센터,,www.hd-hyundaielectric.com,02-746-7530,20170403,2209,20260915,1
84,1101116390770,매일유업 주식회사,"Maeil Dairies Co., Ltd.",매일유업,"[""김선희"", ""이인기""]",8448100466,서울특별시 종로구 종로1길 50 &nbsp,,www.maeil.com,02-2127-2113,20170501,1921,20260915,0
85,1101116740008,아이파크현대산업개발(주),IPARK HYUNDAI DEVELOPMENT COMPANY,IPARK현대산업개발,"[""정경구""]",3348600815,서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층,,www.ipark-dvp.com,02-2008-9114,20180502,1788,20260915,1
86,1101116770138,효성티앤씨(주),Hyosung TNC Corporation,효성티앤씨,"[""이창황"", ""유영환""]",8808701070,서울특별시 마포구 마포대로 119,,www.hyosungtnc.com,02-707-7000,20180604,1266,20260915,1
87,1101116770154,효성중공업(주),Hyosung Heavy Industries Corporation,효성중공업,"[""우태희""]",5788700896,서울특별시 마포구 마포대로 119 효성빌딩,,www.hyosungheavyindustries.com,02-707-7000,20180604,3567,20260915,1
88,1101116770170,에이치에스효성첨단소재(주),HS HYOSUNG ADVANCED MATERIALS,HS효성첨단소재,"[""임진달"", ""성낙양""]",1988700929,서울특별시 마포구 마포대로 119 효성빌딩,,www.hyosungadvancedmaterials.com,02-707-7000,20180604,998,20260915,1
89,1101116799203,한일시멘트(주),"HANILCEMENTCO.,LTD.",한일시멘트,"[""전근식"", ""오해근""]",4638701012,서울특별시 서초구 효령로 275 서초동 1587 한일시멘트빌딩,,www.hanilcement.com,02-531-7000,20180702,980,20260915,1
90,1101116837772,키움캐피탈 주식회사,"KIWOOM capital Co.,Ltd.",키움캐피탈,"[""최창민""]",8578701099,"서울특별시 영등포구 여의대로 66 (여의도동, 하이투자증권) 17층",,kiwoomcapital.com/,02-780-8013,20180809,59,20260915,0
91,1101116860640,(주)세아제강,SeAH Steel Corporation,세아제강,"[""이휘령"", ""홍만기""]",5688601173,서울특별시 마포구 양화로 45,,www.seahsteel.co.kr,02-6970-1000,20180903,805,20260915,1
92,1101350000903,중소기업은행,INDUSTRIAL BANK OF KOREA,기업은행,"[""장민영""]",2028100978,서울특별시 중구 을지로 79 중소기업은행본점,,www.ibk.co.kr,02-729-6114,19610725,13507,20260915,1
93,1115110000136,(주)디와이에이,"DYA CO.,LTD",디와이에이,"[""임근호"", ""박은진""]",1278100094,광주광역시 광산구  소촌로123번길 40-12,,www.dy-a.co.kr,062-940-8670,19600116,403,20260915,1
94,1146710001456,한국전력공사(주),KOREA ELECTRIC POWER CORPORATION,한국전력공사,"[""김동철""]",1208200052,전라남도 나주시 전력로 55 -,,www.kepco.co.kr,061-345-3114,19610701,22875,20260915,1
95,1146710006125,한국가스공사(주),KoreaGasCorporation,한국가스공사,"[""홍의락""]",1208200557,대구광역시 동구 첨단로 120-,,www.kogas.or.kr,053-670-0114,19830818,4289,20260915,1
96,1158110006449,(주)세코닉스,"SEKONIX CO., LTD.",세코닉스,"[""박은경""]",1278112192,경기도 동두천시  평화로2862번길 28,,www.sekonix.com,031-860-1000,19881224,555,20260915,0
97,1201110000034,(주)선광,"SUN KWANG Co.,Ltd",선광,"[""이상필""]",1218101455,인천 중구 항동 34-2,,www.sun-kwang.co.kr,032 -8806-562,19610125,233,20260915,0
98,1201110000323,핸즈코퍼레이션(주),HANDS CORPORATION LTD.,핸즈코퍼레이션,"[""홍승재"", ""이현익""]",1378103633,인천광역시 서구 가정로37번길 50,,www.handscorp.co.kr,032-870-9600,19720303,879,20260915,1
99,1201110001743,현대제철(주),HYUNDAI STEEL COMPANY,현대제철,"[""이보룡""]",1218110385,인천광역시 제물포구 중봉대로 63 -,,www.hyundai-steel.com,032-760-2114,19530610,11694,20260915,1
100,1201110001818,(주)삼익악기,"SAMICK MUSICAL INSTRUMENTS CO.,LTD",삼익악기,"[""김종섭"", ""김민수""]",1228101045,충청북도 음성군  소이면 소이로 313,,www.samick.co.kr,043-1644-3827,19730104,41,20260915,1
101,1201110001959,이건산업(주),EAGON INDUSTRIAL LTD,이건산업,"[""문보영""]",1318106200,인천광역시 남구 염전로 91,,www.eagon.com,032-760-0800,19721207,138,20260915,1
102,1201110002056,케이비아이동양철관(주),"KBI DONG YANG STEEL PIPE CO.,LTD",KBI동양철관,"[""이곽우""]",1228100857,충청남도 천안시 동남구  풍세면 풍세로 515 동양철관(주),,www.dysp.co.kr,02-6903-0200,19730628,174,20260915,1
103,1201110002189,(주)SIMPAC,SIMPACInc,SIMPAC,"[""최진식""]",1228100819,인천광역시 부평구  부평북로 141 (주)SIMPAC,,www.simpac.co.kr,032-510-0044,19730809,488,20260915,1
104,1201110003848,(주)동진쎄미켐,"DONGJIN SEMICHEM CO., LTD.",동진쎄미켐,"[""이준혁""]",1378107814,인천광역시 서구  백범로 644,,www.dongjin.com,02-325-9451,19730710,1469,20260915,0
105,1201110004218,동화기업(주),"DONGWHA ENTERPRISE CO.,LTD.",동화기업,"[""채광병""]",1378102333,인천광역시 서구 가정로97번길 28(가좌동),,www.dongwha.co.kr,02-2122-0651,19480402,632,20260915,0
106,1201110005703,(주)경인양행,KYUNG-IN SYNTHETIC CORPORATION,경인양행,"[""김흥준"", ""조성용""]",1378100562,인천광역시 서구  건지로 199 (석남동) 223-52,,www.kyungin.co.kr,032-571-7498,19771014,470,20260915,1
107,1201110011990,일진홀딩스(주),"ILJIN HOLDINGS CO.,LTD",일진홀딩스,"[""허정석""]",1248134732,경기도 화성시  만년로 905-17,,www.iljin.co.kr,031-220-0500,19820127,22,20260915,1
108,1201110018110,(주)풍산홀딩스,POONGSAN HOLDINGS CORPORATION,풍산홀딩스,"[""박우동""]",1228102549,인천광역시 계양구  아나지로 156 효성동 (주)풍산홀딩스,,www.poongsanhc.co.kr,02-2278-6700,19681022,276,20260915,1
109,1201110019382,한세예스24홀딩스(주),"HANSAE YES24 HOLDINGS CO., LTD",한세예스24홀딩스,"[""김동녕"", ""김석환""]",1378108720,서울특별시 영등포구 은행로 30 중소기업중앙회 6층,,www.hansaeyes24.com,02-3779-0800,19821118,31,20260915,1
110,1201110050104,(주)상상인,"Sangsangin Co., Ltd.",상상인,"[""유준원"", ""이민식""]",1228118380,경기도 성남시 분당구 황새울로 358 -,,www.sangsanginworld.co.kr,02-2167-8500,19890223,216,20260915,0
111,1201110051590,대주이엔티(주),"Daejoo Energy INnovation Technology Co.,Ltd",대주이엔티,"[""황광수"", ""박주봉""]",1318114530,인천광역시 중구 신포로 4 (사동) 4층,,www.daejooent.co.kr,070-7015-1337,19890529,86,20260915,0
112,1201110147422,(주)코다코,"KODACO CO., LTD",코다코,"[""인귀승""]",1398131377,충청남도 천안시 서북구  입장면 신대길 8,,www.kodaco.co.kr,041-411-3100,19970214,193,20260915,0
113,1201110175423,한일네트웍스(주),"HANIL NETWORKS CO., LTD.",한일네트웍스,"[""목진원""]",1398137667,"서울특별시 중구 수표로 34 (저동2가, 씨티센터타워) 11층",,www.hanilnetworks.com,02-3466-9100,19980826,200,20260915,0
114,1201110234469,에이치디현대인프라코어(주),"HD Hyundai Infracore Co., Ltd.",에이치디현대인프라코어,"[""조영철"", ""오승현""]",1218140254,인천광역시 동구  인중로 489(화수동),,www.hd-infracore.com,032-211-1114,20001023,2497,20260915,0
115,1201110484303,한세실업(주),"HANSAE CO.,LTD.",한세실업,"[""김익환"", ""김경"", ""김동녕""]",1378192214,서울특별시 영등포구 은행로 29 정우빌딩,,www.hansae.com,02-3779-0779,20090106,468,20260915,1
116,1201110592908,자일자동차(주),ZILE MOTORS CORPORATION,자일자동차,"[""여가현""]",1228620805,"인천광역시 부평구 부평대로 283 (청천동, 부평우림라이온스밸리) 6층 제에이-605",,www.dm.co.kr,032-680-6963,20111210,38,20260915,0
