character_id,normalized_name,canonical_name,appearance_count,speaker_turn_count,mention_count,unique_episode_count,total_score,is_focus_character,is_generic_name,source,overall_rank
char__lizards,lizards,Lizards,48,320,64,73,528,False,False,light_combined,112
char__soldiers,soldiers,Soldiers,28,176,253,201,513,False,False,light_combined,113
char__angel,angel,Angel,39,262,127,72,506,False,False,light_combined,114
char__battle,battle,Battle,2,14,481,338,501,False,False,light_combined,115
char__outlaw,outlaw,Outlaw,46,306,56,54,500,False,False,light_combined,116
char__squire,squire,Squire,41,263,103,79,489,False,False,light_combined,117
char__army,army,Army,21,130,295,242,488,False,False,light_combined,118
char__adventurer,adventurer,Adventurer,46,307,41,62,486,False,False,light_combined,119
char__frog,frog,Frog,32,195,195,101,486,False,False,light_combined,120
char__light,light,Light,3,14,459,374,482,False,False,light_combined,121
char__altar_boy,altar boy,Altar Boy,50,301,30,60,481,False,False,light_combined,122
char__local,local,Local,34,217,160,176,479,False,False,light_combined,123
char__high_priestess,high priestess,High Priestess,46,285,49,58,472,False,False,light_combined,124
char__townsperson,townsperson,Townsperson,48,306,21,58,471,False,False,light_combined,125
char__subject,subject,Subject,41,258,87,98,468,False,False,light_combined,126
char__pig,pig,Pig,35,211,146,99,462,False,False,light_combined,127
char__wench,wench,Wench,37,234,106,97,451,False,False,light_combined,128
char__nun,nun,Nun,42,264,55,69,445,False,False,light_combined,129
char__seagull,seagull,Seagull,42,269,46,45,441,False,False,light_combined,130
char__beggar,beggar,Beggar,38,258,58,53,430,False,False,light_combined,131
char__goddess,goddess,Goddess,23,152,209,108,430,False,False,light_combined,132
char__clergyman,clergyman,Clergyman,43,274,24,50,427,False,False,light_combined,133
char__crow,crow,Crow,36,241,78,52,427,False,False,light_combined,134
char__beast,beast,Beast,18,114,259,198,427,False,False,light_combined,135
char__butler,butler,Butler,40,265,41,51,426,False,False,light_combined,136
char__congregant,congregant,Congregant,44,281,10,44,423,False,False,light_combined,137
char__squirrel,squirrel,Squirrel,38,232,77,60,423,False,False,light_combined,138
char__families,families,Families,37,232,76,100,419,False,False,light_combined,139
char__vendor,vendor,Vendor,44,261,22,52,415,False,False,light_combined,140
char__wolves,wolves,Wolves,23,159,182,121,410,False,False,light_combined,141
char__cockroach,cockroach,Cockroach,38,239,50,43,403,False,False,light_combined,142
char__turtles,turtles,Turtles,38,254,33,48,401,False,False,light_combined,143
char__faery,faery,Faery,38,234,53,45,401,False,False,light_combined,144
char__villagers,villagers,Villagers,23,132,200,170,401,False,False,light_combined,145
char__miner,miner,Miner,40,246,30,46,396,False,False,light_combined,146
char__gardener,gardener,Gardener,36,218,67,63,393,False,False,light_combined,147
char__fox,fox,Fox,26,159,155,91,392,False,False,light_combined,148
char__lizard,lizard,Lizard,23,152,163,80,384,False,False,light_combined,149
char__dwarf,dwarf,Dwarf,34,225,54,50,381,False,False,light_combined,150
char__high_priest,high priest,High Priest,33,218,61,65,378,False,False,light_combined,151
char__duke,duke,Duke,29,179,109,76,375,False,False,light_combined,152
char__soul,soul,Soul,5,35,322,263,372,False,False,light_combined,153
char__worshiper,worshiper,Worshiper,38,247,8,42,369,False,False,light_combined,154
char__mourner,mourner,Mourner,38,246,3,38,363,False,False,light_combined,155
char__townperson,townperson,Townperson,39,240,4,40,361,False,False,light_combined,156
char__sister,sister,Sister,16,92,220,130,360,False,False,light_combined,157
char__court_jester,court jester,Court Jester,35,242,11,39,358,False,False,light_combined,158
char__mariner,mariner,Mariner,33,237,18,36,354,False,False,light_combined,159
char__leader,leader,Leader,29,173,88,89,348,False,False,light_combined,160
char__general,general,General,24,153,122,88,347,False,False,light_combined,161
char__acolyte,acolyte,Acolyte,37,219,16,39,346,False,False,light_combined,162
char__parent,parent,Parent,37,219,16,42,346,False,False,light_combined,163
char__musician,musician,Musician,34,219,25,40,346,False,False,light_combined,164
char__demon,demon,Demon,23,150,125,86,344,False,False,light_combined,165
char__roach,roach,Roach,29,186,70,43,343,False,False,light_combined,166
char__monkey,monkey,Monkey,31,165,83,55,341,False,False,light_combined,167
char__girl,girl,Girl,20,106,174,159,340,False,True,light_combined,168
char__ambassador,ambassador,Ambassador,33,206,34,44,339,False,False,light_combined,169
char__monster,monster,Monster,18,125,160,110,339,False,False,light_combined,170
char__bug,bug,Bug,21,142,132,98,337,False,False,light_combined,171
char__bartender,bartender,Bartender,31,210,32,45,335,False,False,light_combined,172
char__old_man,old man,Old Man,19,128,147,114,332,False,False,light_combined,173
char__assistant,assistant,Assistant,28,168,76,73,328,False,False,light_combined,174
char__royalty,royalty,Royalty,21,135,129,136,327,False,False,light_combined,175
char__tower,tower,Tower,1,7,317,211,327,False,False,light_combined,176
char__inhabitant,inhabitant,Inhabitant,33,214,9,35,322,False,False,light_combined,177
char__gnome,gnome,Gnome,28,186,51,33,321,False,False,light_combined,178
char__mermaid,mermaid,Mermaid,29,181,51,43,319,False,False,light_combined,179
char__town_baker,town baker,Town Baker,25,236,7,26,318,False,False,light_combined,180
char__cooks,cooks,Cooks,30,197,30,52,317,False,False,light_combined,181
char__groom,groom,Groom,29,177,48,57,312,False,False,light_combined,182
char__gypsy,gypsy,Gypsy,29,192,32,37,311,False,False,light_combined,183
char__pelican,pelican,Pelican,29,184,32,35,303,False,False,light_combined,184
char__ox,ox,Ox,27,176,46,36,303,False,False,light_combined,185
char__hiker,hiker,Hiker,30,198,14,32,302,False,False,light_combined,186
char__butterfly,butterfly,Butterfly,29,175,40,35,302,False,False,light_combined,187
char__goat,goat,Goat,21,134,103,58,300,False,False,light_combined,188
char__spiders,spiders,Spiders,19,129,113,94,299,False,False,light_combined,189
char__sheep,sheep,Sheep,16,106,145,85,299,False,False,light_combined,190
char__executioner,executioner,Executioner,26,181,38,41,297,False,False,light_combined,191
char__follower,follower,Follower,26,172,44,47,294,False,False,light_combined,192
char__mage,mage,Mage,25,155,64,45,294,False,False,light_combined,193
char__flies,flies,Flies,15,97,151,107,293,False,False,light_combined,194
char__homeless,homeless,Homeless,24,140,80,71,292,False,False,light_combined,195
char__deity,deity,Deity,25,161,54,44,290,False,False,light_combined,196
char__elf,elf,Elf,24,160,57,43,289,False,False,light_combined,197
char__gravedigger,gravedigger,Gravedigger,30,178,19,36,287,False,False,light_combined,198
char__mayor,mayor,Mayor,26,170,39,33,287,False,False,light_combined,199
char__caretaker,caretaker,Caretaker,28,176,26,37,286,False,False,light_combined,200
char__spirits,spirits,Spirits,11,76,172,124,281,False,False,light_combined,201
char__town_sheriff,town sheriff,Town Sheriff,31,187,0,31,280,False,False,light_combined,202
char__doctor,doctor,Doctor,19,120,103,74,280,False,False,light_combined,203
char__grandmother,grandmother,Grandmother,27,155,42,48,278,False,False,light_combined,204
char__lady_in_waiting,lady in waiting,Lady In Waiting,29,180,9,36,276,False,False,light_combined,205
char__explorer,explorer,Explorer,27,170,23,32,274,False,False,light_combined,206
char__cardinal,cardinal,Cardinal,25,168,30,36,273,False,False,light_combined,207
char__flirty_barmaid,flirty barmaid,Flirty Barmaid,29,181,1,29,269,False,False,light_combined,208
char__party,party,Party,10,70,169,113,269,False,False,light_combined,209
char__wall,wall,Wall,3,15,243,192,267,False,False,light_combined,210
char__torturer,torturer,Torturer,24,161,33,41,266,False,False,light_combined,211
char__clergy,clergy,Clergy,28,169,12,34,265,False,False,light_combined,212
char__wise_men,wise men,Wise Men,27,175,8,30,264,False,False,light_combined,213
char__his_wife,his wife,His Wife,26,149,37,60,264,False,False,light_combined,214
char__watchman,watchman,Watchman,25,166,22,32,263,False,False,light_combined,215
char__priestess,priestess,Priestess,15,96,121,77,262,False,False,light_combined,216
char__trader,trader,Trader,25,157,29,37,261,False,False,light_combined,217
char__kid,kid,Kid,11,77,151,109,261,False,False,light_combined,218
char__patron,patron,Patron,23,160,31,40,260,False,False,light_combined,219
char__owl,owl,Owl,21,147,50,34,260,False,False,light_combined,220
char__souls,souls,Souls,16,96,115,96,259,False,False,light_combined,221
char__pastor,pastor,Pastor,24,149,36,31,257,False,False,light_combined,222
char__turtle,turtle,Turtle,10,68,159,75,257,False,False,light_combined,223
char__assassin,assassin,Assassin,22,141,48,46,255,False,False,light_combined,224
char__scribe,scribe,Scribe,22,145,43,33,254,False,False,light_combined,225
char__chambermaid,chambermaid,Chambermaid,17,112,90,68,253,False,False,light_combined,226
char__archaeologist,archaeologist,Archaeologist,29,155,10,35,252,False,False,light_combined,227
char__orc,orc,Orc,17,116,85,49,252,False,False,light_combined,228
char__attendee,attendee,Attendee,25,167,7,26,249,False,False,light_combined,229
char__subjects,subjects,Subjects,15,102,101,92,248,False,False,light_combined,230
char__preist,preist,Preist,25,155,17,38,247,False,False,light_combined,231
char__ogre,ogre,Ogre,20,130,56,32,246,False,False,light_combined,232
char__faeries,faeries,Faeries,20,139,46,40,245,False,False,light_combined,233
char__horse_tied_up_in_front_of_a_shop,horse tied up in front of a shop,Horse Tied Up In Front Of A Shop,25,168,0,25,243,False,False,light_combined,234
char__warrior,warrior,Warrior,17,106,85,77,242,False,False,light_combined,235
char__potion,potion,Potion,3,21,209,122,239,False,False,light_combined,236
char__pet,pet,Pet,10,53,155,122,238,False,False,light_combined,237
char__traveller,traveller,Traveller,21,139,34,46,236,False,False,light_combined,238
char__table,table,Table,2,8,222,195,236,False,False,light_combined,239
char__pope,pope,Pope,21,133,38,32,234,False,False,light_combined,240
char__bridge,bridge,Bridge,2,14,211,107,231,False,False,light_combined,241
char__residents_of_the_cottage,residents of the cottage,Residents Of The Cottage,23,159,0,23,228,False,False,light_combined,242
char__castle_guards,castle guards,Castle Guards,24,154,1,25,227,False,False,light_combined,243
char__diplomat,diplomat,Diplomat,22,142,19,29,227,False,False,light_combined,244
char__gather,gather,Gather,5,29,182,169,226,False,False,light_combined,245
char__giant_frog,giant frog,Giant Frog,22,149,10,23,225,False,False,light_combined,246
char__alchemist,alchemist,Alchemist,23,133,22,29,224,False,False,light_combined,247
char__loved_ones,loved ones,Loved Ones,19,126,41,51,224,False,False,light_combined,248
char__mistress,mistress,Mistress,17,106,66,56,223,False,False,light_combined,249
char__boar,boar,Boar,15,92,86,53,223,False,False,light_combined,250
char__rodent,rodent,Rodent,18,113,55,52,222,False,False,light_combined,251
char__queen_s,queen's,Queen'S,12,76,110,112,222,False,False,light_combined,252
char__hog,hog,Hog,21,133,25,26,221,False,False,light_combined,253
char__judge,judge,Judge,12,72,113,98,221,False,False,light_combined,254
char__mate,mate,Mate,11,64,124,109,221,False,False,light_combined,255
char__serving_wench,serving wench,Serving Wench,25,136,8,29,219,False,False,light_combined,256
char__king_fulmer,king fulmer,King Fulmer,22,144,8,22,218,False,False,light_combined,257
char__student,student,Student,21,123,32,32,218,False,False,light_combined,258
char__there_is_also_a_young_woman_selling_flowers_to_passersby,there is also a young woman selling flowers to passersby,There Is Also A Young Woman Selling Flowers To Passersby,24,145,0,24,217,False,False,light_combined,259
char__old_man_with_a_fishing_rod,old man with a fishing rod,Old Man With A Fishing Rod,23,148,0,23,217,False,False,light_combined,260
char__painter,painter,Painter,20,134,23,30,217,False,False,light_combined,261
char__concubine,concubine,Concubine,21,146,6,24,215,False,False,light_combined,262
char__intruder,intruder,Intruder,20,122,33,37,215,False,False,light_combined,263
char__rat_chews_on_a_dropped_hymnbook,rat chews on a dropped hymnbook,Rat Chews On A Dropped Hymnbook,23,144,0,23,213,False,False,light_combined,264
char__lost_traveler,lost traveler,Lost Traveler,24,139,1,24,212,False,False,light_combined,265
char__predator,predator,Predator,22,133,13,30,212,False,False,light_combined,266
char__ladies,ladies,Ladies,14,85,85,83,212,False,False,light_combined,267
char__sacrifice,sacrifice,Sacrifice,3,21,181,119,211,False,False,light_combined,268
char__their_family,their family,Their Family,21,142,5,25,210,False,False,light_combined,269
char__nobleman,nobleman,Nobleman,19,108,45,49,210,False,False,light_combined,270
char__blacksmith_apprentice,blacksmith apprentice,Blacksmith Apprentice,23,135,5,23,209,False,False,light_combined,271
char__traitor,traitor,Traitor,16,101,60,44,209,False,False,light_combined,272
char__royal_family_member,royal family member,Royal Family Member,22,140,2,24,208,False,False,light_combined,273
char__lawyer,lawyer,Lawyer,20,128,19,26,207,False,False,light_combined,274
char__beaver,beaver,Beaver,19,122,28,22,207,False,False,light_combined,275
char__groundskeeper_of_the_castle,groundskeeper of the castle,Groundskeeper Of The Castle,22,140,0,22,206,False,False,light_combined,276
char__camel,camel,Camel,19,116,32,25,205,False,False,light_combined,277
char__ancient_king,ancient king,Ancient King,21,136,4,21,203,False,False,light_combined,278
char__grandfather,grandfather,Grandfather,15,105,52,48,202,False,False,light_combined,279
char__hunting_dog,hunting dog,Hunting Dog,20,126,15,27,201,False,False,light_combined,280
char__police,police,Police,17,109,41,43,201,False,False,light_combined,281
char__trolls,trolls,Trolls,15,92,63,50,200,False,False,light_combined,282
char__mystical_lion,mystical lion,Mystical Lion,21,133,3,21,199,False,False,light_combined,283
char__iguana,iguana,Iguana,18,119,26,20,199,False,False,light_combined,284
char__nuns,nuns,Nuns,19,123,18,30,198,False,False,light_combined,285
char__colorful_bird,colorful bird,Colorful Bird,22,128,3,22,197,False,False,light_combined,286
char__dancer,dancer,Dancer,17,114,30,30,195,False,False,light_combined,287
char__genie,genie,Genie,14,98,55,25,195,False,False,light_combined,288
char__murderer,murderer,Murderer,18,109,31,32,194,False,False,light_combined,289
char__drunk,drunk,Drunk,3,14,171,141,194,False,False,light_combined,290
char__cleaning_person,cleaning person,Cleaning Person,20,130,3,20,193,False,False,light_combined,291
char__archaeologists,archaeologists,Archaeologists,19,133,2,19,192,False,False,light_combined,292
char__tribesman,tribesman,Tribesman,16,133,11,17,192,False,False,light_combined,293
char__critter,critter,Critter,19,109,24,28,190,False,False,light_combined,294
char__messenger,messenger,Messenger,15,105,39,34,189,False,False,light_combined,295
char__floor,floor,Floor,1,7,177,160,187,False,False,light_combined,296
char__king_s_architect,king's architect,King'S Architect,19,122,7,19,186,False,False,light_combined,297
char__sons,sons,Sons,8,56,106,88,186,False,False,light_combined,298
char__emperor,emperor,Emperor,17,119,15,21,185,False,False,light_combined,299
char__captured_knight,captured knight,Captured Knight,20,123,1,20,184,False,False,light_combined,300
char__stable_boy,stable boy,Stable Boy,14,88,54,44,184,False,False,light_combined,301
char__scorpion,scorpion,Scorpion,14,86,56,35,184,False,False,light_combined,302
char__helpers,helpers,Helpers,18,124,4,21,182,False,False,light_combined,303
char__weary_traveler,weary traveler,Weary Traveler,18,117,9,24,180,False,False,light_combined,304
char__raccoon,raccoon,Raccoon,15,101,34,22,180,False,False,light_combined,305
char__young_princess,young princess,Young Princess,20,115,4,22,179,False,False,light_combined,306
char__drunkard,drunkard,Drunkard,18,105,20,29,179,False,False,light_combined,307
char__teacher,teacher,Teacher,16,101,30,36,179,False,False,light_combined,308
char__crab,crab,Crab,13,84,56,26,179,False,False,light_combined,309
char__baby,baby,Baby,5,28,136,105,179,False,False,light_combined,310
char__proprietor,proprietor,Proprietor,18,120,3,20,177,False,False,light_combined,311
char__robber,robber,Robber,17,113,12,23,176,False,False,light_combined,312
char__swimmer,swimmer,Swimmer,17,104,19,27,174,False,False,light_combined,313
char__officer,officer,Officer,15,98,31,29,174,False,False,light_combined,314
char__fishermen,fishermen,Fishermen,14,96,36,44,174,False,False,light_combined,315
char__bride,bride,Bride,13,83,52,50,174,False,False,light_combined,316
char__sad_townsman,sad townsman,Sad Townsman,18,117,2,18,173,False,False,light_combined,317
char__handmaid,handmaid,Handmaid,16,111,12,21,171,False,False,light_combined,318
char__minister,minister,Minister,16,102,21,19,171,False,False,light_combined,319
char__young_boy,young boy,Young Boy,15,100,26,36,171,False,False,light_combined,320
char__royal_chef,royal chef,Royal Chef,18,111,5,22,170,False,False,light_combined,321
char__governor,governor,Governor,16,104,18,16,170,False,False,light_combined,322
char__citizen,citizen,Citizen,12,80,54,51,170,False,False,light_combined,323
char__footman,footman,Footman,18,102,12,21,168,False,False,light_combined,324
char__salesman,salesman,Salesman,18,96,18,29,168,False,False,light_combined,325
char__invader,invader,Invader,17,106,11,19,168,False,False,light_combined,326
char__king_and_queen,king and queen,King And Queen,9,60,81,80,168,False,False,light_combined,327
char__unicorn,unicorn,Unicorn,9,59,82,44,168,False,False,light_combined,328
char__figure,figure,Figure,3,15,143,136,167,False,False,light_combined,329
char__king_of,king of,King Of,1,7,157,131,167,False,False,light_combined,330
char__old_woman,old woman,Old Woman,15,102,18,27,165,False,False,light_combined,331
char__small_animals,small animals,Small Animals,18,105,5,22,164,False,False,light_combined,332
char__bodyguard,bodyguard,Bodyguard,15,99,19,24,163,False,False,light_combined,333
char__skeleton,skeleton,Skeleton,11,77,53,41,163,False,False,light_combined,334
char__pilgrims,pilgrims,Pilgrims,17,104,7,18,162,False,False,light_combined,335
char__temple_guard,temple guard,Temple Guard,16,109,5,18,162,False,False,light_combined,336
char__turkey,turkey,Turkey,11,75,53,27,161,False,False,light_combined,337
char__old_wizened_priestess,old wizened priestess,Old Wizened Priestess,16,110,1,16,159,False,False,light_combined,338
char__tadpole,tadpole,Tadpole,16,92,18,22,158,False,False,light_combined,339
char__hermit,hermit,Hermit,14,92,24,18,158,False,False,light_combined,340
char__egyptians,egyptians,Egyptians,17,104,2,17,157,False,False,light_combined,341
char__fisher,fisher,Fisher,15,102,8,16,155,False,False,light_combined,342
char__milk_maid,milk maid,Milk Maid,15,98,12,20,155,False,False,light_combined,343
char__village_official,village official,Village Official,16,102,4,18,154,False,False,light_combined,344
char__wrongdoer,wrongdoer,Wrongdoer,15,105,4,15,154,False,False,light_combined,345
char__barn_cat,barn cat,Barn Cat,17,99,3,18,153,False,False,light_combined,346
char__donkey,donkey,Donkey,10,70,53,28,153,False,False,light_combined,347
char__bat_queen,bat queen,Bat Queen,15,96,11,16,152,False,False,light_combined,348
char__watchmen,watchmen,Watchmen,15,90,17,23,152,False,False,light_combined,349
char__milkmaid,milkmaid,Milkmaid,15,96,10,19,151,False,False,light_combined,350
char__dirt,dirt,Dirt,4,28,111,91,151,False,False,light_combined,351
char__grounds_keeper,grounds keeper,Grounds Keeper,16,96,6,19,150,False,False,light_combined,352
char__faerie,faerie,Faerie,11,77,40,29,150,False,False,light_combined,353
char__empress,empress,Empress,17,83,15,18,149,False,False,light_combined,354
char__gobber,gobber,Gobber,13,87,23,14,149,False,False,light_combined,355
char__sinners,sinners,Sinners,12,78,35,35,149,False,False,light_combined,356
char__demons,demons,Demons,8,49,76,60,149,False,False,light_combined,357
char__young_man,young man,Young Man,6,42,89,73,149,False,False,light_combined,358
char__old_homeless_man,old homeless man,Old Homeless Man,15,101,1,15,147,False,False,light_combined,359
char__polar_bear,polar bear,Polar Bear,14,98,7,16,147,False,False,light_combined,360
char__weddings,weddings,Weddings,14,79,26,25,147,False,False,light_combined,361
char__insect,insect,Insect,7,38,88,68,147,False,False,light_combined,362
char__tavern_owner,tavern owner,Tavern Owner,16,95,3,17,146,False,False,light_combined,363
char__songbird,songbird,Songbird,15,91,9,16,145,False,False,light_combined,364
char__mad_king,mad king,Mad King,14,93,10,20,145,False,False,light_combined,365
char__old_gnaisha,old gnaisha,Old Gnaisha,15,94,5,16,144,False,False,light_combined,366
char__petitioner,petitioner,Petitioner,15,92,7,15,144,False,False,light_combined,367
char__armorer,armorer,Armorer,14,92,10,15,144,False,False,light_combined,368
char__farmer_bob,farmer bob,Farmer Bob,14,90,12,18,144,False,False,light_combined,369
char__groundskeeper,groundskeeper,Groundskeeper,13,72,33,34,144,False,False,light_combined,370
char__family_dog,family dog,Family Dog,15,98,0,15,143,False,False,light_combined,371
char__resting_travelers,resting travelers,Resting Travelers,16,94,0,16,142,False,False,light_combined,372
char__steward,steward,Steward,14,90,10,19,142,False,False,light_combined,373
char__camera_man,camera man,Camera Man,13,91,12,14,142,False,False,light_combined,374
char__freind,freind,Freind,13,85,18,29,142,False,False,light_combined,375
char__calf,calf,Calf,12,84,22,23,142,False,False,light_combined,376
char__prisoners,prisoners,Prisoners,4,28,102,83,142,False,False,light_combined,377
