character_id,normalized_name,canonical_name,is_target_agent_name,is_generic_name,appearance_count,speaker_turn_count,mention_count,unique_episode_count,total_score,overall_rank_in_target_subset,source
char__fight,fight,Fight,False,False,0,0,23,19,23,55,top_king_persona_subset
char__soldier,soldier,Soldier,False,False,2,14,2,2,22,56,top_king_persona_subset
char__horse,horse,Horse,False,True,1,7,11,7,21,57,top_king_persona_subset
char__daughter,daughter,Daughter,False,False,0,0,21,16,21,58,top_king_persona_subset
char__woman,woman,Woman,False,True,0,0,21,18,21,59,top_king_persona_subset
char__courtier,courtier,Courtier,False,False,2,14,0,2,20,60,top_king_persona_subset
char__young_student_reading_a_book_beneath_a_dogwood_tree,young student reading a book beneath a dogwood tree,Young Student Reading A Book Beneath A Dogwood Tree,False,False,2,14,0,2,20,61,top_king_persona_subset
char__children,children,Children,False,False,0,0,20,17,20,62,top_king_persona_subset
char__no_one,no one,No One,False,False,0,0,18,16,18,63,top_king_persona_subset
char__army,army,Army,False,False,0,0,17,12,17,64,top_king_persona_subset
char__god,god,God,False,False,0,0,16,13,16,65,top_king_persona_subset
char__subjects,subjects,Subjects,False,False,0,0,15,11,15,66,top_king_persona_subset
char__prior,prior,Prior,False,False,1,7,4,4,14,67,top_king_persona_subset
char__chambermaid,chambermaid,Chambermaid,False,False,0,0,14,8,14,68,top_king_persona_subset
char__king_of,king of,King Of,False,False,0,0,14,14,14,69,top_king_persona_subset
char__scholar,scholar,Scholar,False,False,1,7,3,2,13,70,top_king_persona_subset
char__boy,boy,Boy,False,True,0,0,13,12,13,71,top_king_persona_subset
char__lady,lady,Lady,False,True,0,0,13,11,13,72,top_king_persona_subset
char__soldiers,soldiers,Soldiers,False,False,0,0,13,8,13,73,top_king_persona_subset
char__rat,rat,Rat,False,True,1,7,2,2,12,74,top_king_persona_subset
char__spiders,spiders,Spiders,False,False,1,7,2,2,12,75,top_king_persona_subset
char__hunter,hunter,Hunter,False,False,1,7,1,2,11,76,top_king_persona_subset
char__lady_in_waiting,lady in waiting,Lady In Waiting,False,False,1,7,1,2,11,77,top_king_persona_subset
char__parishioner,parishioner,Parishioner,False,False,1,7,1,1,11,78,top_king_persona_subset
char__patron,patron,Patron,False,False,1,7,1,1,11,79,top_king_persona_subset
char__trader,trader,Trader,False,False,1,7,1,1,11,80,top_king_persona_subset
char__dog,dog,Dog,False,False,0,0,11,4,11,81,top_king_persona_subset
char__peasant,peasant,Peasant,False,True,0,0,11,9,11,82,top_king_persona_subset
char__village,village,Village,False,False,0,0,11,9,11,83,top_king_persona_subset
char__drunks,drunks,Drunks,False,False,1,7,0,1,10,84,top_king_persona_subset
char__family_member,family member,Family Member,False,False,1,7,0,1,10,85,top_king_persona_subset
char__gardener_pulling_weeds,gardener pulling weeds,Gardener Pulling Weeds,False,False,1,7,0,1,10,86,top_king_persona_subset
char__goblin_king_s_bartender,goblin king's bartender,Goblin King'S Bartender,False,False,1,7,0,1,10,87,top_king_persona_subset
char__helpers,helpers,Helpers,False,False,1,7,0,1,10,88,top_king_persona_subset
char__mightiest_warriors,mightiest warriors,Mightiest Warriors,False,False,1,7,0,1,10,89,top_king_persona_subset
char__mystical_dragon,mystical dragon,Mystical Dragon,False,False,1,7,0,1,10,90,top_king_persona_subset
char__proprietor,proprietor,Proprietor,False,False,1,7,0,1,10,91,top_king_persona_subset
char__sioux_chef,sioux chef,Sioux Chef,False,False,1,7,0,1,10,92,top_king_persona_subset
char__tern,tern,Tern,False,False,1,7,0,1,10,93,top_king_persona_subset
char__traders,traders,Traders,False,False,1,7,0,1,10,94,top_king_persona_subset
char__waiting_priest,waiting priest,Waiting Priest,False,False,1,7,0,1,10,95,top_king_persona_subset
char__wild_boar,wild boar,Wild Boar,False,False,1,7,0,1,10,96,top_king_persona_subset
char__worshipper,worshipper,Worshipper,False,False,1,7,0,1,10,97,top_king_persona_subset
char__light,light,Light,False,False,0,0,9,9,9,98,top_king_persona_subset
char__table,table,Table,False,False,0,0,9,8,9,99,top_king_persona_subset
char__cook,cook,Cook,False,False,0,0,8,7,8,100,top_king_persona_subset
char__friends,friends,Friends,False,False,0,0,8,7,8,101,top_king_persona_subset
char__others,others,Others,False,False,0,0,8,7,8,102,top_king_persona_subset
char__royalty,royalty,Royalty,False,False,0,0,8,8,8,103,top_king_persona_subset
char__sons,sons,Sons,False,False,0,0,8,7,8,104,top_king_persona_subset
char__staff,staff,Staff,False,False,0,0,8,4,8,105,top_king_persona_subset
char__villagers,villagers,Villagers,False,False,0,0,8,5,8,106,top_king_persona_subset
char__gods,gods,Gods,False,False,0,0,7,6,7,107,top_king_persona_subset
char__jester,jester,Jester,False,False,0,0,7,6,7,108,top_king_persona_subset
char__magician,magician,Magician,False,False,0,0,7,2,7,109,top_king_persona_subset
char__old_man,old man,Old Man,False,False,0,0,7,6,7,110,top_king_persona_subset
char__slave,slave,Slave,False,False,0,0,7,5,7,111,top_king_persona_subset
char__soul,soul,Soul,False,False,0,0,7,5,7,112,top_king_persona_subset
char__witch,witch,Witch,False,False,0,0,7,2,7,113,top_king_persona_subset
char__bear,bear,Bear,False,False,0,0,6,4,6,114,top_king_persona_subset
char__beast,beast,Beast,False,False,0,0,6,5,6,115,top_king_persona_subset
char__fly,fly,Fly,False,False,0,0,6,5,6,116,top_king_persona_subset
char__general,general,General,False,False,0,0,6,4,6,117,top_king_persona_subset
char__girl,girl,Girl,False,True,0,0,6,6,6,118,top_king_persona_subset
char__husband,husband,Husband,False,True,0,0,6,4,6,119,top_king_persona_subset
char__leader,leader,Leader,False,False,0,0,6,6,6,120,top_king_persona_subset
char__plants,plants,Plants,False,False,0,0,6,1,6,121,top_king_persona_subset
char__potion,potion,Potion,False,False,0,0,6,5,6,122,top_king_persona_subset
char__queen_s,queen's,Queen'S,False,False,0,0,6,5,6,123,top_king_persona_subset
char__sister,sister,Sister,False,False,0,0,6,3,6,124,top_king_persona_subset
char__bridge,bridge,Bridge,False,False,0,0,5,2,5,125,top_king_persona_subset
char__citizen,citizen,Citizen,False,False,0,0,5,4,5,126,top_king_persona_subset
char__drunk,drunk,Drunk,False,False,0,0,5,5,5,127,top_king_persona_subset
char__royal_guard,royal guard,Royal Guard,False,False,0,0,5,3,5,128,top_king_persona_subset
char__spirits,spirits,Spirits,False,False,0,0,5,3,5,129,top_king_persona_subset
char__wall,wall,Wall,False,False,0,0,5,5,5,130,top_king_persona_subset
char__warrior,warrior,Warrior,False,False,0,0,5,5,5,131,top_king_persona_subset
char__wizard,wizard,Wizard,False,False,0,0,5,3,5,132,top_king_persona_subset
char__captain,captain,Captain,False,False,0,0,4,1,4,133,top_king_persona_subset
char__chicken,chicken,Chicken,False,False,0,0,4,3,4,134,top_king_persona_subset
char__cooks,cooks,Cooks,False,False,0,0,4,3,4,135,top_king_persona_subset
char__fairy,fairy,Fairy,False,False,0,0,4,2,4,136,top_king_persona_subset
char__farmer,farmer,Farmer,False,True,0,0,4,3,4,137,top_king_persona_subset
char__gardener,gardener,Gardener,False,False,0,0,4,3,4,138,top_king_persona_subset
char__orc,orc,Orc,False,False,0,0,4,2,4,139,top_king_persona_subset
char__owner,owner,Owner,False,False,0,0,4,4,4,140,top_king_persona_subset
char__townsperson,townsperson,Townsperson,False,False,0,0,4,4,4,141,top_king_persona_subset
char__executioners,executioners,Executioners,False,False,1,0,0,1,3,142,top_king_persona_subset
char__staircase,staircase,Staircase,False,False,1,0,0,1,3,143,top_king_persona_subset
char__artist,artist,Artist,False,False,0,0,3,2,3,144,top_king_persona_subset
char__bandit,bandit,Bandit,False,False,0,0,3,2,3,145,top_king_persona_subset
char__bird,bird,Bird,False,True,0,0,3,3,3,146,top_king_persona_subset
char__boar,boar,Boar,False,False,0,0,3,2,3,147,top_king_persona_subset
char__brave_knight,brave knight,Brave Knight,False,False,0,0,3,3,3,148,top_king_persona_subset
char__chamber_maid,chamber maid,Chamber Maid,False,False,0,0,3,1,3,149,top_king_persona_subset
char__dark_lord,dark lord,Dark Lord,False,False,0,0,3,1,3,150,top_king_persona_subset
char__families,families,Families,False,False,0,0,3,3,3,151,top_king_persona_subset
char__gather,gather,Gather,False,False,0,0,3,3,3,152,top_king_persona_subset
char__grandfather,grandfather,Grandfather,False,False,0,0,3,3,3,153,top_king_persona_subset
char__high_priest,high priest,High Priest,False,False,0,0,3,3,3,154,top_king_persona_subset
char__ladies,ladies,Ladies,False,False,0,0,3,3,3,155,top_king_persona_subset
char__local,local,Local,False,False,0,0,3,2,3,156,top_king_persona_subset
char__member,member,Member,False,False,0,0,3,3,3,157,top_king_persona_subset
char__mistress,mistress,Mistress,False,False,0,0,3,3,3,158,top_king_persona_subset
char__party,party,Party,False,False,0,0,3,3,3,159,top_king_persona_subset
char__sacrifice,sacrifice,Sacrifice,False,False,0,0,3,3,3,160,top_king_persona_subset
char__turkey,turkey,Turkey,False,False,0,0,3,2,3,161,top_king_persona_subset
char__wizards,wizards,Wizards,False,False,0,0,3,3,3,162,top_king_persona_subset
char__young_boy,young boy,Young Boy,False,False,0,0,3,3,3,163,top_king_persona_subset
char__young_man,young man,Young Man,False,False,0,0,3,2,3,164,top_king_persona_subset
char__assassin,assassin,Assassin,False,False,0,0,2,2,2,165,top_king_persona_subset
char__baby,baby,Baby,False,False,0,0,2,1,2,166,top_king_persona_subset
char__court_jester,court jester,Court Jester,False,False,0,0,2,2,2,167,top_king_persona_subset
char__cow,cow,Cow,False,False,0,0,2,2,2,168,top_king_persona_subset
char__deer,deer,Deer,False,False,0,0,2,2,2,169,top_king_persona_subset
char__doctor,doctor,Doctor,False,False,0,0,2,2,2,170,top_king_persona_subset
char__dove,dove,Dove,False,False,0,0,2,2,2,171,top_king_persona_subset
char__faerie,faerie,Faerie,False,False,0,0,2,2,2,172,top_king_persona_subset
char__fighter,fighter,Fighter,False,False,0,0,2,2,2,173,top_king_persona_subset
char__footman,footman,Footman,False,False,0,0,2,2,2,174,top_king_persona_subset
char__insect,insect,Insect,False,False,0,0,2,2,2,175,top_king_persona_subset
char__insects,insects,Insects,False,False,0,0,2,2,2,176,top_king_persona_subset
char__king_s_guard,king's guard,King'S Guard,False,False,0,0,2,2,2,177,top_king_persona_subset
char__mad_king,mad king,Mad King,False,False,0,0,2,1,2,178,top_king_persona_subset
char__messenger,messenger,Messenger,False,False,0,0,2,2,2,179,top_king_persona_subset
char__pet,pet,Pet,False,False,0,0,2,1,2,180,top_king_persona_subset
char__pig,pig,Pig,False,False,0,0,2,2,2,181,top_king_persona_subset
char__prisoners,prisoners,Prisoners,False,False,0,0,2,2,2,182,top_king_persona_subset
char__scientist,scientist,Scientist,False,False,0,0,2,2,2,183,top_king_persona_subset
char__tower,tower,Tower,False,False,0,0,2,2,2,184,top_king_persona_subset
char__traitor,traitor,Traitor,False,False,0,0,2,2,2,185,top_king_persona_subset
char__troll,troll,Troll,False,False,0,0,2,1,2,186,top_king_persona_subset
char__worms,worms,Worms,False,False,0,0,2,1,2,187,top_king_persona_subset
char__adulterer,adulterer,Adulterer,False,False,0,0,1,1,1,188,top_king_persona_subset
char__advisor,advisor,Advisor,False,False,0,0,1,1,1,189,top_king_persona_subset
char__apprentice,apprentice,Apprentice,False,False,0,0,1,1,1,190,top_king_persona_subset
char__artists,artists,Artists,False,False,0,0,1,1,1,191,top_king_persona_subset
char__assistant,assistant,Assistant,False,False,0,0,1,1,1,192,top_king_persona_subset
char__attendant,attendant,Attendant,False,False,0,0,1,1,1,193,top_king_persona_subset
char__beaver,beaver,Beaver,False,False,0,0,1,1,1,194,top_king_persona_subset
char__bedroom,bedroom,Bedroom,False,False,0,0,1,1,1,195,top_king_persona_subset
char__blacksmiths,blacksmiths,Blacksmiths,False,False,0,0,1,1,1,196,top_king_persona_subset
char__butler,butler,Butler,False,False,0,0,1,1,1,197,top_king_persona_subset
char__captive,captive,Captive,False,False,0,0,1,1,1,198,top_king_persona_subset
char__cat,cat,Cat,False,False,0,0,1,1,1,199,top_king_persona_subset
char__character,character,Character,False,False,0,0,1,1,1,200,top_king_persona_subset
char__chief,chief,Chief,False,False,0,0,1,1,1,201,top_king_persona_subset
char__companion,companion,Companion,False,False,0,0,1,1,1,202,top_king_persona_subset
char__court_wizard,court wizard,Court Wizard,False,False,0,0,1,1,1,203,top_king_persona_subset
char__craftsman,craftsman,Craftsman,False,False,0,0,1,1,1,204,top_king_persona_subset
char__creature,creature,Creature,False,False,0,0,1,1,1,205,top_king_persona_subset
char__criminal,criminal,Criminal,False,False,0,0,1,1,1,206,top_king_persona_subset
char__crow,crow,Crow,False,False,0,0,1,1,1,207,top_king_persona_subset
char__cut_throat,cut throat,Cut Throat,False,False,0,0,1,1,1,208,top_king_persona_subset
char__demon,demon,Demon,False,False,0,0,1,1,1,209,top_king_persona_subset
char__devil,devil,Devil,False,False,0,0,1,1,1,210,top_king_persona_subset
char__donkey,donkey,Donkey,False,False,0,0,1,1,1,211,top_king_persona_subset
char__drunkard,drunkard,Drunkard,False,False,0,0,1,1,1,212,top_king_persona_subset
char__faeries,faeries,Faeries,False,False,0,0,1,1,1,213,top_king_persona_subset
char__faery,faery,Faery,False,False,0,0,1,1,1,214,top_king_persona_subset
char__farmers,farmers,Farmers,False,False,0,0,1,1,1,215,top_king_persona_subset
char__figure,figure,Figure,False,False,0,0,1,1,1,216,top_king_persona_subset
char__fish,fish,Fish,False,True,0,0,1,1,1,217,top_king_persona_subset
char__fishermen,fishermen,Fishermen,False,False,0,0,1,1,1,218,top_king_persona_subset
char__flies,flies,Flies,False,False,0,0,1,1,1,219,top_king_persona_subset
char__follower,follower,Follower,False,False,0,0,1,1,1,220,top_king_persona_subset
char__frog,frog,Frog,False,False,0,0,1,1,1,221,top_king_persona_subset
char__goddess,goddess,Goddess,False,False,0,0,1,1,1,222,top_king_persona_subset
char__grandmother,grandmother,Grandmother,False,False,0,0,1,1,1,223,top_king_persona_subset
char__groom,groom,Groom,False,False,0,0,1,1,1,224,top_king_persona_subset
char__handmaid,handmaid,Handmaid,False,False,0,0,1,1,1,225,top_king_persona_subset
char__high_priestess,high priestess,High Priestess,False,False,0,0,1,1,1,226,top_king_persona_subset
char__his_wife,his wife,His Wife,False,False,0,0,1,1,1,227,top_king_persona_subset
char__hound,hound,Hound,False,False,0,0,1,1,1,228,top_king_persona_subset
char__individual,individual,Individual,False,False,0,0,1,1,1,229,top_king_persona_subset
char__judge,judge,Judge,False,False,0,0,1,1,1,230,top_king_persona_subset
char__kid,kid,Kid,False,False,0,0,1,1,1,231,top_king_persona_subset
char__librarian,librarian,Librarian,False,False,0,0,1,1,1,232,top_king_persona_subset
char__lizard,lizard,Lizard,False,False,0,0,1,1,1,233,top_king_persona_subset
char__loved_ones,loved ones,Loved Ones,False,False,0,0,1,1,1,234,top_king_persona_subset
char__maester,maester,Maester,False,False,0,0,1,1,1,235,top_king_persona_subset
char__mage,mage,Mage,False,False,0,0,1,1,1,236,top_king_persona_subset
char__mice,mice,Mice,False,False,0,0,1,1,1,237,top_king_persona_subset
char__miner,miner,Miner,False,False,0,0,1,1,1,238,top_king_persona_subset
char__minister,minister,Minister,False,False,0,0,1,1,1,239,top_king_persona_subset
char__monster,monster,Monster,False,False,0,0,1,1,1,240,top_king_persona_subset
char__mouse,mouse,Mouse,False,False,0,0,1,1,1,241,top_king_persona_subset
char__nobleman,nobleman,Nobleman,False,False,0,0,1,1,1,242,top_king_persona_subset
char__nobles,nobles,Nobles,False,False,0,0,1,1,1,243,top_king_persona_subset
char__old_woman,old woman,Old Woman,False,False,0,0,1,1,1,244,top_king_persona_subset
char__painter,painter,Painter,False,False,0,0,1,1,1,245,top_king_persona_subset
char__parent,parent,Parent,False,False,0,0,1,1,1,246,top_king_persona_subset
char__patient,patient,Patient,False,False,0,0,1,1,1,247,top_king_persona_subset
char__priestess,priestess,Priestess,False,False,0,0,1,1,1,248,top_king_persona_subset
char__retainer,retainer,Retainer,False,False,0,0,1,1,1,249,top_king_persona_subset
char__rival,rival,Rival,False,False,0,0,1,1,1,250,top_king_persona_subset
char__smith,smith,Smith,False,False,0,0,1,1,1,251,top_king_persona_subset
char__souls,souls,Souls,False,False,0,0,1,1,1,252,top_king_persona_subset
char__spirit,spirit,Spirit,False,False,0,0,1,1,1,253,top_king_persona_subset
char__stable_boy,stable boy,Stable Boy,False,False,0,0,1,1,1,254,top_king_persona_subset
char__student,student,Student,False,False,0,0,1,1,1,255,top_king_persona_subset
char__survivors,survivors,Survivors,False,False,0,0,1,1,1,256,top_king_persona_subset
char__toad,toad,Toad,False,False,0,0,1,1,1,257,top_king_persona_subset
char__torturer,torturer,Torturer,False,False,0,0,1,1,1,258,top_king_persona_subset
char__trolls,trolls,Trolls,False,False,0,0,1,1,1,259,top_king_persona_subset
char__troop,troop,Troop,False,False,0,0,1,1,1,260,top_king_persona_subset
char__warden,warden,Warden,False,False,0,0,1,1,1,261,top_king_persona_subset
char__watcher,watcher,Watcher,False,False,0,0,1,1,1,262,top_king_persona_subset
char__watchman,watchman,Watchman,False,False,0,0,1,1,1,263,top_king_persona_subset
char__wench,wench,Wench,False,False,0,0,1,1,1,264,top_king_persona_subset
