character_id,utterance_id,episode_id,turn_index
char__king,utt__train_ep_001679__009,train_ep_001679,9
char__guard,utt__train_ep_001679__010,train_ep_001679,10
char__king,utt__train_ep_001679__011,train_ep_001679,11
char__guard,utt__train_ep_001679__012,train_ep_001679,12
char__king,utt__train_ep_001679__013,train_ep_001679,13
char__townperson,utt__train_ep_001693__000,train_ep_001693,0
char__king,utt__train_ep_001693__001,train_ep_001693,1
char__townperson,utt__train_ep_001693__002,train_ep_001693,2
char__king,utt__train_ep_001693__003,train_ep_001693,3
char__townperson,utt__train_ep_001693__004,train_ep_001693,4
char__king,utt__train_ep_001693__005,train_ep_001693,5
char__townperson,utt__train_ep_001693__006,train_ep_001693,6
char__king,utt__train_ep_001693__007,train_ep_001693,7
char__townperson,utt__train_ep_001693__008,train_ep_001693,8
char__king,utt__train_ep_001693__009,train_ep_001693,9
char__townperson,utt__train_ep_001693__010,train_ep_001693,10
char__king,utt__train_ep_001693__011,train_ep_001693,11
char__townperson,utt__train_ep_001693__012,train_ep_001693,12
char__king,utt__train_ep_001693__013,train_ep_001693,13
char__guest,utt__train_ep_001695__000,train_ep_001695,0
char__king,utt__train_ep_001695__001,train_ep_001695,1
char__guest,utt__train_ep_001695__002,train_ep_001695,2
char__king,utt__train_ep_001695__003,train_ep_001695,3
char__guest,utt__train_ep_001695__004,train_ep_001695,4
char__king,utt__train_ep_001695__005,train_ep_001695,5
char__guest,utt__train_ep_001695__006,train_ep_001695,6
char__king,utt__train_ep_001695__007,train_ep_001695,7
char__guest,utt__train_ep_001695__008,train_ep_001695,8
char__king,utt__train_ep_001695__009,train_ep_001695,9
char__guest,utt__train_ep_001695__010,train_ep_001695,10
char__king,utt__train_ep_001695__011,train_ep_001695,11
char__guest,utt__train_ep_001695__012,train_ep_001695,12
char__king,utt__train_ep_001695__013,train_ep_001695,13
char__king,utt__train_ep_001710__000,train_ep_001710,0
char__drunks,utt__train_ep_001710__001,train_ep_001710,1
char__king,utt__train_ep_001710__002,train_ep_001710,2
char__drunks,utt__train_ep_001710__003,train_ep_001710,3
char__king,utt__train_ep_001710__004,train_ep_001710,4
char__drunks,utt__train_ep_001710__005,train_ep_001710,5
char__king,utt__train_ep_001710__006,train_ep_001710,6
char__drunks,utt__train_ep_001710__007,train_ep_001710,7
char__king,utt__train_ep_001710__008,train_ep_001710,8
char__drunks,utt__train_ep_001710__009,train_ep_001710,9
char__king,utt__train_ep_001710__010,train_ep_001710,10
char__drunks,utt__train_ep_001710__011,train_ep_001710,11
char__king,utt__train_ep_001710__012,train_ep_001710,12
char__drunks,utt__train_ep_001710__013,train_ep_001710,13
char__king,utt__train_ep_001731__000,train_ep_001731,0
char__animal,utt__train_ep_001731__001,train_ep_001731,1
char__king,utt__train_ep_001731__002,train_ep_001731,2
char__animal,utt__train_ep_001731__003,train_ep_001731,3
char__king,utt__train_ep_001731__004,train_ep_001731,4
char__servant,utt__train_ep_001736__000,train_ep_001736,0
char__king,utt__train_ep_001736__001,train_ep_001736,1
char__servant,utt__train_ep_001736__002,train_ep_001736,2
char__king,utt__train_ep_001736__003,train_ep_001736,3
char__servant,utt__train_ep_001736__004,train_ep_001736,4
char__king,utt__train_ep_001736__005,train_ep_001736,5
char__servant,utt__train_ep_001736__006,train_ep_001736,6
char__king,utt__train_ep_001736__007,train_ep_001736,7
char__servant,utt__train_ep_001736__008,train_ep_001736,8
char__king,utt__train_ep_001736__009,train_ep_001736,9
char__servant,utt__train_ep_001736__010,train_ep_001736,10
char__king,utt__train_ep_001736__011,train_ep_001736,11
char__servant,utt__train_ep_001736__012,train_ep_001736,12
char__king,utt__train_ep_001736__013,train_ep_001736,13
char__king,utt__train_ep_001739__000,train_ep_001739,0
char__people,utt__train_ep_001739__001,train_ep_001739,1
char__king,utt__train_ep_001739__002,train_ep_001739,2
char__people,utt__train_ep_001739__003,train_ep_001739,3
char__king,utt__train_ep_001739__004,train_ep_001739,4
char__people,utt__train_ep_001739__005,train_ep_001739,5
char__king,utt__train_ep_001739__006,train_ep_001739,6
char__people,utt__train_ep_001739__007,train_ep_001739,7
char__king,utt__train_ep_001739__008,train_ep_001739,8
char__people,utt__train_ep_001739__009,train_ep_001739,9
char__king,utt__train_ep_001739__010,train_ep_001739,10
char__people,utt__train_ep_001739__011,train_ep_001739,11
char__king,utt__train_ep_001739__012,train_ep_001739,12
char__people,utt__train_ep_001739__013,train_ep_001739,13
char__king,utt__train_ep_001755__000,train_ep_001755,0
char__merchant,utt__train_ep_001755__001,train_ep_001755,1
char__king,utt__train_ep_001755__002,train_ep_001755,2
char__merchant,utt__train_ep_001755__003,train_ep_001755,3
char__king,utt__train_ep_001755__004,train_ep_001755,4
char__merchant,utt__train_ep_001755__005,train_ep_001755,5
char__king,utt__train_ep_001755__006,train_ep_001755,6
char__merchant,utt__train_ep_001755__007,train_ep_001755,7
char__king,utt__train_ep_001755__008,train_ep_001755,8
char__merchant,utt__train_ep_001755__009,train_ep_001755,9
char__king,utt__train_ep_001755__010,train_ep_001755,10
char__merchant,utt__train_ep_001755__011,train_ep_001755,11
char__king,utt__train_ep_001755__012,train_ep_001755,12
char__merchant,utt__train_ep_001755__013,train_ep_001755,13
char__subject,utt__train_ep_001779__000,train_ep_001779,0
char__king,utt__train_ep_001779__001,train_ep_001779,1
char__subject,utt__train_ep_001779__002,train_ep_001779,2
char__king,utt__train_ep_001779__003,train_ep_001779,3
char__subject,utt__train_ep_001779__004,train_ep_001779,4
char__king,utt__train_ep_001779__005,train_ep_001779,5
char__subject,utt__train_ep_001779__006,train_ep_001779,6
char__king,utt__train_ep_001779__007,train_ep_001779,7
char__subject,utt__train_ep_001779__008,train_ep_001779,8
char__king,utt__train_ep_001779__009,train_ep_001779,9
char__subject,utt__train_ep_001779__010,train_ep_001779,10
char__king,utt__train_ep_001779__011,train_ep_001779,11
char__subject,utt__train_ep_001779__012,train_ep_001779,12
char__king,utt__train_ep_001779__013,train_ep_001779,13
char__king,utt__train_ep_001781__000,train_ep_001781,0
char__person,utt__train_ep_001781__001,train_ep_001781,1
char__king,utt__train_ep_001781__002,train_ep_001781,2
char__person,utt__train_ep_001781__003,train_ep_001781,3
char__king,utt__train_ep_001781__004,train_ep_001781,4
char__person,utt__train_ep_001781__005,train_ep_001781,5
char__king,utt__train_ep_001781__006,train_ep_001781,6
char__person,utt__train_ep_001781__007,train_ep_001781,7
char__king,utt__train_ep_001781__008,train_ep_001781,8
char__person,utt__train_ep_001781__009,train_ep_001781,9
char__blacksmith,utt__train_ep_001804__000,train_ep_001804,0
char__king,utt__train_ep_001804__001,train_ep_001804,1
char__blacksmith,utt__train_ep_001804__002,train_ep_001804,2
char__king,utt__train_ep_001804__003,train_ep_001804,3
char__blacksmith,utt__train_ep_001804__004,train_ep_001804,4
char__king,utt__train_ep_001804__005,train_ep_001804,5
char__blacksmith,utt__train_ep_001804__006,train_ep_001804,6
char__king,utt__train_ep_001804__007,train_ep_001804,7
char__blacksmith,utt__train_ep_001804__008,train_ep_001804,8
char__king,utt__train_ep_001804__009,train_ep_001804,9
char__blacksmith,utt__train_ep_001804__010,train_ep_001804,10
char__king,utt__train_ep_001804__011,train_ep_001804,11
char__blacksmith,utt__train_ep_001804__012,train_ep_001804,12
char__king,utt__train_ep_001804__013,train_ep_001804,13
char__king,utt__train_ep_001810__000,train_ep_001810,0
char__queen,utt__train_ep_001810__001,train_ep_001810,1
char__king,utt__train_ep_001810__002,train_ep_001810,2
char__queen,utt__train_ep_001810__003,train_ep_001810,3
char__king,utt__train_ep_001810__004,train_ep_001810,4
char__queen,utt__train_ep_001810__005,train_ep_001810,5
char__king,utt__train_ep_001810__006,train_ep_001810,6
char__queen,utt__train_ep_001810__007,train_ep_001810,7
char__king,utt__train_ep_001810__008,train_ep_001810,8
char__queen,utt__train_ep_001810__009,train_ep_001810,9
char__king,utt__train_ep_001810__010,train_ep_001810,10
char__queen,utt__train_ep_001810__011,train_ep_001810,11
char__king,utt__train_ep_001810__012,train_ep_001810,12
char__queen,utt__train_ep_001810__013,train_ep_001810,13
char__maid,utt__train_ep_001812__000,train_ep_001812,0
char__king,utt__train_ep_001812__001,train_ep_001812,1
char__maid,utt__train_ep_001812__002,train_ep_001812,2
char__king,utt__train_ep_001812__003,train_ep_001812,3
char__maid,utt__train_ep_001812__004,train_ep_001812,4
char__king,utt__train_ep_001812__005,train_ep_001812,5
char__maid,utt__train_ep_001812__006,train_ep_001812,6
char__king,utt__train_ep_001812__007,train_ep_001812,7
char__maid,utt__train_ep_001812__008,train_ep_001812,8
char__king,utt__train_ep_001812__009,train_ep_001812,9
char__maid,utt__train_ep_001812__010,train_ep_001812,10
char__king,utt__train_ep_001812__011,train_ep_001812,11
char__maid,utt__train_ep_001812__012,train_ep_001812,12
char__king,utt__train_ep_001812__013,train_ep_001812,13
char__priest,utt__train_ep_001826__000,train_ep_001826,0
char__king,utt__train_ep_001826__001,train_ep_001826,1
char__priest,utt__train_ep_001826__002,train_ep_001826,2
char__king,utt__train_ep_001826__003,train_ep_001826,3
char__priest,utt__train_ep_001826__004,train_ep_001826,4
char__king,utt__train_ep_001826__005,train_ep_001826,5
char__priest,utt__train_ep_001826__006,train_ep_001826,6
char__king,utt__train_ep_001826__007,train_ep_001826,7
char__priest,utt__train_ep_001826__008,train_ep_001826,8
char__king,utt__train_ep_001826__009,train_ep_001826,9
char__priest,utt__train_ep_001826__010,train_ep_001826,10
char__king,utt__train_ep_001826__011,train_ep_001826,11
char__noble,utt__train_ep_001838__000,train_ep_001838,0
char__king,utt__train_ep_001838__001,train_ep_001838,1
char__noble,utt__train_ep_001838__002,train_ep_001838,2
char__king,utt__train_ep_001838__003,train_ep_001838,3
char__noble,utt__train_ep_001838__004,train_ep_001838,4
char__king,utt__train_ep_001838__005,train_ep_001838,5
char__noble,utt__train_ep_001838__006,train_ep_001838,6
char__king,utt__train_ep_001838__007,train_ep_001838,7
char__noble,utt__train_ep_001838__008,train_ep_001838,8
char__king,utt__train_ep_001838__009,train_ep_001838,9
char__noble,utt__train_ep_001838__010,train_ep_001838,10
char__king,utt__train_ep_001838__011,train_ep_001838,11
char__noble,utt__train_ep_001838__012,train_ep_001838,12
char__king,utt__train_ep_001838__013,train_ep_001838,13
char__king,utt__train_ep_001876__000,train_ep_001876,0
char__visitor,utt__train_ep_001876__001,train_ep_001876,1
char__king,utt__train_ep_001876__002,train_ep_001876,2
char__visitor,utt__train_ep_001876__003,train_ep_001876,3
char__king,utt__train_ep_001876__004,train_ep_001876,4
char__visitor,utt__train_ep_001876__005,train_ep_001876,5
char__king,utt__train_ep_001876__006,train_ep_001876,6
char__visitor,utt__train_ep_001876__007,train_ep_001876,7
char__king,utt__train_ep_001876__008,train_ep_001876,8
char__visitor,utt__train_ep_001876__009,train_ep_001876,9
char__king,utt__train_ep_001876__010,train_ep_001876,10
char__visitor,utt__train_ep_001876__011,train_ep_001876,11
char__king,utt__train_ep_001876__012,train_ep_001876,12
char__visitor,utt__train_ep_001876__013,train_ep_001876,13
char__queen,utt__train_ep_002010__000,train_ep_002010,0
char__king,utt__train_ep_002010__001,train_ep_002010,1
char__queen,utt__train_ep_002010__002,train_ep_002010,2
char__king,utt__train_ep_002010__003,train_ep_002010,3
char__queen,utt__train_ep_002010__004,train_ep_002010,4
char__king,utt__train_ep_002010__005,train_ep_002010,5
char__queen,utt__train_ep_002010__006,train_ep_002010,6
char__king,utt__train_ep_002010__007,train_ep_002010,7
char__queen,utt__train_ep_002010__008,train_ep_002010,8
char__king,utt__train_ep_002010__009,train_ep_002010,9
char__queen,utt__train_ep_002010__010,train_ep_002010,10
char__king,utt__train_ep_002010__011,train_ep_002010,11
char__queen,utt__train_ep_002010__012,train_ep_002010,12
char__king,utt__train_ep_002010__013,train_ep_002010,13
char__princess,utt__train_ep_002023__000,train_ep_002023,0
char__king,utt__train_ep_002023__001,train_ep_002023,1
char__princess,utt__train_ep_002023__002,train_ep_002023,2
char__king,utt__train_ep_002023__003,train_ep_002023,3
char__princess,utt__train_ep_002023__004,train_ep_002023,4
char__king,utt__train_ep_002023__005,train_ep_002023,5
char__princess,utt__train_ep_002023__006,train_ep_002023,6
char__king,utt__train_ep_002023__007,train_ep_002023,7
char__princess,utt__train_ep_002023__008,train_ep_002023,8
char__king,utt__train_ep_002023__009,train_ep_002023,9
char__princess,utt__train_ep_002023__010,train_ep_002023,10
char__king,utt__train_ep_002023__011,train_ep_002023,11
char__princess,utt__train_ep_002023__012,train_ep_002023,12
char__king,utt__train_ep_002023__013,train_ep_002023,13
char__king,utt__train_ep_002071__000,train_ep_002071,0
char__servant,utt__train_ep_002071__001,train_ep_002071,1
char__king,utt__train_ep_002073__000,train_ep_002073,0
char__customer,utt__train_ep_002073__001,train_ep_002073,1
char__king,utt__train_ep_002073__002,train_ep_002073,2
char__customer,utt__train_ep_002073__003,train_ep_002073,3
char__king,utt__train_ep_002073__004,train_ep_002073,4
char__customer,utt__train_ep_002073__005,train_ep_002073,5
char__king,utt__train_ep_002073__006,train_ep_002073,6
char__customer,utt__train_ep_002073__007,train_ep_002073,7
char__king,utt__train_ep_002073__008,train_ep_002073,8
char__customer,utt__train_ep_002073__009,train_ep_002073,9
char__king,utt__train_ep_002073__010,train_ep_002073,10
char__king,utt__train_ep_002077__000,train_ep_002077,0
char__dragon,utt__train_ep_002077__001,train_ep_002077,1
char__king,utt__train_ep_002077__002,train_ep_002077,2
char__dragon,utt__train_ep_002077__003,train_ep_002077,3
char__king,utt__train_ep_002077__004,train_ep_002077,4
char__dragon,utt__train_ep_002077__005,train_ep_002077,5
char__king,utt__train_ep_002077__006,train_ep_002077,6
char__dragon,utt__train_ep_002077__007,train_ep_002077,7
char__king,utt__train_ep_002077__008,train_ep_002077,8
char__dragon,utt__train_ep_002077__009,train_ep_002077,9
char__king,utt__train_ep_002077__010,train_ep_002077,10
char__dragon,utt__train_ep_002077__011,train_ep_002077,11
char__king,utt__train_ep_002077__012,train_ep_002077,12
char__dragon,utt__train_ep_002077__013,train_ep_002077,13
char__king,utt__train_ep_002091__000,train_ep_002091,0
char__his_father,utt__train_ep_002091__001,train_ep_002091,1
char__king,utt__train_ep_002091__002,train_ep_002091,2
char__his_father,utt__train_ep_002091__003,train_ep_002091,3
char__king,utt__train_ep_002091__004,train_ep_002091,4
char__his_father,utt__train_ep_002091__005,train_ep_002091,5
char__king,utt__train_ep_002091__006,train_ep_002091,6
char__his_father,utt__train_ep_002091__007,train_ep_002091,7
char__king,utt__train_ep_002091__008,train_ep_002091,8
char__his_father,utt__train_ep_002091__009,train_ep_002091,9
char__king,utt__train_ep_002091__010,train_ep_002091,10
char__his_father,utt__train_ep_002091__011,train_ep_002091,11
char__king,utt__train_ep_002091__012,train_ep_002091,12
char__his_father,utt__train_ep_002091__013,train_ep_002091,13
char__maid,utt__train_ep_002242__000,train_ep_002242,0
char__king,utt__train_ep_002242__001,train_ep_002242,1
char__maid,utt__train_ep_002242__002,train_ep_002242,2
char__king,utt__train_ep_002242__003,train_ep_002242,3
char__maid,utt__train_ep_002242__004,train_ep_002242,4
char__king,utt__train_ep_002242__005,train_ep_002242,5
char__maid,utt__train_ep_002242__006,train_ep_002242,6
char__king,utt__train_ep_002242__007,train_ep_002242,7
char__maid,utt__train_ep_002242__008,train_ep_002242,8
char__king,utt__train_ep_002242__009,train_ep_002242,9
char__maid,utt__train_ep_002242__010,train_ep_002242,10
char__king,utt__train_ep_002242__011,train_ep_002242,11
char__maid,utt__train_ep_002242__012,train_ep_002242,12
char__king,utt__train_ep_002242__013,train_ep_002242,13
char__guard,utt__train_ep_002262__000,train_ep_002262,0
char__king,utt__train_ep_002262__001,train_ep_002262,1
char__guard,utt__train_ep_002262__002,train_ep_002262,2
char__king,utt__train_ep_002262__003,train_ep_002262,3
char__guard,utt__train_ep_002262__004,train_ep_002262,4
char__king,utt__train_ep_002262__005,train_ep_002262,5
char__guard,utt__train_ep_002262__006,train_ep_002262,6
char__king,utt__train_ep_002262__007,train_ep_002262,7
char__guard,utt__train_ep_002262__008,train_ep_002262,8
char__king,utt__train_ep_002262__009,train_ep_002262,9
char__guard,utt__train_ep_002262__010,train_ep_002262,10
char__king,utt__train_ep_002262__011,train_ep_002262,11
char__guard,utt__train_ep_002262__012,train_ep_002262,12
char__king,utt__train_ep_002262__013,train_ep_002262,13
char__maid,utt__train_ep_002265__000,train_ep_002265,0
char__king,utt__train_ep_002265__001,train_ep_002265,1
char__maid,utt__train_ep_002265__002,train_ep_002265,2
char__king,utt__train_ep_002265__003,train_ep_002265,3
char__maid,utt__train_ep_002265__004,train_ep_002265,4
char__king,utt__train_ep_002265__005,train_ep_002265,5
char__maid,utt__train_ep_002265__006,train_ep_002265,6
char__king,utt__train_ep_002265__007,train_ep_002265,7
char__maid,utt__train_ep_002265__008,train_ep_002265,8
char__king,utt__train_ep_002265__009,train_ep_002265,9
char__maid,utt__train_ep_002265__010,train_ep_002265,10
char__pheasant,utt__train_ep_002266__000,train_ep_002266,0
char__king,utt__train_ep_002266__001,train_ep_002266,1
char__pheasant,utt__train_ep_002266__002,train_ep_002266,2
char__king,utt__train_ep_002266__003,train_ep_002266,3
char__pheasant,utt__train_ep_002266__004,train_ep_002266,4
char__king,utt__train_ep_002266__005,train_ep_002266,5
char__pheasant,utt__train_ep_002266__006,train_ep_002266,6
char__king,utt__train_ep_002266__007,train_ep_002266,7
char__pheasant,utt__train_ep_002266__008,train_ep_002266,8
char__king,utt__train_ep_002266__009,train_ep_002266,9
char__king,utt__train_ep_002267__000,train_ep_002267,0
char__queen,utt__train_ep_002267__001,train_ep_002267,1
char__king,utt__train_ep_002267__002,train_ep_002267,2
char__queen,utt__train_ep_002267__003,train_ep_002267,3
char__king,utt__train_ep_002267__004,train_ep_002267,4
char__queen,utt__train_ep_002267__005,train_ep_002267,5
char__king,utt__train_ep_002267__006,train_ep_002267,6
char__queen,utt__train_ep_002267__007,train_ep_002267,7
char__king,utt__train_ep_002267__008,train_ep_002267,8
char__queen,utt__train_ep_002267__009,train_ep_002267,9
char__king,utt__train_ep_002267__010,train_ep_002267,10
char__queen,utt__train_ep_002267__011,train_ep_002267,11
char__king,utt__train_ep_002267__012,train_ep_002267,12
char__queen,utt__train_ep_002267__013,train_ep_002267,13
char__townperson,utt__train_ep_002273__000,train_ep_002273,0
char__king,utt__train_ep_002273__001,train_ep_002273,1
char__townperson,utt__train_ep_002273__002,train_ep_002273,2
char__king,utt__train_ep_002273__003,train_ep_002273,3
char__townperson,utt__train_ep_002273__004,train_ep_002273,4
char__king,utt__train_ep_002273__005,train_ep_002273,5
char__townperson,utt__train_ep_002273__006,train_ep_002273,6
char__king,utt__train_ep_002273__007,train_ep_002273,7
char__townperson,utt__train_ep_002273__008,train_ep_002273,8
char__king,utt__train_ep_002273__009,train_ep_002273,9
char__townperson,utt__train_ep_002273__010,train_ep_002273,10
char__king,utt__train_ep_002273__011,train_ep_002273,11
char__townperson,utt__train_ep_002273__012,train_ep_002273,12
char__king,utt__train_ep_002273__013,train_ep_002273,13
char__king,utt__train_ep_002275__000,train_ep_002275,0
char__man,utt__train_ep_002275__001,train_ep_002275,1
char__king,utt__train_ep_002275__002,train_ep_002275,2
char__man,utt__train_ep_002275__003,train_ep_002275,3
char__king,utt__train_ep_002275__004,train_ep_002275,4
char__man,utt__train_ep_002275__005,train_ep_002275,5
char__king,utt__train_ep_002275__006,train_ep_002275,6
char__man,utt__train_ep_002275__007,train_ep_002275,7
char__king,utt__train_ep_002275__008,train_ep_002275,8
char__man,utt__train_ep_002275__009,train_ep_002275,9
char__king,utt__train_ep_002275__010,train_ep_002275,10
char__man,utt__train_ep_002275__011,train_ep_002275,11
char__king,utt__train_ep_002275__012,train_ep_002275,12
char__man,utt__train_ep_002275__013,train_ep_002275,13
char__king,utt__train_ep_002277__000,train_ep_002277,0
char__guest,utt__train_ep_002277__001,train_ep_002277,1
char__king,utt__train_ep_002277__002,train_ep_002277,2
char__guest,utt__train_ep_002277__003,train_ep_002277,3
char__king,utt__train_ep_002277__004,train_ep_002277,4
char__guest,utt__train_ep_002277__005,train_ep_002277,5
char__king,utt__train_ep_002277__006,train_ep_002277,6
char__guest,utt__train_ep_002277__007,train_ep_002277,7
char__king,utt__train_ep_002277__008,train_ep_002277,8
char__guest,utt__train_ep_002277__009,train_ep_002277,9
char__king,utt__train_ep_002277__010,train_ep_002277,10
char__guest,utt__train_ep_002277__011,train_ep_002277,11
char__king,utt__train_ep_002277__012,train_ep_002277,12
char__guest,utt__train_ep_002277__013,train_ep_002277,13
char__guard,utt__train_ep_002304__000,train_ep_002304,0
char__king,utt__train_ep_002304__001,train_ep_002304,1
char__guard,utt__train_ep_002304__002,train_ep_002304,2
char__king,utt__train_ep_002304__003,train_ep_002304,3
char__guard,utt__train_ep_002304__004,train_ep_002304,4
char__king,utt__train_ep_002304__005,train_ep_002304,5
char__guard,utt__train_ep_002304__006,train_ep_002304,6
char__king,utt__train_ep_002304__007,train_ep_002304,7
char__guard,utt__train_ep_002304__008,train_ep_002304,8
char__king,utt__train_ep_002304__009,train_ep_002304,9
char__guard,utt__train_ep_002304__010,train_ep_002304,10
char__king,utt__train_ep_002304__011,train_ep_002304,11
char__guard,utt__train_ep_002304__012,train_ep_002304,12
char__king,utt__train_ep_002304__013,train_ep_002304,13
char__king,utt__train_ep_002312__000,train_ep_002312,0
char__villager,utt__train_ep_002312__001,train_ep_002312,1
char__king,utt__train_ep_002312__002,train_ep_002312,2
char__villager,utt__train_ep_002312__003,train_ep_002312,3
char__king,utt__train_ep_002312__004,train_ep_002312,4
char__villager,utt__train_ep_002312__005,train_ep_002312,5
char__king,utt__train_ep_002312__006,train_ep_002312,6
char__villager,utt__train_ep_002312__007,train_ep_002312,7
char__king,utt__train_ep_002312__008,train_ep_002312,8
char__villager,utt__train_ep_002312__009,train_ep_002312,9
char__king,utt__train_ep_002312__010,train_ep_002312,10
char__villager,utt__train_ep_002312__011,train_ep_002312,11
char__king,utt__train_ep_002312__012,train_ep_002312,12
char__villager,utt__train_ep_002312__013,train_ep_002312,13
char__king,utt__train_ep_002317__000,train_ep_002317,0
char__servant,utt__train_ep_002317__001,train_ep_002317,1
char__king,utt__train_ep_002317__002,train_ep_002317,2
char__servant,utt__train_ep_002317__003,train_ep_002317,3
char__king,utt__train_ep_002317__004,train_ep_002317,4
char__servant,utt__train_ep_002317__005,train_ep_002317,5
char__king,utt__train_ep_002317__006,train_ep_002317,6
char__servant,utt__train_ep_002317__007,train_ep_002317,7
char__king,utt__train_ep_002317__008,train_ep_002317,8
char__servant,utt__train_ep_002317__009,train_ep_002317,9
char__king,utt__train_ep_002317__010,train_ep_002317,10
char__servant,utt__train_ep_002317__011,train_ep_002317,11
char__king,utt__train_ep_002317__012,train_ep_002317,12
char__servant,utt__train_ep_002317__013,train_ep_002317,13
char__king,utt__train_ep_002351__000,train_ep_002351,0
char__person,utt__train_ep_002351__001,train_ep_002351,1
char__king,utt__train_ep_002351__002,train_ep_002351,2
char__person,utt__train_ep_002351__003,train_ep_002351,3
char__king,utt__train_ep_002351__004,train_ep_002351,4
char__person,utt__train_ep_002351__005,train_ep_002351,5
char__king,utt__train_ep_002351__006,train_ep_002351,6
char__person,utt__train_ep_002351__007,train_ep_002351,7
