character_id,episode_id,character_name,source_field
char__townperson,train_ep_003080,townperson,agents
char__king,train_ep_003082,king,agents
char__knight,train_ep_003082,knight,agents
char__king,train_ep_003084,king,agents
char__soldier,train_ep_003084,soldier,agents
char__king,train_ep_003111,king,agents
char__royal_family,train_ep_003111,royal family,agents
char__child,train_ep_003118,child,agents
char__king,train_ep_003118,king,agents
char__king,train_ep_003123,king,agents
char__servant,train_ep_003123,servant,agents
char__diplomat,train_ep_003141,diplomat,agents
char__king,train_ep_003141,king,agents
char__king,train_ep_003160,king,agents
char__knight,train_ep_003160,knight,agents
char__king,train_ep_003165,king,agents
char__prisoner,train_ep_003165,prisoner,agents
char__king,train_ep_003178,king,agents
char__servant,train_ep_003178,servant,agents
char__blacksmith,train_ep_003184,blacksmith,agents
char__king,train_ep_003184,king,agents
char__king,train_ep_003193,king,agents
char__maid,train_ep_003193,maid,agents
char__king,train_ep_003195,king,agents
char__thief,train_ep_003195,thief,agents
char__king,train_ep_003200,king,agents
char__queen,train_ep_003200,queen,agents
char__king,train_ep_003208,king,agents
char__priest,train_ep_003208,priest,agents
char__guest,train_ep_003219,guest,agents
char__king,train_ep_003219,king,agents
char__king,train_ep_003347,king,agents
char__princess,train_ep_003347,princess,agents
char__guard,train_ep_003404,guard,agents
char__king,train_ep_003404,king,agents
char__king,train_ep_003405,king,agents
char__officer,train_ep_003405,officer,agents
char__king,train_ep_003412,king,agents
char__knight,train_ep_003412,knight,agents
char__courtier,train_ep_003424,courtier,agents
char__king,train_ep_003424,king,agents
char__king,train_ep_003530,king,agents
char__sioux_chef,train_ep_003530,sioux chef,agents
char__debtor,train_ep_003532,debtor,agents
char__king,train_ep_003532,king,agents
char__brother,train_ep_003581,brother,agents
char__king,train_ep_003581,king,agents
char__king,train_ep_003604,king,agents
char__trader,train_ep_003604,trader,agents
char__king,train_ep_003605,king,agents
char__servant,train_ep_003605,servant,agents
char__king,train_ep_003607,king,agents
char__queen,train_ep_003607,queen,agents
char__king,train_ep_003613,king,agents
char__townperson,train_ep_003613,townperson,agents
char__guest,train_ep_003616,guest,agents
char__king,train_ep_003616,king,agents
char__king,train_ep_003630,king,agents
char__waiting_priest,train_ep_003630,waiting priest,agents
char__guard,train_ep_003643,guard,agents
char__king,train_ep_003643,king,agents
char__king,train_ep_003694,king,agents
char__person,train_ep_003694,person,agents
char__king,train_ep_003699,king,agents
char__kings,train_ep_003699,kings,agents
char__king,train_ep_003706,king,agents
char__merchant,train_ep_003706,merchant,agents
char__blacksmith,train_ep_003709,blacksmith,agents
char__king,train_ep_003709,king,agents
char__king,train_ep_003718,king,agents
char__maid,train_ep_003718,maid,agents
char__king,train_ep_003723,king,agents
char__queen,train_ep_003723,queen,agents
char__king,train_ep_003738,king,agents
char__noble,train_ep_003738,noble,agents
char__king,train_ep_003807,king,agents
char__young_student_reading_a_book_beneath_a_dogwood_tree,train_ep_003807,young student reading a book beneath a dogwood tree,agents
char__king,train_ep_003895,king,agents
char__queen,train_ep_003895,queen,agents
char__brother,train_ep_004048,brother,agents
char__king,train_ep_004048,king,agents
char__king,train_ep_004068,king,agents
char__servant,train_ep_004068,servant,agents
char__king,train_ep_004080,king,agents
char__townperson,train_ep_004080,townperson,agents
char__guest,train_ep_004084,guest,agents
char__king,train_ep_004084,king,agents
char__king,train_ep_004098,king,agents
char__princess,train_ep_004098,princess,agents
char__king,train_ep_004111,king,agents
char__royal_family,train_ep_004111,royal family,agents
char__child,train_ep_004120,child,agents
char__king,train_ep_004120,king,agents
char__king,train_ep_004124,king,agents
char__servant,train_ep_004124,servant,agents
char__diplomat,train_ep_004145,diplomat,agents
char__king,train_ep_004145,king,agents
char__king,train_ep_004163,king,agents
char__servant,train_ep_004163,servant,agents
char__blacksmith,train_ep_004190,blacksmith,agents
char__king,train_ep_004190,king,agents
char__chef,train_ep_004200,chef,agents
char__king,train_ep_004200,king,agents
char__king,train_ep_004202,king,agents
char__spider,train_ep_004202,spider,agents
char__king,train_ep_004208,king,agents
char__queen,train_ep_004208,queen,agents
char__king,train_ep_004228,king,agents
char__princess,train_ep_004228,princess,agents
char__king,train_ep_004268,king,agents
char__visitor,train_ep_004268,visitor,agents
char__king,train_ep_004414,king,agents
char__officer,train_ep_004414,officer,agents
char__king,train_ep_004421,king,agents
char__wild_boar,train_ep_004421,wild boar,agents
char__his_father,train_ep_004434,his father,agents
char__king,train_ep_004434,king,agents
char__guest,train_ep_004539,guest,agents
char__king,train_ep_004539,king,agents
char__child,train_ep_004584,child,agents
char__king,train_ep_004584,king,agents
char__king,train_ep_004601,king,agents
char__servant,train_ep_004601,servant,agents
char__king,train_ep_004608,king,agents
char__townperson,train_ep_004608,townperson,agents
char__king,train_ep_004615,king,agents
char__knight,train_ep_004615,knight,agents
char__guest,train_ep_004617,guest,agents
char__king,train_ep_004617,king,agents
char__guard,train_ep_004637,guard,agents
char__king,train_ep_004637,king,agents
char__king,train_ep_004652,king,agents
char__queen,train_ep_004652,queen,agents
char__king,train_ep_004686,king,agents
char__servant,train_ep_004686,servant,agents
char__king,train_ep_004688,king,agents
char__person,train_ep_004688,person,agents
char__family_member,train_ep_004845,family member,agents
char__king,train_ep_004845,king,agents
char__king,train_ep_004924,king,agents
char__maid,train_ep_004924,maid,agents
char__king,train_ep_004927,king,agents
char__queen,train_ep_004927,queen,agents
char__dogs,train_ep_004934,dogs,agents
char__king,train_ep_004934,king,agents
char__enemy,train_ep_004936,enemy,agents
char__king,train_ep_004936,king,agents
char__guest,train_ep_004938,guest,agents
char__king,train_ep_004938,king,agents
char__king,train_ep_004953,king,agents
char__merchant,train_ep_004953,merchant,agents
char__king,train_ep_004966,king,agents
char__royal_family,train_ep_004966,royal family,agents
char__king,train_ep_004979,king,agents
char__servant,train_ep_004979,servant,agents
char__king,train_ep_004982,king,agents
char__people,train_ep_004982,people,agents
char__guard,train_ep_005001,guard,agents
char__king,train_ep_005001,king,agents
char__king,train_ep_005024,king,agents
char__subject,train_ep_005024,subject,agents
char__king,train_ep_005026,king,agents
char__person,train_ep_005026,person,agents
char__blacksmith,train_ep_005050,blacksmith,agents
char__king,train_ep_005050,king,agents
char__chef,train_ep_005060,chef,agents
char__king,train_ep_005060,king,agents
char__king,train_ep_005062,king,agents
char__traders,train_ep_005062,traders,agents
char__king,train_ep_005066,king,agents
char__queen,train_ep_005066,queen,agents
char__king,train_ep_005067,king,agents
char__queen,train_ep_005067,queen,agents
char__king,train_ep_005088,king,agents
char__queen,train_ep_005088,queen,agents
char__king,train_ep_005128,king,agents
char__murderer,train_ep_005128,murderer,agents
char__king,train_ep_005209,king,agents
char__king,train_ep_005230,king,agents
char__mightiest_warriors,train_ep_005230,mightiest warriors,agents
char__king,train_ep_005263,king,agents
char__officer,train_ep_005263,officer,agents
char__brother,train_ep_005265,brother,agents
char__king,train_ep_005265,king,agents
char__king,train_ep_005270,king,agents
char__knight,train_ep_005270,knight,agents
char__courtier,train_ep_005281,courtier,agents
char__king,train_ep_005281,king,agents
char__debtor,train_ep_005393,debtor,agents
char__king,train_ep_005393,king,agents
char__guard,train_ep_005464,guard,agents
char__king,train_ep_005464,king,agents
char__king,train_ep_005473,king,agents
char__townperson,train_ep_005473,townperson,agents
char__guest,train_ep_005477,guest,agents
char__king,train_ep_005477,king,agents
char__king,train_ep_005513,king,agents
char__servant,train_ep_005513,servant,agents
char__king,train_ep_005517,king,agents
char__queen,train_ep_005517,queen,agents
char__diplomat,train_ep_005536,diplomat,agents
char__king,train_ep_005536,king,agents
char__guard,train_ep_005557,guard,agents
char__king,train_ep_005557,king,agents
char__king,train_ep_005560,king,agents
char__subject,train_ep_005560,subject,agents
char__king,train_ep_005562,king,agents
char__person,train_ep_005562,person,agents
char__king,train_ep_005567,king,agents
char__kings,train_ep_005567,kings,agents
char__king,train_ep_005583,king,agents
char__knight,train_ep_005583,knight,agents
char__chef,train_ep_005594,chef,agents
char__king,train_ep_005594,king,agents
char__king,train_ep_005596,king,agents
char__king,train_ep_005601,king,agents
char__queen,train_ep_005601,queen,agents
char__guest,train_ep_005624,guest,agents
char__king,train_ep_005624,king,agents
char__king,train_ep_005749,king,agents
char__princess,train_ep_005749,princess,agents
char__king,train_ep_005803,king,agents
char__queen,train_ep_005803,queen,agents
char__king,train_ep_005805,king,agents
char__knight,train_ep_005805,knight,agents
char__king,train_ep_005809,king,agents
char__servant,train_ep_005809,servant,agents
char__king,train_ep_006019,king,agents
char__maid,train_ep_006019,maid,agents
char__king,train_ep_006021,king,agents
char__queen,train_ep_006021,queen,agents
char__king,train_ep_006023,king,agents
char__queen,train_ep_006023,queen,agents
char__king,train_ep_006029,king,agents
char__townperson,train_ep_006029,townperson,agents
char__guard,train_ep_006055,guard,agents
char__king,train_ep_006055,king,agents
char__king,train_ep_006066,king,agents
char__servant,train_ep_006066,servant,agents
char__king,train_ep_006068,king,agents
char__people,train_ep_006068,people,agents
char__diplomat,train_ep_006087,diplomat,agents
char__king,train_ep_006087,king,agents
char__king,train_ep_006108,king,agents
char__person,train_ep_006108,person,agents
char__blacksmith,train_ep_006131,blacksmith,agents
char__king,train_ep_006131,king,agents
char__king,train_ep_006141,king,agents
char__maid,train_ep_006141,maid,agents
char__king,train_ep_006142,king,agents
char__thief,train_ep_006142,thief,agents
char__king,train_ep_006147,king,agents
char__queen,train_ep_006147,queen,agents
char__king,train_ep_006161,king,agents
char__patron,train_ep_006161,patron,agents
char__king,train_ep_006166,king,agents
char__noble,train_ep_006166,noble,agents
char__brother,train_ep_006486,brother,agents
char__king,train_ep_006486,king,agents
char__king,train_ep_006509,king,agents
char__maid,train_ep_006509,maid,agents
char__king,train_ep_006518,king,agents
char__townperson,train_ep_006518,townperson,agents
char__enemy,train_ep_006519,enemy,agents
char__king,train_ep_006519,king,agents
char__king,train_ep_006534,king,agents
char__scholar,train_ep_006534,scholar,agents
char__king,train_ep_006575,king,agents
char__merchant,train_ep_006575,merchant,agents
char__king,train_ep_006603,king,agents
char__kings,train_ep_006603,kings,agents
char__king,train_ep_006614,king,agents
char__merchant,train_ep_006614,merchant,agents
char__king,train_ep_006631,king,agents
char__maid,train_ep_006631,maid,agents
char__king,train_ep_006633,king,agents
char__rabbit,train_ep_006633,rabbit,agents
char__king,train_ep_006638,king,agents
char__queen,train_ep_006638,queen,agents
char__king,train_ep_006696,king,agents
char__murderer,train_ep_006696,murderer,agents
char__king,train_ep_006837,king,agents
char__queen,train_ep_006837,queen,agents
char__brother,train_ep_006840,brother,agents
char__king,train_ep_006840,king,agents
char__dragon,train_ep_006845,dragon,agents
char__king,train_ep_006845,king,agents
char__fool,train_ep_006858,fool,agents
char__king,train_ep_006858,king,agents
char__debtor,train_ep_006961,debtor,agents
char__king,train_ep_006961,king,agents
char__brother,train_ep_007005,brother,agents
char__king,train_ep_007005,king,agents
char__guard,train_ep_007028,guard,agents
char__king,train_ep_007028,king,agents
char__king,train_ep_007031,king,agents
char__servant,train_ep_007031,servant,agents
char__king,train_ep_007033,king,agents
char__priests,train_ep_007033,priests,agents
char__king,train_ep_007038,king,agents
char__townperson,train_ep_007038,townperson,agents
char__king,train_ep_007066,king,agents
char__servant,train_ep_007066,servant,agents
char__king,train_ep_007120,king,agents
char__knight,train_ep_007120,knight,agents
char__king,train_ep_007123,king,agents
char__subject,train_ep_007123,subject,agents
char__king,train_ep_007125,king,agents
char__person,train_ep_007125,person,agents
char__blacksmith,train_ep_007147,blacksmith,agents
char__king,train_ep_007147,king,agents
char__king,train_ep_007158,king,agents
char__rabbit,train_ep_007158,rabbit,agents
char__king,train_ep_007160,king,agents
char__spider,train_ep_007160,spider,agents
char__king,train_ep_007165,king,agents
char__queen,train_ep_007165,queen,agents
char__king,train_ep_007166,king,agents
char__queen,train_ep_007166,queen,agents
char__king,train_ep_007182,king,agents
char__tern,train_ep_007182,tern,agents
char__king,train_ep_007220,king,agents
char__visitor,train_ep_007220,visitor,agents
char__king,train_ep_007363,king,agents
char__prior,train_ep_007363,prior,agents
char__king,train_ep_007581,king,agents
char__maid,train_ep_007581,maid,agents
char__king,train_ep_007601,king,agents
char__servant,train_ep_007601,servant,agents
char__king,train_ep_007605,king,agents
char__queen,train_ep_007605,queen,agents
char__king,train_ep_007607,king,agents
char__priests,train_ep_007607,priests,agents
char__king,train_ep_007613,king,agents
char__townperson,train_ep_007613,townperson,agents
char__king,train_ep_007615,king,agents
char__man,train_ep_007615,man,agents
char__guest,train_ep_007617,guest,agents
char__king,train_ep_007617,king,agents
char__king,train_ep_007631,king,agents
char__merchant,train_ep_007631,merchant,agents
char__king,train_ep_007644,king,agents
char__royal_family,train_ep_007644,royal family,agents
char__animal,train_ep_007651,animal,agents
char__king,train_ep_007651,king,agents
char__king,train_ep_007654,king,agents
char__servant,train_ep_007654,servant,agents
char__king,train_ep_007657,king,agents
char__merchant,train_ep_007657,merchant,agents
char__diplomat,train_ep_007673,diplomat,agents
char__king,train_ep_007673,king,agents
char__king,train_ep_007693,king,agents
char__knight,train_ep_007693,knight,agents
char__king,train_ep_007696,king,agents
char__subject,train_ep_007696,subject,agents
char__king,train_ep_007702,king,agents
char__kings,train_ep_007702,kings,agents
char__king,train_ep_007712,king,agents
char__merchant,train_ep_007712,merchant,agents
char__blacksmith,train_ep_007718,blacksmith,agents
char__king,train_ep_007718,king,agents
char__chef,train_ep_007727,chef,agents
char__king,train_ep_007727,king,agents
char__king,train_ep_007729,king,agents
char__proprietor,train_ep_007729,proprietor,agents
char__king,train_ep_007734,king,agents
char__queen,train_ep_007734,queen,agents
char__king,train_ep_007742,king,agents
char__worshipper,train_ep_007742,worshipper,agents
char__king,train_ep_007749,king,agents
char__noble,train_ep_007749,noble,agents
char__king,train_ep_007754,king,agents
char__prince,train_ep_007754,prince,agents
char__king,train_ep_007861,king,agents
char__queen,train_ep_007861,queen,agents
char__king,train_ep_007876,king,agents
char__lady_in_waiting,train_ep_007876,lady in waiting,agents
char__king,train_ep_007899,king,agents
char__mystical_dragon,train_ep_007899,mystical dragon,agents
char__king,train_ep_007940,king,agents
char__knight,train_ep_007940,knight,agents
char__his_father,train_ep_007954,his father,agents
char__king,train_ep_007954,king,agents
char__guard,train_ep_008140,guard,agents
char__king,train_ep_008140,king,agents
char__king,train_ep_008143,king,agents
char__maid,train_ep_008143,maid,agents
char__king,train_ep_008145,king,agents
char__pheasant,train_ep_008145,pheasant,agents
char__king,train_ep_008147,king,agents
char__queen,train_ep_008147,queen,agents
char__king,train_ep_008152,king,agents
char__townperson,train_ep_008152,townperson,agents
char__enemy,train_ep_008155,enemy,agents
char__king,train_ep_008155,king,agents
char__guest,train_ep_008157,guest,agents
char__king,train_ep_008157,king,agents
char__diplomat,train_ep_008215,diplomat,agents
char__king,train_ep_008215,king,agents
char__king,train_ep_008236,king,agents
char__servant,train_ep_008236,servant,agents
char__king,train_ep_008244,king,agents
char__kings,train_ep_008244,kings,agents
char__king,train_ep_008258,king,agents
char__knight,train_ep_008258,knight,agents
char__king,train_ep_008270,king,agents
char__parishioner,train_ep_008270,parishioner,agents
char__goblin_king_s_bartender,train_ep_008272,goblin king's bartender,agents
char__king,train_ep_008272,king,agents
char__king,train_ep_008277,king,agents
char__queen,train_ep_008277,queen,agents
char__king,train_ep_008278,king,agents
char__queen,train_ep_008278,queen,agents
char__king,train_ep_008286,king,agents
char__priest,train_ep_008286,priest,agents
char__king,train_ep_008299,king,agents
char__princess,train_ep_008299,princess,agents
char__king,train_ep_008338,king,agents
char__prisoner,train_ep_008338,prisoner,agents
char__king,train_ep_008484,king,agents
char__queen,train_ep_008484,queen,agents
char__king,train_ep_008618,king,agents
char__spiders,train_ep_008618,spiders,agents
char__king,train_ep_008671,king,agents
char__maid,train_ep_008671,maid,agents
char__guard,train_ep_008694,guard,agents
char__king,train_ep_008694,king,agents
char__king,train_ep_008697,king,agents
char__servant,train_ep_008697,servant,agents
char__king,train_ep_008699,king,agents
char__queen,train_ep_008699,queen,agents
char__king,train_ep_008705,king,agents
char__townperson,train_ep_008705,townperson,agents
char__king,train_ep_008723,king,agents
char__murderer,train_ep_008723,murderer,agents
char__helpers,train_ep_008725,helpers,agents
char__king,train_ep_008725,king,agents
char__king,train_ep_008735,king,agents
char__servant,train_ep_008735,servant,agents
char__king,train_ep_008741,king,agents
char__villager,train_ep_008741,villager,agents
char__king,train_ep_008787,king,agents
char__knight,train_ep_008787,knight,agents
char__king,train_ep_008803,king,agents
char__servant,train_ep_008803,servant,agents
char__king,train_ep_008820,king,agents
char__maid,train_ep_008820,maid,agents
char__king,train_ep_008822,king,agents
char__spider,train_ep_008822,spider,agents
char__king,train_ep_008827,king,agents
char__queen,train_ep_008827,queen,agents
char__king,train_ep_008828,king,agents
char__queen,train_ep_008828,queen,agents
char__king,train_ep_008845,king,agents
char__servant,train_ep_008845,servant,agents
char__king,train_ep_009029,king,agents
char__queen,train_ep_009029,queen,agents
char__king,train_ep_009037,king,agents
char__queen,train_ep_009037,queen,agents
char__brother,train_ep_009229,brother,agents
char__king,train_ep_009229,king,agents
char__king,train_ep_009254,king,agents
char__maid,train_ep_009254,maid,agents
char__king,train_ep_009258,king,agents
char__priests,train_ep_009258,priests,agents
char__dogs,train_ep_009264,dogs,agents
char__king,train_ep_009264,king,agents
char__enemy,train_ep_009265,enemy,agents
char__king,train_ep_009265,king,agents
char__hunter,train_ep_009283,hunter,agents
char__king,train_ep_009283,king,agents
char__king,train_ep_009327,king,agents
char__merchant,train_ep_009327,merchant,agents
char__king,train_ep_009349,king,agents
char__knight,train_ep_009349,knight,agents
char__king,train_ep_009352,king,agents
char__subject,train_ep_009352,subject,agents
char__king,train_ep_009354,king,agents
char__person,train_ep_009354,person,agents
char__customer,train_ep_009370,customer,agents
char__king,train_ep_009370,king,agents
char__chef,train_ep_009379,chef,agents
char__king,train_ep_009379,king,agents
char__king,train_ep_009381,king,agents
char__spider,train_ep_009381,spider,agents
char__king,train_ep_009387,king,agents
char__queen,train_ep_009387,queen,agents
char__king,train_ep_009409,king,agents
char__queen,train_ep_009409,queen,agents
char__king,train_ep_009520,king,agents
char__young_student_reading_a_book_beneath_a_dogwood_tree,train_ep_009520,young student reading a book beneath a dogwood tree,agents
char__guard,train_ep_009593,guard,agents
char__king,train_ep_009593,king,agents
char__horse,train_ep_009594,horse,agents
char__king,train_ep_009594,king,agents
char__king,train_ep_009601,king,agents
char__queen,train_ep_009601,queen,agents
char__his_father,train_ep_009615,his father,agents
char__king,train_ep_009615,king,agents
char__king,train_ep_009721,king,agents
char__rat,train_ep_009721,rat,agents
char__brother,train_ep_009771,brother,agents
char__king,train_ep_009771,king,agents
char__king,train_ep_009793,king,agents
char__servant,train_ep_009793,servant,agents
char__king,train_ep_009797,king,agents
char__queen,train_ep_009797,queen,agents
char__king,train_ep_009802,king,agents
char__townperson,train_ep_009802,townperson,agents
char__king,train_ep_009805,king,agents
char__soldier,train_ep_009805,soldier,agents
char__king,train_ep_009837,king,agents
char__maid,train_ep_009837,maid,agents
char__king,train_ep_009880,king,agents
char__servant,train_ep_009880,servant,agents
char__king,train_ep_009884,king,agents
char__queen,train_ep_009884,queen,agents
char__king,train_ep_009901,king,agents
char__prisoner,train_ep_009901,prisoner,agents
char__king,train_ep_009958,king,agents
char__thief,train_ep_009958,thief,agents
char__executioners,train_ep_010042,executioners,agents
char__king,train_ep_010042,king,agents
char__king,train_ep_010044,king,agents
char__servant,train_ep_010044,servant,agents
char__guard,train_ep_010061,guard,agents
char__king,train_ep_010061,king,agents
char__king,train_ep_010092,king,agents
char__subject,train_ep_010092,subject,agents
char__king,train_ep_010147,king,agents
char__queen,train_ep_010147,queen,agents
char__king,train_ep_010162,king,agents
char__staircase,train_ep_010162,staircase,agents
char__king,train_ep_010176,king,agents
char__prisoner,train_ep_010176,prisoner,agents
char__king,train_ep_010195,king,agents
char__servant,train_ep_010195,servant,agents
char__king,train_ep_010216,king,agents
char__person,train_ep_010216,person,agents
char__king,train_ep_010223,king,agents
char__murderer,train_ep_010223,murderer,agents
char__king,train_ep_010239,king,agents
char__kings,train_ep_010239,kings,agents
char__king,train_ep_010243,king,agents
char__servant,train_ep_010243,servant,agents
