episode_id,character_id,persona_id,target_persona_agent_count_in_episode
train_ep_005067,char__king,persona__f9e1d9295997,1
train_ep_005088,char__king,persona__f9e1d9295997,1
train_ep_005128,char__king,persona__f9e1d9295997,1
train_ep_005209,char__king,persona__f9e1d9295997,1
train_ep_005230,char__king,persona__f9e1d9295997,1
train_ep_005263,char__king,persona__f9e1d9295997,1
train_ep_005265,char__king,persona__f9e1d9295997,1
train_ep_005270,char__king,persona__f9e1d9295997,1
train_ep_005281,char__king,persona__f9e1d9295997,1
train_ep_005393,char__king,persona__f9e1d9295997,1
train_ep_005464,char__king,persona__f9e1d9295997,1
train_ep_005473,char__king,persona__f9e1d9295997,1
train_ep_005477,char__king,persona__f9e1d9295997,1
train_ep_005513,char__king,persona__f9e1d9295997,1
train_ep_005517,char__king,persona__f9e1d9295997,1
train_ep_005536,char__king,persona__f9e1d9295997,1
train_ep_005557,char__king,persona__f9e1d9295997,1
train_ep_005560,char__king,persona__f9e1d9295997,1
train_ep_005562,char__king,persona__f9e1d9295997,1
train_ep_005567,char__king,persona__f9e1d9295997,1
train_ep_005583,char__king,persona__f9e1d9295997,1
train_ep_005594,char__king,persona__f9e1d9295997,1
train_ep_005596,char__king,persona__f9e1d9295997,1
train_ep_005601,char__king,persona__f9e1d9295997,1
train_ep_005624,char__king,persona__f9e1d9295997,1
train_ep_005749,char__king,persona__f9e1d9295997,1
train_ep_005803,char__king,persona__f9e1d9295997,1
train_ep_005805,char__king,persona__f9e1d9295997,1
train_ep_005809,char__king,persona__f9e1d9295997,1
train_ep_006019,char__king,persona__f9e1d9295997,1
train_ep_006021,char__king,persona__f9e1d9295997,1
train_ep_006023,char__king,persona__f9e1d9295997,1
train_ep_006029,char__king,persona__f9e1d9295997,1
train_ep_006055,char__king,persona__f9e1d9295997,1
train_ep_006066,char__king,persona__f9e1d9295997,1
train_ep_006068,char__king,persona__f9e1d9295997,1
train_ep_006087,char__king,persona__f9e1d9295997,1
train_ep_006108,char__king,persona__f9e1d9295997,1
train_ep_006131,char__king,persona__f9e1d9295997,1
train_ep_006141,char__king,persona__f9e1d9295997,1
train_ep_006142,char__king,persona__f9e1d9295997,1
train_ep_006147,char__king,persona__f9e1d9295997,1
train_ep_006161,char__king,persona__f9e1d9295997,1
train_ep_006166,char__king,persona__f9e1d9295997,1
train_ep_006486,char__king,persona__f9e1d9295997,1
train_ep_006509,char__king,persona__f9e1d9295997,1
train_ep_006518,char__king,persona__f9e1d9295997,1
train_ep_006519,char__king,persona__f9e1d9295997,1
train_ep_006534,char__king,persona__f9e1d9295997,1
train_ep_006575,char__king,persona__f9e1d9295997,1
train_ep_006603,char__king,persona__f9e1d9295997,1
train_ep_006614,char__king,persona__f9e1d9295997,1
train_ep_006631,char__king,persona__f9e1d9295997,1
train_ep_006633,char__king,persona__f9e1d9295997,1
train_ep_006638,char__king,persona__f9e1d9295997,1
train_ep_006696,char__king,persona__f9e1d9295997,1
train_ep_006837,char__king,persona__f9e1d9295997,1
train_ep_006840,char__king,persona__f9e1d9295997,1
train_ep_006845,char__king,persona__f9e1d9295997,1
train_ep_006858,char__king,persona__f9e1d9295997,1
train_ep_006961,char__king,persona__f9e1d9295997,1
train_ep_007005,char__king,persona__f9e1d9295997,1
train_ep_007028,char__king,persona__f9e1d9295997,1
train_ep_007031,char__king,persona__f9e1d9295997,1
train_ep_007033,char__king,persona__f9e1d9295997,1
train_ep_007038,char__king,persona__f9e1d9295997,1
train_ep_007066,char__king,persona__f9e1d9295997,1
train_ep_007120,char__king,persona__f9e1d9295997,1
train_ep_007123,char__king,persona__f9e1d9295997,1
train_ep_007125,char__king,persona__f9e1d9295997,1
train_ep_007147,char__king,persona__f9e1d9295997,1
train_ep_007158,char__king,persona__f9e1d9295997,1
train_ep_007160,char__king,persona__f9e1d9295997,1
train_ep_007165,char__king,persona__f9e1d9295997,1
train_ep_007166,char__king,persona__f9e1d9295997,1
train_ep_007182,char__king,persona__f9e1d9295997,1
train_ep_007220,char__king,persona__f9e1d9295997,1
train_ep_007363,char__king,persona__f9e1d9295997,1
train_ep_007581,char__king,persona__f9e1d9295997,1
train_ep_007601,char__king,persona__f9e1d9295997,1
train_ep_007605,char__king,persona__f9e1d9295997,1
train_ep_007607,char__king,persona__f9e1d9295997,1
train_ep_007613,char__king,persona__f9e1d9295997,1
train_ep_007615,char__king,persona__f9e1d9295997,1
train_ep_007617,char__king,persona__f9e1d9295997,1
train_ep_007631,char__king,persona__f9e1d9295997,1
train_ep_007644,char__king,persona__f9e1d9295997,1
train_ep_007651,char__king,persona__f9e1d9295997,1
train_ep_007654,char__king,persona__f9e1d9295997,1
train_ep_007657,char__king,persona__f9e1d9295997,1
train_ep_007673,char__king,persona__f9e1d9295997,1
train_ep_007693,char__king,persona__f9e1d9295997,1
train_ep_007696,char__king,persona__f9e1d9295997,1
train_ep_007702,char__king,persona__f9e1d9295997,1
train_ep_007712,char__king,persona__f9e1d9295997,1
train_ep_007718,char__king,persona__f9e1d9295997,1
train_ep_007727,char__king,persona__f9e1d9295997,1
train_ep_007729,char__king,persona__f9e1d9295997,1
train_ep_007734,char__king,persona__f9e1d9295997,1
train_ep_007742,char__king,persona__f9e1d9295997,1
train_ep_007749,char__king,persona__f9e1d9295997,1
train_ep_007754,char__king,persona__f9e1d9295997,1
train_ep_007861,char__king,persona__f9e1d9295997,1
train_ep_007876,char__king,persona__f9e1d9295997,1
train_ep_007899,char__king,persona__f9e1d9295997,1
train_ep_007940,char__king,persona__f9e1d9295997,1
train_ep_007954,char__king,persona__f9e1d9295997,1
train_ep_008140,char__king,persona__f9e1d9295997,1
train_ep_008143,char__king,persona__f9e1d9295997,1
train_ep_008145,char__king,persona__f9e1d9295997,1
train_ep_008147,char__king,persona__f9e1d9295997,1
train_ep_008152,char__king,persona__f9e1d9295997,1
train_ep_008155,char__king,persona__f9e1d9295997,1
train_ep_008157,char__king,persona__f9e1d9295997,1
train_ep_008215,char__king,persona__f9e1d9295997,1
train_ep_008236,char__king,persona__f9e1d9295997,1
train_ep_008244,char__king,persona__f9e1d9295997,1
train_ep_008258,char__king,persona__f9e1d9295997,1
train_ep_008270,char__king,persona__f9e1d9295997,1
train_ep_008272,char__king,persona__f9e1d9295997,1
train_ep_008277,char__king,persona__f9e1d9295997,1
train_ep_008278,char__king,persona__f9e1d9295997,1
train_ep_008286,char__king,persona__f9e1d9295997,1
train_ep_008299,char__king,persona__f9e1d9295997,1
train_ep_008338,char__king,persona__f9e1d9295997,1
train_ep_008484,char__king,persona__f9e1d9295997,1
train_ep_008618,char__king,persona__f9e1d9295997,1
train_ep_008671,char__king,persona__f9e1d9295997,1
train_ep_008694,char__king,persona__f9e1d9295997,1
train_ep_008697,char__king,persona__f9e1d9295997,1
train_ep_008699,char__king,persona__f9e1d9295997,1
train_ep_008705,char__king,persona__f9e1d9295997,1
train_ep_008723,char__king,persona__f9e1d9295997,1
train_ep_008725,char__king,persona__f9e1d9295997,1
train_ep_008735,char__king,persona__f9e1d9295997,1
train_ep_008741,char__king,persona__f9e1d9295997,1
train_ep_008787,char__king,persona__f9e1d9295997,1
train_ep_008803,char__king,persona__f9e1d9295997,1
train_ep_008820,char__king,persona__f9e1d9295997,1
train_ep_008822,char__king,persona__f9e1d9295997,1
train_ep_008827,char__king,persona__f9e1d9295997,1
train_ep_008828,char__king,persona__f9e1d9295997,1
train_ep_008845,char__king,persona__f9e1d9295997,1
train_ep_009029,char__king,persona__f9e1d9295997,1
train_ep_009037,char__king,persona__f9e1d9295997,1
train_ep_009229,char__king,persona__f9e1d9295997,1
train_ep_009254,char__king,persona__f9e1d9295997,1
train_ep_009258,char__king,persona__f9e1d9295997,1
train_ep_009264,char__king,persona__f9e1d9295997,1
train_ep_009265,char__king,persona__f9e1d9295997,1
train_ep_009283,char__king,persona__f9e1d9295997,1
train_ep_009327,char__king,persona__f9e1d9295997,1
train_ep_009349,char__king,persona__f9e1d9295997,1
train_ep_009352,char__king,persona__f9e1d9295997,1
train_ep_009354,char__king,persona__f9e1d9295997,1
train_ep_009370,char__king,persona__f9e1d9295997,1
train_ep_009379,char__king,persona__f9e1d9295997,1
train_ep_009381,char__king,persona__f9e1d9295997,1
train_ep_009387,char__king,persona__f9e1d9295997,1
train_ep_009409,char__king,persona__f9e1d9295997,1
train_ep_009520,char__king,persona__f9e1d9295997,1
train_ep_009593,char__king,persona__f9e1d9295997,1
train_ep_009594,char__king,persona__f9e1d9295997,1
train_ep_009601,char__king,persona__f9e1d9295997,1
train_ep_009615,char__king,persona__f9e1d9295997,1
train_ep_009721,char__king,persona__f9e1d9295997,1
train_ep_009771,char__king,persona__f9e1d9295997,1
train_ep_009793,char__king,persona__f9e1d9295997,1
train_ep_009797,char__king,persona__f9e1d9295997,1
train_ep_009802,char__king,persona__f9e1d9295997,1
train_ep_009805,char__king,persona__f9e1d9295997,1
train_ep_009837,char__king,persona__f9e1d9295997,1
train_ep_009880,char__king,persona__f9e1d9295997,1
train_ep_009884,char__king,persona__f9e1d9295997,1
train_ep_009901,char__king,persona__f9e1d9295997,1
train_ep_009958,char__king,persona__f9e1d9295997,1
train_ep_010042,char__king,persona__f9e1d9295997,1
train_ep_010044,char__king,persona__f9e1d9295997,1
train_ep_010061,char__king,persona__f9e1d9295997,1
train_ep_010092,char__king,persona__f9e1d9295997,1
train_ep_010147,char__king,persona__f9e1d9295997,1
train_ep_010162,char__king,persona__f9e1d9295997,1
train_ep_010176,char__king,persona__f9e1d9295997,1
train_ep_010195,char__king,persona__f9e1d9295997,1
train_ep_010216,char__king,persona__f9e1d9295997,1
train_ep_010223,char__king,persona__f9e1d9295997,1
train_ep_010239,char__king,persona__f9e1d9295997,1
train_ep_010243,char__king,persona__f9e1d9295997,1
