episode_id,location_id,location_name,location_category
train_ep_004048,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_004068,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_004080,loc__apothecary__e264c143,apothecary,Town
train_ep_004084,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_004098,loc__bottlery__3ad26146,bottlery,Inside Castle
train_ep_004111,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_004120,loc__countryside__9cff47d1,countryside,Countryside
train_ep_004124,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_004145,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_004163,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_004190,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_004200,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_004202,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_004208,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_004228,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_004268,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_004414,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_004421,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_004434,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_004539,loc__castle_kitchen__b00392de,castle kitchen,Inside Castle
train_ep_004584,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_004601,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_004608,loc__apothecary__e264c143,apothecary,Town
train_ep_004615,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_004617,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_004637,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_004652,loc__town_center__f942e8bf,town center,Town
train_ep_004686,loc__tub__271721b2,tub,Inside Tower
train_ep_004688,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_004845,loc__castle_kitchen__b00392de,castle kitchen,Inside Castle
train_ep_004924,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_004927,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_004934,loc__apothecary__e264c143,apothecary,Town
train_ep_004936,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_004938,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_004953,loc__bottlery__3ad26146,bottlery,Inside Castle
train_ep_004966,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_004979,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_004982,loc__town_center__f942e8bf,town center,Town
train_ep_005001,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_005024,loc__tub__271721b2,tub,Inside Tower
train_ep_005026,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_005050,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_005060,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_005062,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_005066,loc__attic__0535c94e,attic,Inside Palace
train_ep_005067,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_005088,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_005128,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_005209,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_005230,loc__treasure_room__5acf31fd,treasure room,Inside Castle
train_ep_005263,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_005265,loc__market_center__f92392bc,market center,Tavern
train_ep_005270,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_005281,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_005393,loc__debtor_s_prison__ea99977f,debtor's prison,Inside Tower
train_ep_005464,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_005473,loc__apothecary__e264c143,apothecary,Town
train_ep_005477,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_005513,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_005517,loc__town_center__f942e8bf,town center,Town
train_ep_005536,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_005557,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_005560,loc__tub__271721b2,tub,Inside Tower
train_ep_005562,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_005567,loc__basement__48719d32,basement,Inside Castle
train_ep_005583,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_005594,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_005596,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_005601,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_005624,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_005749,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_005803,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_005805,loc__market_center__f92392bc,market center,Tavern
train_ep_005809,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_006019,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_006021,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_006023,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_006029,loc__apothecary__e264c143,apothecary,Town
train_ep_006055,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_006066,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_006068,loc__town_center__f942e8bf,town center,Town
train_ep_006087,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_006108,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_006131,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_006141,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_006142,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_006147,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_006161,loc__garden_courtyard__2530f6d1,garden courtyard,Inside Castle
train_ep_006166,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_006486,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_006509,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_006518,loc__apothecary__e264c143,apothecary,Town
train_ep_006519,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_006534,loc__bottlery__3ad26146,bottlery,Inside Castle
train_ep_006575,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_006603,loc__basement__48719d32,basement,Inside Castle
train_ep_006614,loc__courtyard_exterior__9602be9c,courtyard exterior,Outside Palace
train_ep_006631,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_006633,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_006638,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_006696,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_006837,loc__inside_the_king_s_castle__afab450e,inside the king's castle,Inside Tower
train_ep_006840,loc__market_center__f92392bc,market center,Tavern
train_ep_006845,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_006858,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_006961,loc__debtor_s_prison__ea99977f,debtor's prison,Inside Tower
train_ep_007005,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_007028,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_007031,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_007033,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_007038,loc__apothecary__e264c143,apothecary,Town
train_ep_007066,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_007120,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_007123,loc__tub__271721b2,tub,Inside Tower
train_ep_007125,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_007147,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_007158,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_007160,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_007165,loc__attic__0535c94e,attic,Inside Palace
train_ep_007166,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_007182,loc__garden_courtyard__2530f6d1,garden courtyard,Inside Castle
train_ep_007220,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_007363,loc__market_center__f92392bc,market center,Tavern
train_ep_007581,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_007601,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_007605,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_007607,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_007613,loc__apothecary__e264c143,apothecary,Town
train_ep_007615,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_007617,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_007631,loc__bottlery__3ad26146,bottlery,Inside Castle
train_ep_007644,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_007651,loc__countryside__9cff47d1,countryside,Countryside
train_ep_007654,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_007657,loc__town_center__f942e8bf,town center,Town
train_ep_007673,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_007693,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_007696,loc__tub__271721b2,tub,Inside Tower
train_ep_007702,loc__basement__48719d32,basement,Inside Castle
train_ep_007712,loc__courtyard_exterior__9602be9c,courtyard exterior,Outside Palace
train_ep_007718,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_007727,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_007729,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_007734,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_007742,loc__confessions_room__d87965d0,confessions room,Inside Church
train_ep_007749,loc__garden_courtyard__2530f6d1,garden courtyard,Inside Castle
train_ep_007754,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_007861,loc__royal_gardens__e410d0fe,royal gardens,Outside Palace
train_ep_007876,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_007899,loc__treasure_room__5acf31fd,treasure room,Inside Castle
train_ep_007940,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_007954,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_008140,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_008143,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_008145,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_008147,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_008152,loc__apothecary__e264c143,apothecary,Town
train_ep_008155,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_008157,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_008215,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_008236,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_008244,loc__basement__48719d32,basement,Inside Castle
train_ep_008258,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_008270,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_008272,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_008277,loc__attic__0535c94e,attic,Inside Palace
train_ep_008278,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_008286,loc__confessions_room__d87965d0,confessions room,Inside Church
train_ep_008299,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_008338,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_008484,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_008618,loc__debtor_s_prison__ea99977f,debtor's prison,Inside Tower
train_ep_008671,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_008694,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_008697,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_008699,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_008705,loc__apothecary__e264c143,apothecary,Town
train_ep_008723,loc__bottlery__3ad26146,bottlery,Inside Castle
train_ep_008725,loc__castle_kitchens__6834f5a3,castle kitchens,Inside Palace
train_ep_008735,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_008741,loc__countryside__9cff47d1,countryside,Countryside
train_ep_008787,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_008803,loc__courtyard_exterior__9602be9c,courtyard exterior,Outside Palace
train_ep_008820,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_008822,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_008827,loc__attic__0535c94e,attic,Inside Palace
train_ep_008828,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_008845,loc__garden_courtyard__2530f6d1,garden courtyard,Inside Castle
train_ep_009029,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_009037,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_009229,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_009254,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_009258,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_009264,loc__apothecary__e264c143,apothecary,Town
train_ep_009265,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_009283,loc__castle_kitchens__6834f5a3,castle kitchens,Inside Palace
train_ep_009327,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_009349,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_009352,loc__tub__271721b2,tub,Inside Tower
train_ep_009354,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_009370,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_009379,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_009381,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_009387,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_009409,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_009520,loc__royal_gardens__e410d0fe,royal gardens,Outside Palace
train_ep_009593,loc__inside_the_king_s_castle__afab450e,inside the king's castle,Inside Tower
train_ep_009594,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_009601,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_009615,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_009721,loc__debtor_s_prison__ea99977f,debtor's prison,Inside Tower
train_ep_009771,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_009793,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_009797,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_009802,loc__apothecary__e264c143,apothecary,Town
train_ep_009805,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_009837,loc__attic__0535c94e,attic,Inside Palace
train_ep_009880,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_009884,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_009901,loc__debtor_s_prison__ea99977f,debtor's prison,Inside Tower
train_ep_009958,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_010042,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_010044,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_010061,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_010092,loc__tub__271721b2,tub,Inside Tower
train_ep_010147,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_010162,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_010176,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_010195,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_010216,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_010223,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_010239,loc__basement__48719d32,basement,Inside Castle
train_ep_010243,loc__courtyard_exterior__9602be9c,courtyard exterior,Outside Palace
