normalized_name,canonical_name,location_category,king_episode_count
main hallway,Main hallway,Inside Palace,2
castle basement,Castle basement,Inside Castle,2
royal shipyard,Royal Shipyard,Port,2
lord's castle,Lord's Castle,netherworld,1
cloud nine bar,Cloud Nine Bar,city in the clouds,1
winding staircase,Winding Staircase,Outside Tower,1
quay,Quay,Port,1
peasant living quarters,Peasant living quarters,Outside Palace,1
lava lake,Lava Lake,netherworld,1
nave,Nave,Inside Church,1
werewolves tavern,The werewolves tavern,Tavern,1
pet chamber,Pet chamber,Inside Castle,1
supply store,Supply store,Port,1
stained glass room,stained glass room,Inside Church,1
old gnaisha's,Old Gnaisha's,Bazaar,1
island,Island,Lake,1
gathering room,Gathering room,Inside Cottage,1
soldiers camp,soldiers camp,Swamp,1
fishmonger's stall,Fishmonger's stall,Port,1
back room,back room,Inside Church,1
room hidden in the dense canopy,a room hidden in the dense canopy,Forest,1
training fields,Training Fields,Outside Palace,1
stilt home,Stilt Home,Farm,1
mars desert,Mars desert,Desert,1
hillside mansion,Hillside Mansion,Countryside,1
temple entrance,Temple Entrance,Outside Temple,1
church altar,Church Altar,Inside Church,1
witch's house,Witch's House,Swamp,1
faeries den,Faeries Den,magical realm,1
church foyer,Church foyer,Inside Church,1
picnic area,picnic area,Forest,1
abandoned mine entrance,Abandoned mine entrance,Abandoned,1
cottage safe-room,Cottage safe-room,Inside Cottage,1
dungeon,Dungeon,netherworld,1
small clearing,a small clearing,Mountain,1
nursery,Nursery,Inside Palace,1
small town located in the hills,Small town located in the hills,Town,1
large cliffs,Large cliffs,Shore,1
chamber entrance,chamber entrance,Inside Church,1
wet dungeon,A wet dungeon,Dungeon,1
loading dock,Loading Dock,Port,1
turquoise shore,Turquoise Shore,Shore,1
path to the manor,path to the manor,Countryside,1
farmhouse,farmhouse,underwater aquapolis,1
stonehenge,Stonehenge,supernatural,1
dwarven blacksmith,Dwarven blacksmith,Mountain,1
brush den,The Brush Den,Forest,1
beach house,beach house,Shore,1
outside church,Outside Church,Outside Church,1
clearing,Clearing,Jungle,1
pit of despair,The Pit of Despair,netherworld,1
underwater aquapolis,Underwater Aquapolis,underwater aquapolis,1
reaper's lair,Reaper's lair,netherworld,1
land beyond the wasteland,Land beyond the Wasteland,Abandoned,1
underground chamber,Underground Chamber,Cave,1
mud pit,Mud pit,Jungle,1
lakeside house,Lakeside House,Lake,1
simple town,Simple Town,Town,1
high priest chamber,High Priest Chamber,Inside Church,1
abandoned mine,Abandoned Mine,Mountain,1
desert tent,desert tent,Wasteland,1
gold mine,Gold Mine,Abandoned,1
front of the cottage,Front of the Cottage,Outside Cottage,1
sacristy,sacristy,Inside Church,1
mesa peak,mesa peak,Mountain,1
reception area,Reception area,Graveyard,1
corn field,Corn field,Farm,1
mushroom hut,Mushroom Hut,Outside Cottage,1
winter gardens,The Winter Gardens,Outside Tower,1
ruin of a house,Ruin of a house,Wasteland,1
abandoned workers shed,Abandoned workers shed,Graveyard,1
ferry terminal,Ferry Terminal,Port,1
school,School,Bazaar,1
oracle cave,The Oracle Cave,Mountain,1
main gate,main gate,Countryside,1
palace garden,Palace Garden,Outside Palace,1
orc cave,Orc cave,Cave,1
inside church back row,Inside Church Back Row,Inside Church,1
town square,Town square,Town,1
stable hand's quarters,stable hand's quarters,Outside Castle,1
valley of doom,Valley of doom,Countryside,1
pig pen,Pig Pen,Countryside,1
kitchen,Kitchen,Inside Cottage,1
castle kitchen,Castle Kitchen,Inside Palace,1
dark cave,Dark Cave,Cave,1
mountain peak,Mountain Peak,Mountain,1
within the walls of the city,Within the walls of the city,Inside Tower,1
royal tomb,Royal Tomb,Inside Temple,1
entrance to the pine trees,Entrance to the Pine trees,Forest,1
main chapel,the main chapel,Inside Church,1
outside tower,Outside tower,Outside Tower,1
port tavern,Port Tavern,Port,1
apple trees,Apple trees,Bazaar,1
temple courtyard,Temple courtyard,Outside Temple,1
artillery room,Artillery room,Inside Tower,1
lonely island,a lonely island,Abandoned,1
bedroom,Bedroom,Inside Cottage,1
nearby road,nearby road,Countryside,1
acid yard,the acid yard,Outside Castle,1
church field,Church field,Outside Church,1
church entryway,Church Entryway,Inside Church,1
clean water lake,clean water lake,Lake,1
attic,Attic,Inside Church,1
bazaar outside the royal city,bazaar outside the royal city,Bazaar,1
mysterious shop's entrance,the mysterious shop's entrance,Bazaar,1
graveyard,Graveyard,Outside Church,1
pond,Pond,Forest,1
kitchen,Kitchen,Tavern,1
behind the servant quarters,Behind the Servant Quarters,Wasteland,1
central bazaar,Central Bazaar,Bazaar,1
dancing stoat,The Dancing Stoat,Town,1
church coat room,church coat room,Inside Church,1
outside gates,Outside gates,Outside Cottage,1
abandoned shack,Abandoned Shack,Wasteland,1
desert cavern,Desert Cavern,Desert,1
riverbed,Riverbed,Forest,1
shrine of sretniy,Shrine of Sretniy,Inside Temple,1
research laboratory,Research Laboratory,frozen tundra,1
backyard,backyard,Outside Cottage,1
entryway to the wizards tower,entryway to the wizards tower,Inside Tower,1
spring bath,the spring bath,Outside Temple,1
abyss,The Abyss,frozen tundra,1
town of anoria,Town of Anoria,Town,1
ice cave,Ice Cave,frozen tundra,1
small dirt road,The small dirt road,Countryside,1
outside of the temple offices,outside of the temple offices,Outside Temple,1
city of elders,city of elders,Town,1
farmers market,The Farmers market,Bazaar,1
cold storage room,Cold storage room,Outside Cottage,1
unsettling forest area,unsettling forest area,Forest,1
brimswood pub,Brimswood pub,Tavern,1
mess hall of the servants,mess hall of the servants,city in the clouds,1
neptune's throne room,Neptune's throne room,underwater aquapolis,1
marketplace,Marketplace,Port,1
castle courtyard bazaar,Castle courtyard bazaar,Bazaar,1
entrance to a cave,Entrance to a Cave,frozen tundra,1
ghost monk quarters,ghost monk quarters,supernatural,1
