normalized_name,canonical_name,object_count_in_king_episodes,is_background_object,is_story_relevant_candidate
scent,Scent,222,False,False
crossbow,Crossbow,222,False,False
lantern,Lantern,222,True,False
palace,Palace,221,False,False
armor,Armor,217,False,True
shield,Shield,217,False,True
cross,Cross,216,False,False
large wardrobe,Large Wardrobe,215,False,False
fancy roof,Fancy Roof,215,False,False
large tapestry,Large Tapestry,215,False,False
large bed,Large Bed,215,False,False
tassel,Tassel,215,False,False
duvet,Duvet,215,False,False
wooden headboard,Wooden Headboard,215,False,False
handmade rug,Handmade Rug,213,False,False
fairy lights,Fairy Lights,210,False,False
temple,Temple,204,False,False
spike,Spike,204,False,False
seat,Seat,200,False,False
meadow,Meadow,199,False,False
gauzy purple fabric,Gauzy Purple Fabric,199,False,False
wood trim,Wood Trim,196,False,False
horse,Horse,196,False,False
fountain,Fountain,196,False,False
fluffy pillows,Fluffy Pillows,195,False,False
suit of armor,Suit Of Armor,193,False,True
arrow,Arrow,193,False,False
royal blue canopy,Royal Blue Canopy,193,False,False
priceless painting of past kings,Priceless Painting Of Past Kings,190,False,False
vaulted ceiling,Vaulted Ceiling,190,False,False
king's clothing,King'S Clothing,190,False,False
altar,Altar,189,False,False
small window,Small Window,189,False,False
small wooden table,Small Wooden Table,189,False,False
flame,Flame,186,False,False
spiral staircase,Spiral Staircase,185,False,False
wooden floors,Wooden Floors,185,False,False
woodland,Woodland,185,False,False
pan,Pan,184,False,False
priceless painting,Priceless Painting,184,False,False
carving,Carving,183,False,False
well,Well,182,False,False
scroll,Scroll,181,False,True
map of the kingdom,Map Of The Kingdom,180,False,True
cover,Cover,179,False,False
red brick,Red Brick,177,False,False
rack,Rack,177,False,False
oven,Oven,176,False,False
more-than-king-sized bed,More-Than-King-Sized Bed,176,False,False
picture,Picture,172,False,False
shop,Shop,172,False,False
rope,Rope,171,False,False
lookout tower,Lookout Tower,168,False,False
big bed,Big Bed,168,False,False
stands,Stands,168,False,False
large stone fireplace,Large Stone Fireplace,168,False,False
treasure chest,Treasure Chest,164,False,True
remains,Remains,163,False,False
stones,Stones,162,False,False
things,Things,160,False,False
box,Box,160,False,False
small village,Small Village,158,False,False
goblet,Goblet,157,False,False
higher dining table,Higher Dining Table,157,False,False
plant,Plant,157,False,False
vast ceilings,Vast Ceilings,157,False,False
hook,Hook,156,False,False
hand carved stone,Hand Carved Stone,156,False,False
hill,Hill,155,False,False
stack of hay,Stack Of Hay,155,False,False
gold-laced furniture,Gold-Laced Furniture,154,False,False
small lake,Small Lake,154,False,False
walkway,Walkway,154,False,False
rose bush,Rose Bush,154,False,False
sacred flame,Sacred Flame,154,False,False
lush maroon carpet,Lush Maroon Carpet,154,False,False
long hallway,Long Hallway,153,False,False
main hall,Main Hall,153,False,False
long windows,Long Windows,153,False,False
artifact,Artifact,151,False,False
market,Market,148,False,False
pike,Pike,148,False,False
necklaces,Necklaces,148,False,False
map,Map,147,False,True
carpet,Carpet,146,True,False
drapes,Drapes,143,False,False
highly fortified tower,Highly Fortified Tower,142,False,False
fine white sand,Fine White Sand,142,False,False
gigantic and lavish marble pier,Gigantic And Lavish Marble Pier,142,False,False
pier,Pier,142,False,False
longbows,Longbows,142,False,False
small candle holder,Small Candle Holder,141,False,False
animal,Animal,141,False,False
alter,Alter,140,False,False
stage,Stage,140,False,False
lever,Lever,140,False,False
wooden table,Wooden Table,140,False,False
odd and end,Odd And End,140,False,False
intricate labyrinth made of shrubs,Intricate Labyrinth Made Of Shrubs,140,False,False
stall,Stall,140,False,False
hanging tapestry,Hanging Tapestry,140,False,False
self-portrait,Self-Portrait,140,False,False
portraits,Portraits,140,False,False
bows,Bows,139,False,False
small bed,Small Bed,137,False,False
bow and arrow,Bow And Arrow,137,False,False
pew,Pew,135,False,False
golden table,Golden Table,135,False,False
emblem,Emblem,134,False,False
arena,Arena,134,False,False
crest,Crest,134,False,False
sun,Sun,131,False,False
peg,Peg,131,False,False
dirty wooden bucket,Dirty Wooden Bucket,130,False,False
lamps,Lamps,130,False,False
piece of fortune,Piece Of Fortune,130,False,False
iron maiden,Iron Maiden,130,False,False
jewelry,Jewelry,129,False,False
vanity,Vanity,129,False,False
wine,Wine,129,False,False
drape,Drape,129,False,False
comfortable cushion,Comfortable Cushion,128,False,False
central atrium,Central Atrium,127,False,False
pillow,Pillow,127,False,False
shape of a large rectangle,Shape Of A Large Rectangle,127,False,False
beautiful courtyard,Beautiful Courtyard,127,False,False
hedge,Hedge,127,False,False
summer palace,Summer Palace,127,False,False
arcadian garden,Arcadian Garden,127,False,False
garden plot,Garden Plot,127,False,False
huge pavilion of stone patio,Huge Pavilion Of Stone Patio,127,False,False
boat,Boat,126,False,False
mattress,Mattress,126,False,False
sewer,Sewer,126,False,False
paintings of ancestor,Paintings Of Ancestor,126,False,False
tape,Tape,126,False,False
rat,Rat,126,False,False
smell,Smell,126,False,False
bucket,Bucket,126,False,False
idol,Idol,126,False,False
vase,Vase,124,False,False
stained glass,Stained Glass,124,False,False
daimond,Daimond,123,False,False
hand carved 30 person kings dining table,Hand Carved 30 Person Kings Dining Table,123,False,False
gold plated dome,Gold Plated Dome,123,False,True
hand woven rug,Hand Woven Rug,123,False,False
piece,Piece,121,False,False
clothes,Clothes,120,False,False
skeleton,Skeleton,120,False,False
bench made of stone,Bench Made Of Stone,119,False,False
manical,Manical,118,False,False
various diamonds,Various Diamonds,116,False,False
gangrene,Gangrene,116,False,False
chamber pot,Chamber Pot,116,False,False
gilded mirror,Gilded Mirror,116,False,False
dried blood,Dried Blood,116,False,False
meal,Meal,116,False,False
lamp,Lamp,116,True,False
decay,Decay,116,False,False
moldy,Moldy,116,False,False
rot,Rot,116,False,False
death,Death,116,False,False
closet,Closet,115,False,False
cookpot,Cookpot,115,False,False
stone arch,Stone Arch,113,False,False
piece of armor,Piece Of Armor,113,False,True
signal fire,Signal Fire,112,False,False
ground,Ground,112,False,False
entrance,Entrance,112,False,False
bell,Bell,112,False,False
house,House,112,False,False
wardrobe,Wardrobe,112,False,False
observatory,Observatory,112,False,False
clothing,Clothing,111,False,False
mop bucket,Mop Bucket,111,False,False
water,Water,111,False,False
goblets,Goblets,110,False,False
gold cup,Gold Cup,110,False,True
candle stick,Candle Stick,110,False,False
cherry wood colored table,Cherry Wood Colored Table,110,False,False
chamber pot discreetly hidden,Chamber Pot Discreetly Hidden,108,False,False
rose,Rose,103,False,False
robe,Robe,103,False,False
gift,Gift,103,False,False
bucket for eliminating waste,Bucket For Eliminating Waste,103,False,False
metal,Metal,101,False,False
fire place,Fire Place,101,False,False
pastel sky,Pastel Sky,101,False,False
palm tree,Palm Tree,100,False,False
king's armor,King'S Armor,99,False,True
dish,Dish,99,False,False
swamp,Swamp,98,False,False
chifferobe,Chifferobe,98,False,False
chest,Chest,98,False,True
glass,Glass,98,False,False
home,Home,98,False,False
plush mattress,Plush Mattress,98,False,False
large green land,Large Green Land,98,False,False
tombstone,Tombstone,98,False,False
small metal fence,Small Metal Fence,98,False,False
balcony,Balcony,98,False,False
sculpture,Sculpture,98,False,False
staircase,Staircase,98,False,False
doorway,Doorway,98,False,False
dry dock,Dry Dock,97,False,False
church,Church,96,False,False
tavern,Tavern,95,False,False
magical crystal,Magical Crystal,95,False,False
spoon,Spoon,95,False,False
tempior market,Tempior Market,95,False,False
skeletons,Skeletons,94,False,False
knight fighting gear,Knight Fighting Gear,93,False,False
drapery,Drapery,93,False,False
armory,Armory,92,False,False
mud,Mud,92,False,False
trunk,Trunk,92,False,False
basket,Basket,91,False,False
diamond,Diamond,91,False,False
meat,Meat,90,False,False
trail,Trail,90,False,False
text,Text,90,False,False
precious stone,Precious Stone,90,False,False
gold clothing,Gold Clothing,90,False,True
coffin,Coffin,89,False,False
key,Key,89,False,True
bottle of wine,Bottle Of Wine,89,False,False
tongs,Tongs,88,False,False
dusty floor,Dusty Floor,88,False,False
big window,Big Window,87,False,False
soft bed,Soft Bed,87,False,False
big rug,Big Rug,87,False,False
end table,End Table,85,False,False
chaises,Chaises,85,False,False
escape tunnel,Escape Tunnel,85,False,False
shell,Shell,85,False,False
bookcase,Bookcase,84,False,False
stove,Stove,84,False,False
artwork,Artwork,84,False,False
drink,Drink,84,False,False
vine,Vine,84,False,False
anvil,Anvil,84,False,False
device,Device,84,False,False
grave,Grave,84,False,False
cauldron,Cauldron,84,False,False
spears,Spears,84,False,False
trinket,Trinket,84,False,False
quilts,Quilts,84,False,False
ghost,Ghost,84,False,False
grape juice,Grape Juice,84,False,False
small table,Small Table,84,False,False
heavy trunks,Heavy Trunks,83,False,False
slight fog,Slight Fog,83,False,False
hammer,Hammer,83,False,False
art,Art,83,False,False
chain mail,Chain Mail,82,False,False
food tray,Food Tray,82,False,False
stool,Stool,81,True,False
pottery,Pottery,81,False,False
sword of the guards,Sword Of The Guards,80,False,True
armor set,Armor Set,80,False,True
stick,Stick,78,False,False
dog,Dog,78,False,False
wooden workbench,Wooden Workbench,77,False,False
hammers,Hammers,77,False,False
forge,Forge,77,False,False
treasure,Treasure,76,False,True
head,Head,75,False,False
manacle,Manacle,75,False,False
crate,Crate,75,False,False
record,Record,75,False,False
gun,Gun,75,False,False
blade,Blade,74,False,False
candelabra,Candelabra,73,False,False
turtle,Turtle,72,False,False
luxuriously soft couch,Luxuriously Soft Couch,72,False,False
tulip,Tulip,72,False,False
iron,Iron,71,False,False
cloth,Cloth,71,False,False
lounges,Lounges,71,False,False
arrowhead,Arrowhead,71,False,False
golden goblet,Golden Goblet,71,False,False
fire,Fire,71,False,False
ornate table,Ornate Table,70,False,False
wooden chest,Wooden Chest,70,False,True
sign,Sign,70,False,False
ornate stonework,Ornate Stonework,70,False,False
wooden chair with one leg broken,Wooden Chair With One Leg Broken,70,False,False
towering arch of marble and silver,Towering Arch Of Marble And Silver,70,False,False
floor to ceiling mirror,Floor To Ceiling Mirror,70,False,False
cabinet,Cabinet,70,False,False
stained-glass window,Stained-Glass Window,70,False,False
fields,Fields,70,False,False
iron grill,Iron Grill,70,False,False
path,Path,70,False,False
structure,Structure,70,False,False
dock,Dock,70,False,False
telescope,Telescope,70,False,False
platform,Platform,70,False,False
red silk prayer bench,Red Silk Prayer Bench,70,False,False
wooden platform,Wooden Platform,70,False,False
cobbled walkway,Cobbled Walkway,70,False,False
fish,Fish,67,False,False
spice,Spice,66,False,False
finest silk and velvet,Finest Silk And Velvet,66,False,False
protective gear,Protective Gear,65,False,False
whip,Whip,65,False,False
sculptures,Sculptures,65,False,False
heavy blanket,Heavy Blanket,65,False,False
helmet,Helmet,65,False,False
torn fabric,Torn Fabric,63,False,False
shovel,Shovel,63,False,False
knights armor,Knights Armor,63,False,True
hanging religious carving,Hanging Religious Carving,60,False,False
king's flagon,King'S Flagon,60,False,False
fork,Fork,60,False,False
crossbow with no string,Crossbow With No String,59,False,False
paddle,Paddle,59,False,False
cobblestone walkway,Cobblestone Walkway,58,False,False
largest trash heap,Largest Trash Heap,58,False,False
jar,Jar,58,False,False
moldy bread,Moldy Bread,58,False,False
stone bench,Stone Bench,58,False,False
potion,Potion,57,False,True
ball,Ball,57,False,False
flag,Flag,57,False,False
skinning knife,Skinning Knife,57,False,True
rusty bar,Rusty Bar,57,False,False
shops,Shops,56,False,False
adventurer's remains,Adventurer'S Remains,56,False,False
bedding,Bedding,56,False,False
clam,Clam,56,False,False
awning,Awning,56,False,False
countryside,Countryside,56,False,False
ornate chair,Ornate Chair,56,False,False
dead creature,Dead Creature,56,False,False
priceless pieces of art,Priceless Pieces Of Art,56,False,False
statue of a god,Statue Of A God,56,False,False
gate,Gate,56,False,False
spiderwebs,Spiderwebs,56,False,False
execution stand,Execution Stand,56,False,False
manikin,Manikin,56,False,False
footprint,Footprint,56,False,False
mast,Mast,56,False,False
spring nearby,Spring Nearby,56,False,False
corroded vessels placed,Corroded Vessels Placed,56,False,False
gravestone,Gravestone,56,False,False
dome,Dome,56,False,False
incense burner,Incense Burner,56,False,False
benches,Benches,56,False,False
mountain,Mountain,56,False,False
hall,Hall,56,False,False
sheep,Sheep,56,False,False
bonfire,Bonfire,56,False,False
dining hall,Dining Hall,56,False,False
beautiful farmland,Beautiful Farmland,56,False,False
tomb,Tomb,56,False,False
beautiful land,Beautiful Land,56,False,False
wooden wall,Wooden Wall,56,False,False
barrack,Barrack,56,False,False
furniture,Furniture,56,False,False
observation deck,Observation Deck,56,False,False
cannon,Cannon,56,False,False
long wooden dining table,Long Wooden Dining Table,56,False,False
long wooden tables,Long Wooden Tables,56,False,False
dirty and grimy floor,Dirty And Grimy Floor,56,False,False
vessel,Vessel,56,False,False
wooden stools,Wooden Stools,54,False,False
spear,Spear,54,False,False
wedding ring,Wedding Ring,54,False,True
place mat,Place Mat,54,False,False
town,Town,53,False,False
cactus,Cactus,53,False,False
decoration,Decoration,53,False,False
vegetable,Vegetable,52,False,False
feces,Feces,52,False,False
couch,Couch,52,False,False
quill,Quill,51,False,False
purple runner carpets,Purple Runner Carpets,51,False,False
door knocker,Door Knocker,51,False,False
fur,Fur,51,False,False
torture implements,Torture Implements,51,False,False
rabbit fur coverlet,Rabbit Fur Coverlet,49,False,False
books,Books,49,False,False
harness,Harness,49,False,False
pitchfork,Pitchfork,49,False,False
quills,Quills,48,False,False
small bucket,Small Bucket,48,False,False
colorful painting,Colorful Painting,48,False,False
rag dool with the head detached,Rag Dool With The Head Detached,48,False,False
ornate goblet,Ornate Goblet,48,False,False
utensil,Utensil,48,False,False
crystal,Crystal,47,False,False
old mop,Old Mop,47,False,False
large pet lion,Large Pet Lion,47,False,False
tapes and records,Tapes And Records,46,False,False
cape,Cape,46,False,False
lavender,Lavender,46,False,False
log,Log,46,False,False
wheat,Wheat,45,False,False
case,Case,45,False,False
desk chair,Desk Chair,45,False,False
gown,Gown,44,False,False
scepter,Scepter,44,False,False
swing,Swing,44,False,False
dress,Dress,43,False,False
wood floor,Wood Floor,43,False,False
dead people,Dead People,43,False,False
garden bench,Garden Bench,42,False,False
foot print,Foot Print,42,False,False
deck,Deck,42,False,False
green short grass,Green Short Grass,42,False,False
small alter,Small Alter,42,False,False
lush green trees,Lush Green Trees,42,False,False
large dark oak and gold bench,Large Dark Oak And Gold Bench,42,False,True
shed,Shed,42,False,False
seagull,Seagull,42,False,False
floor decorations,Floor Decorations,42,False,False
marbled floor,Marbled Floor,42,False,False
windows,Windows,42,False,False
crevice,Crevice,42,False,False
target,Target,42,False,False
potted flower,Potted Flower,42,False,False
big wooden table,Big Wooden Table,42,False,False
oak wood,Oak Wood,42,False,False
aisle,Aisle,42,False,False
passage,Passage,42,False,False
opening,Opening,42,False,False
bridge,Bridge,42,False,False
cliff,Cliff,42,False,False
piano,Piano,42,False,False
hard bench,Hard Bench,42,False,False
chimney,Chimney,42,False,False
shuttered windows,Shuttered Windows,42,False,False
step,Step,42,False,False
road,Road,42,False,False
claw foot tub,Claw Foot Tub,42,False,False
pond,Pond,42,False,False
musty shelves,Musty Shelves,42,False,False
dinner table,Dinner Table,42,False,False
flowerpot,Flowerpot,42,False,False
lighthouse,Lighthouse,42,False,False
pink and white outline,Pink And White Outline,42,False,False
front door,Front Door,42,False,False
place,Place,42,False,False
bathroom pot,Bathroom Pot,42,False,False
vat,Vat,42,False,False
huge vat of brewing liquid,Huge Vat Of Brewing Liquid,42,False,False
smoke and light,Smoke And Light,42,False,False
beaker,Beaker,42,False,False
ceremonial hat,Ceremonial Hat,42,False,False
ale,Ale,42,False,False
thorn bush,Thorn Bush,42,False,False
brook,Brook,42,False,False
flail,Flail,42,False,False
barnacle,Barnacle,42,False,False
fine art,Fine Art,42,False,False
lagoon,Lagoon,42,False,False
angel,Angel,42,False,False
small water spring,Small Water Spring,42,False,False
tapestrie,Tapestrie,42,False,False
pail,Pail,42,False,False
lamp post,Lamp Post,42,False,False
small gazebo,Small Gazebo,42,False,False
chapel,Chapel,42,False,False
alarm horn,Alarm Horn,42,False,False
clouds,Clouds,42,False,False
wood burning fire,Wood Burning Fire,42,False,False
long table,Long Table,42,False,False
sky,Sky,42,False,False
polished gold,Polished Gold,42,False,True
wind,Wind,42,False,False
patch,Patch,42,False,False
stretched canvas,Stretched Canvas,42,False,False
gravel,Gravel,42,False,False
small flap,Small Flap,42,False,False
cave,Cave,42,False,False
beautiful blossoming jasmine flowers,Beautiful Blossoming Jasmine Flowers,42,False,False
prayer book,Prayer Book,41,False,True
religous texts,Religous Texts,41,False,False
rotting wooden fence,Rotting Wooden Fence,41,False,False
pillar,Pillar,40,False,False
fence,Fence,40,False,False
daggers,Daggers,40,False,False
poster,Poster,40,False,False
cooking pot,Cooking Pot,39,False,False
paper,Paper,39,False,False
torture instrument,Torture Instrument,38,False,False
implements,Implements,38,False,False
precious gem,Precious Gem,38,False,True
leather cloth,Leather Cloth,38,False,False
scale,Scale,38,False,False
crucifix,Crucifix,38,False,False
lily pad,Lily Pad,37,False,False
bear rug,Bear Rug,36,False,False
hunting rifles,Hunting Rifles,36,False,False
sleeping bag,Sleeping Bag,36,False,False
mug,Mug,36,False,False
stalagmite,Stalagmite,36,False,False
pen for the chickens,Pen For The Chickens,36,False,False
ship,Ship,36,False,False
pub,Pub,36,False,False
blacksmith,Blacksmith,36,False,False
wooden chair,Wooden Chair,36,False,False
corn,Corn,35,False,False
adornment,Adornment,35,False,False
weed,Weed,35,False,False
instrument,Instrument,34,False,False
expensive pillow,Expensive Pillow,34,False,False
bed big,Bed Big,33,False,False
bag,Bag,33,False,False
rag,Rag,33,False,False
candy,Candy,33,False,False
brown cloth door,Brown Cloth Door,32,False,False
kings sword,Kings Sword,32,False,True
basket of grain,Basket Of Grain,32,False,False
money,Money,32,False,False
fabric,Fabric,32,False,False
ink pot,Ink Pot,31,False,False
copper,Copper,31,False,False
cloth and drape,Cloth And Drape,31,False,False
paint,Paint,30,False,False
painting of mother mary,Painting Of Mother Mary,30,False,False
bale,Bale,30,False,False
news of the kingdom,News Of The Kingdom,28,False,False
advertisement,Advertisement,28,False,False
needle,Needle,28,False,False
ancient relic,Ancient Relic,28,False,False
dart board,Dart Board,28,False,False
huge lock on door,Huge Lock On Door,28,False,False
market stand,Market Stand,28,False,False
jewels,Jewels,28,False,True
zombie,Zombie,28,False,False
tome,Tome,28,False,False
remnants of campfires,Remnants Of Campfires,28,False,False
branch,Branch,28,False,False
old shack,Old Shack,28,False,False
old machinery,Old Machinery,28,False,False
cobweb,Cobweb,28,False,False
leg,Leg,28,False,False
wing,Wing,28,False,False
thick water,Thick Water,28,False,False
sea monster,Sea Monster,28,False,False
peasant,Peasant,28,False,False
puddle of water,Puddle Of Water,28,False,False
mining cart,Mining Cart,28,False,False
machinery,Machinery,28,False,False
boulders,Boulders,28,False,False
water gate,Water Gate,28,False,False
broken tool,Broken Tool,28,False,False
railing,Railing,28,False,False
hull,Hull,28,False,False
pelican,Pelican,28,False,False
huge window in the front,Huge Window In The Front,28,False,False
potion and cure,Potion And Cure,28,False,True
row,Row,28,False,False
piling,Piling,28,False,False
wrought iron chandelier,Wrought Iron Chandelier,28,False,False
rock wall,Rock Wall,28,False,False
worm,Worm,28,False,False
firewood for the fireplace,Firewood For The Fireplace,28,False,False
bush,Bush,28,False,False
lush tapestry,Lush Tapestry,28,False,False
bar stool,Bar Stool,28,False,False
large ladle,Large Ladle,28,False,False
sand for the cacti,Sand For The Cacti,28,False,False
treasures,Treasures,28,False,False
small door,Small Door,28,False,False
bit for horse,Bit For Horse,28,False,False
ropes,Ropes,28,False,False
crow's nest full of emeralds,Crow'S Nest Full Of Emeralds,28,False,False
sea monster on the bow,Sea Monster On The Bow,28,False,False
eye,Eye,28,False,False
training apparatus,Training Apparatus,28,False,False
weights,Weights,28,False,False
golden cloth,Golden Cloth,28,False,False
name placard,Name Placard,28,False,False
sandstone,Sandstone,28,False,False
crystal blue sky,Crystal Blue Sky,28,False,False
golden trim,Golden Trim,28,False,False
kindgdom's desert,Kindgdom'S Desert,28,False,False
face,Face,28,False,False
coconut tree,Coconut Tree,28,False,False
water gate is all harden wood,Water Gate Is All Harden Wood,28,False,False
crane,Crane,28,False,False
kitchen,Kitchen,28,False,False
horse tack,Horse Tack,28,False,False
pile of treasure,Pile Of Treasure,28,False,True
bail,Bail,28,False,False
tack room,Tack Room,28,False,False
skins,Skins,28,False,False
garden,Garden,28,False,False
outside castle,Outside Castle,28,False,False
pulpit,Pulpit,28,False,False
guards toilet basin,Guards Toilet Basin,28,False,False
open plain,Open Plain,28,False,False
courtyard,Courtyard,28,False,False
gold hair,Gold Hair,28,False,True
iron gate,Iron Gate,28,False,False
placard,Placard,28,False,False
trap,Trap,28,False,False
carpet piece,Carpet Piece,28,False,False
sand that is white as snow,Sand That Is White As Snow,28,False,False
debris,Debris,28,False,False
crack,Crack,28,False,False
dripping water,Dripping Water,28,False,False
gravestones some at oblique angles,Gravestones Some At Oblique Angles,28,False,False
rectory,Rectory,28,False,False
drawbridge,Drawbridge,28,False,False
single shelf,Single Shelf,28,False,False
squat chair with a high back,Squat Chair With A High Back,28,False,False
cobblestone,Cobblestone,28,False,False
simple wooden table,Simple Wooden Table,28,False,False
green shrubbery,Green Shrubbery,28,False,False
street,Street,28,False,False
spare bowstring,Spare Bowstring,28,False,False
polishing cloths,Polishing Cloths,28,False,False
rusty gate,Rusty Gate,28,False,False
pool,Pool,28,False,False
desert,Desert,28,False,False
huge bed,Huge Bed,28,False,False
hair brush,Hair Brush,28,False,False
fire pit,Fire Pit,28,False,False
twine,Twine,28,False,False
red wine,Red Wine,28,False,False
hammock,Hammock,28,False,False
straps,Straps,28,False,False
shack,Shack,28,False,False
lake,Lake,28,False,False
hooks,Hooks,28,False,False
seaweed,Seaweed,28,False,False
tables,Tables,28,False,False
cell,Cell,28,False,False
giant withered oak tree,Giant Withered Oak Tree,27,False,False
kingdom,Kingdom,27,False,False
cold stone wall,Cold Stone Wall,27,False,False
secret tunnel,Secret Tunnel,27,False,False
corridor,Corridor,27,False,False
guards armor,Guards Armor,27,False,True
wildflower,Wildflower,27,False,False
metal fitting,Metal Fitting,27,False,False
wood is gathered to make fire,Wood Is Gathered To Make Fire,26,False,False
red curtain,Red Curtain,26,False,False
gold bar,Gold Bar,26,False,True
velvet seat,Velvet Seat,26,False,False
hats,Hats,26,False,False
golden accent,Golden Accent,26,False,False
crystal ball,Crystal Ball,26,False,False
pedestal,Pedestal,26,False,False
compass,Compass,25,False,False
small wooden house,Small Wooden House,25,False,False
farm,Farm,25,False,False
broom,Broom,25,False,False
chalice,Chalice,25,False,False
cage,Cage,25,False,False
cigar,Cigar,24,False,False
wooden cross,Wooden Cross,24,False,False
fan,Fan,24,False,False
carvings,Carvings,23,False,False
witches broom,Witches Broom,22,False,False
shoe,Shoe,22,False,False
pine cone,Pine Cone,22,False,False
blood,Blood,21,False,False
duster,Duster,21,False,False
bodies,Bodies,21,False,False
rope work,Rope Work,21,False,False
cup,Cup,21,False,False
ink well,Ink Well,21,False,False
tar,Tar,21,False,False
lance,Lance,21,False,False
skull,Skull,20,False,False
water is as clear as a crystal,Water Is As Clear As A Crystal,20,False,False
baskets of freshly-caught fish,Baskets Of Freshly-Caught Fish,20,False,False
basin for water,Basin For Water,20,False,False
ornate plate,Ornate Plate,20,False,False
empty coin bag,Empty Coin Bag,20,False,True
ink,Ink,19,False,False
rotting meat,Rotting Meat,19,False,False
silerware,Silerware,19,False,False
torture equipment,Torture Equipment,19,False,False
roots,Roots,19,False,False
lush green vegetation,Lush Green Vegetation,18,False,False
nails,Nails,18,False,False
primitive fishing pole,Primitive Fishing Pole,18,False,False
sceptre,Sceptre,17,False,False
hoe,Hoe,17,False,False
dusty books and scrolls,Dusty Books And Scrolls,17,False,False
globe,Globe,16,False,False
cushion,Cushion,16,False,False
treasure map,Treasure Map,16,False,True
brush,Brush,16,False,False
small wooden bowl,Small Wooden Bowl,16,False,False
chicken,Chicken,16,False,False
dragon toe nail,Dragon Toe Nail,15,False,False
old prayer books,Old Prayer Books,15,False,False
old broom,Old Broom,15,False,False
wet outer wear,Wet Outer Wear,15,False,False
coat,Coat,15,False,False
shoes,Shoes,15,False,False
welcome mat,Welcome Mat,15,False,False
pitch pipe,Pitch Pipe,15,False,False
single bulb of light,Single Bulb Of Light,15,False,False
velvet cushion,Velvet Cushion,15,False,False
hoe for digging,Hoe For Digging,15,False,False
dead king's crown,Dead King'S Crown,14,False,True
wooden door,Wooden Door,14,False,False
small table with a candle,Small Table With A Candle,14,False,False
lion,Lion,14,False,False
uncomfortable bed,Uncomfortable Bed,14,False,False
illustration,Illustration,14,False,False
headstone,Headstone,14,False,False
cougar,Cougar,14,False,False
reeds,Reeds,14,False,False
frog,Frog,14,False,False
wildlife,Wildlife,14,False,False
tile,Tile,14,False,False
discarded sword,Discarded Sword,14,False,True
sconces,Sconces,14,False,False
research,Research,14,False,False
lab,Lab,14,False,False
refrigerator,Refrigerator,14,False,False
rocky cliffs,Rocky Cliffs,14,False,False
barrel,Barrel,14,False,False
heavy lock,Heavy Lock,14,False,False
green grass,Green Grass,14,False,False
coral pearl and seashells,Coral Pearl And Seashells,14,False,False
item,Item,14,False,False
rusted helmet,Rusted Helmet,14,False,False
