character_id,normalized_name,canonical_name,is_focus_character,is_generic_name,appearance_count,speaker_turn_count,mention_count,unique_episode_count,total_score,overall_rank,source
char__resident,resident,Resident,False,False,57,371,15,63,557,105,light_combined
char__wolf,wolf,Wolf,False,False,35,231,217,130,553,106,light_combined
char__worms,worms,Worms,False,False,34,215,235,151,552,107,light_combined
char__others,others,Others,False,False,7,37,490,448,548,108,light_combined
char__craftsman,craftsman,Craftsman,False,False,53,321,63,68,543,109,light_combined
char__brother,brother,Brother,False,False,24,150,319,231,541,110,light_combined
char__daughter,daughter,Daughter,False,False,25,170,285,218,530,111,light_combined
char__lizards,lizards,Lizards,False,False,48,320,64,73,528,112,light_combined
char__soldiers,soldiers,Soldiers,False,False,28,176,253,201,513,113,light_combined
char__angel,angel,Angel,False,False,39,262,127,72,506,114,light_combined
char__battle,battle,Battle,False,False,2,14,481,338,501,115,light_combined
char__outlaw,outlaw,Outlaw,False,False,46,306,56,54,500,116,light_combined
char__squire,squire,Squire,False,False,41,263,103,79,489,117,light_combined
char__army,army,Army,False,False,21,130,295,242,488,118,light_combined
char__adventurer,adventurer,Adventurer,False,False,46,307,41,62,486,119,light_combined
char__frog,frog,Frog,False,False,32,195,195,101,486,120,light_combined
char__light,light,Light,False,False,3,14,459,374,482,121,light_combined
char__altar_boy,altar boy,Altar Boy,False,False,50,301,30,60,481,122,light_combined
char__local,local,Local,False,False,34,217,160,176,479,123,light_combined
char__high_priestess,high priestess,High Priestess,False,False,46,285,49,58,472,124,light_combined
char__townsperson,townsperson,Townsperson,False,False,48,306,21,58,471,125,light_combined
char__subject,subject,Subject,False,False,41,258,87,98,468,126,light_combined
char__pig,pig,Pig,False,False,35,211,146,99,462,127,light_combined
char__wench,wench,Wench,False,False,37,234,106,97,451,128,light_combined
char__nun,nun,Nun,False,False,42,264,55,69,445,129,light_combined
char__seagull,seagull,Seagull,False,False,42,269,46,45,441,130,light_combined
char__beggar,beggar,Beggar,False,False,38,258,58,53,430,131,light_combined
char__goddess,goddess,Goddess,False,False,23,152,209,108,430,132,light_combined
char__clergyman,clergyman,Clergyman,False,False,43,274,24,50,427,133,light_combined
char__crow,crow,Crow,False,False,36,241,78,52,427,134,light_combined
char__beast,beast,Beast,False,False,18,114,259,198,427,135,light_combined
char__butler,butler,Butler,False,False,40,265,41,51,426,136,light_combined
char__congregant,congregant,Congregant,False,False,44,281,10,44,423,137,light_combined
char__squirrel,squirrel,Squirrel,False,False,38,232,77,60,423,138,light_combined
char__families,families,Families,False,False,37,232,76,100,419,139,light_combined
char__vendor,vendor,Vendor,False,False,44,261,22,52,415,140,light_combined
char__wolves,wolves,Wolves,False,False,23,159,182,121,410,141,light_combined
char__cockroach,cockroach,Cockroach,False,False,38,239,50,43,403,142,light_combined
char__turtles,turtles,Turtles,False,False,38,254,33,48,401,143,light_combined
char__faery,faery,Faery,False,False,38,234,53,45,401,144,light_combined
char__villagers,villagers,Villagers,False,False,23,132,200,170,401,145,light_combined
char__miner,miner,Miner,False,False,40,246,30,46,396,146,light_combined
char__gardener,gardener,Gardener,False,False,36,218,67,63,393,147,light_combined
char__fox,fox,Fox,False,False,26,159,155,91,392,148,light_combined
char__lizard,lizard,Lizard,False,False,23,152,163,80,384,149,light_combined
char__dwarf,dwarf,Dwarf,False,False,34,225,54,50,381,150,light_combined
char__high_priest,high priest,High Priest,False,False,33,218,61,65,378,151,light_combined
char__duke,duke,Duke,False,False,29,179,109,76,375,152,light_combined
char__soul,soul,Soul,False,False,5,35,322,263,372,153,light_combined
char__worshiper,worshiper,Worshiper,False,False,38,247,8,42,369,154,light_combined
char__mourner,mourner,Mourner,False,False,38,246,3,38,363,155,light_combined
char__townperson,townperson,Townperson,False,False,39,240,4,40,361,156,light_combined
char__sister,sister,Sister,False,False,16,92,220,130,360,157,light_combined
char__court_jester,court jester,Court Jester,False,False,35,242,11,39,358,158,light_combined
char__mariner,mariner,Mariner,False,False,33,237,18,36,354,159,light_combined
char__leader,leader,Leader,False,False,29,173,88,89,348,160,light_combined
char__general,general,General,False,False,24,153,122,88,347,161,light_combined
char__acolyte,acolyte,Acolyte,False,False,37,219,16,39,346,162,light_combined
char__parent,parent,Parent,False,False,37,219,16,42,346,163,light_combined
char__musician,musician,Musician,False,False,34,219,25,40,346,164,light_combined
char__demon,demon,Demon,False,False,23,150,125,86,344,165,light_combined
char__roach,roach,Roach,False,False,29,186,70,43,343,166,light_combined
char__monkey,monkey,Monkey,False,False,31,165,83,55,341,167,light_combined
char__girl,girl,Girl,False,True,20,106,174,159,340,168,light_combined
char__ambassador,ambassador,Ambassador,False,False,33,206,34,44,339,169,light_combined
char__monster,monster,Monster,False,False,18,125,160,110,339,170,light_combined
char__bug,bug,Bug,False,False,21,142,132,98,337,171,light_combined
char__bartender,bartender,Bartender,False,False,31,210,32,45,335,172,light_combined
char__old_man,old man,Old Man,False,False,19,128,147,114,332,173,light_combined
char__assistant,assistant,Assistant,False,False,28,168,76,73,328,174,light_combined
char__royalty,royalty,Royalty,False,False,21,135,129,136,327,175,light_combined
char__tower,tower,Tower,False,False,1,7,317,211,327,176,light_combined
char__inhabitant,inhabitant,Inhabitant,False,False,33,214,9,35,322,177,light_combined
char__gnome,gnome,Gnome,False,False,28,186,51,33,321,178,light_combined
char__mermaid,mermaid,Mermaid,False,False,29,181,51,43,319,179,light_combined
char__town_baker,town baker,Town Baker,False,False,25,236,7,26,318,180,light_combined
char__cooks,cooks,Cooks,False,False,30,197,30,52,317,181,light_combined
char__groom,groom,Groom,False,False,29,177,48,57,312,182,light_combined
char__gypsy,gypsy,Gypsy,False,False,29,192,32,37,311,183,light_combined
char__pelican,pelican,Pelican,False,False,29,184,32,35,303,184,light_combined
char__ox,ox,Ox,False,False,27,176,46,36,303,185,light_combined
char__hiker,hiker,Hiker,False,False,30,198,14,32,302,186,light_combined
char__butterfly,butterfly,Butterfly,False,False,29,175,40,35,302,187,light_combined
char__goat,goat,Goat,False,False,21,134,103,58,300,188,light_combined
char__spiders,spiders,Spiders,False,False,19,129,113,94,299,189,light_combined
char__sheep,sheep,Sheep,False,False,16,106,145,85,299,190,light_combined
char__executioner,executioner,Executioner,False,False,26,181,38,41,297,191,light_combined
char__follower,follower,Follower,False,False,26,172,44,47,294,192,light_combined
char__mage,mage,Mage,False,False,25,155,64,45,294,193,light_combined
char__flies,flies,Flies,False,False,15,97,151,107,293,194,light_combined
char__homeless,homeless,Homeless,False,False,24,140,80,71,292,195,light_combined
char__deity,deity,Deity,False,False,25,161,54,44,290,196,light_combined
char__elf,elf,Elf,False,False,24,160,57,43,289,197,light_combined
char__gravedigger,gravedigger,Gravedigger,False,False,30,178,19,36,287,198,light_combined
char__mayor,mayor,Mayor,False,False,26,170,39,33,287,199,light_combined
char__caretaker,caretaker,Caretaker,False,False,28,176,26,37,286,200,light_combined
char__spirits,spirits,Spirits,False,False,11,76,172,124,281,201,light_combined
char__town_sheriff,town sheriff,Town Sheriff,False,False,31,187,0,31,280,202,light_combined
char__doctor,doctor,Doctor,False,False,19,120,103,74,280,203,light_combined
char__grandmother,grandmother,Grandmother,False,False,27,155,42,48,278,204,light_combined
char__lady_in_waiting,lady in waiting,Lady In Waiting,False,False,29,180,9,36,276,205,light_combined
char__explorer,explorer,Explorer,False,False,27,170,23,32,274,206,light_combined
char__cardinal,cardinal,Cardinal,False,False,25,168,30,36,273,207,light_combined
char__flirty_barmaid,flirty barmaid,Flirty Barmaid,False,False,29,181,1,29,269,208,light_combined
char__party,party,Party,False,False,10,70,169,113,269,209,light_combined
char__wall,wall,Wall,False,False,3,15,243,192,267,210,light_combined
char__torturer,torturer,Torturer,False,False,24,161,33,41,266,211,light_combined
char__clergy,clergy,Clergy,False,False,28,169,12,34,265,212,light_combined
char__wise_men,wise men,Wise Men,False,False,27,175,8,30,264,213,light_combined
char__his_wife,his wife,His Wife,False,False,26,149,37,60,264,214,light_combined
char__watchman,watchman,Watchman,False,False,25,166,22,32,263,215,light_combined
char__priestess,priestess,Priestess,False,False,15,96,121,77,262,216,light_combined
char__trader,trader,Trader,False,False,25,157,29,37,261,217,light_combined
char__kid,kid,Kid,False,False,11,77,151,109,261,218,light_combined
char__patron,patron,Patron,False,False,23,160,31,40,260,219,light_combined
char__owl,owl,Owl,False,False,21,147,50,34,260,220,light_combined
char__souls,souls,Souls,False,False,16,96,115,96,259,221,light_combined
char__pastor,pastor,Pastor,False,False,24,149,36,31,257,222,light_combined
char__turtle,turtle,Turtle,False,False,10,68,159,75,257,223,light_combined
char__assassin,assassin,Assassin,False,False,22,141,48,46,255,224,light_combined
char__scribe,scribe,Scribe,False,False,22,145,43,33,254,225,light_combined
char__chambermaid,chambermaid,Chambermaid,False,False,17,112,90,68,253,226,light_combined
char__archaeologist,archaeologist,Archaeologist,False,False,29,155,10,35,252,227,light_combined
char__orc,orc,Orc,False,False,17,116,85,49,252,228,light_combined
char__attendee,attendee,Attendee,False,False,25,167,7,26,249,229,light_combined
char__subjects,subjects,Subjects,False,False,15,102,101,92,248,230,light_combined
char__preist,preist,Preist,False,False,25,155,17,38,247,231,light_combined
char__ogre,ogre,Ogre,False,False,20,130,56,32,246,232,light_combined
char__faeries,faeries,Faeries,False,False,20,139,46,40,245,233,light_combined
char__horse_tied_up_in_front_of_a_shop,horse tied up in front of a shop,Horse Tied Up In Front Of A Shop,False,False,25,168,0,25,243,234,light_combined
char__warrior,warrior,Warrior,False,False,17,106,85,77,242,235,light_combined
char__potion,potion,Potion,False,False,3,21,209,122,239,236,light_combined
char__pet,pet,Pet,False,False,10,53,155,122,238,237,light_combined
char__traveller,traveller,Traveller,False,False,21,139,34,46,236,238,light_combined
char__table,table,Table,False,False,2,8,222,195,236,239,light_combined
char__pope,pope,Pope,False,False,21,133,38,32,234,240,light_combined
char__bridge,bridge,Bridge,False,False,2,14,211,107,231,241,light_combined
char__residents_of_the_cottage,residents of the cottage,Residents Of The Cottage,False,False,23,159,0,23,228,242,light_combined
char__castle_guards,castle guards,Castle Guards,False,False,24,154,1,25,227,243,light_combined
char__diplomat,diplomat,Diplomat,False,False,22,142,19,29,227,244,light_combined
char__gather,gather,Gather,False,False,5,29,182,169,226,245,light_combined
char__giant_frog,giant frog,Giant Frog,False,False,22,149,10,23,225,246,light_combined
char__alchemist,alchemist,Alchemist,False,False,23,133,22,29,224,247,light_combined
char__loved_ones,loved ones,Loved Ones,False,False,19,126,41,51,224,248,light_combined
char__mistress,mistress,Mistress,False,False,17,106,66,56,223,249,light_combined
char__boar,boar,Boar,False,False,15,92,86,53,223,250,light_combined
char__rodent,rodent,Rodent,False,False,18,113,55,52,222,251,light_combined
char__queen_s,queen's,Queen'S,False,False,12,76,110,112,222,252,light_combined
char__hog,hog,Hog,False,False,21,133,25,26,221,253,light_combined
char__judge,judge,Judge,False,False,12,72,113,98,221,254,light_combined
char__mate,mate,Mate,False,False,11,64,124,109,221,255,light_combined
char__serving_wench,serving wench,Serving Wench,False,False,25,136,8,29,219,256,light_combined
char__king_fulmer,king fulmer,King Fulmer,False,False,22,144,8,22,218,257,light_combined
char__student,student,Student,False,False,21,123,32,32,218,258,light_combined
char__there_is_also_a_young_woman_selling_flowers_to_passersby,there is also a young woman selling flowers to passersby,There Is Also A Young Woman Selling Flowers To Passersby,False,False,24,145,0,24,217,259,light_combined
char__old_man_with_a_fishing_rod,old man with a fishing rod,Old Man With A Fishing Rod,False,False,23,148,0,23,217,260,light_combined
char__painter,painter,Painter,False,False,20,134,23,30,217,261,light_combined
char__concubine,concubine,Concubine,False,False,21,146,6,24,215,262,light_combined
char__intruder,intruder,Intruder,False,False,20,122,33,37,215,263,light_combined
char__rat_chews_on_a_dropped_hymnbook,rat chews on a dropped hymnbook,Rat Chews On A Dropped Hymnbook,False,False,23,144,0,23,213,264,light_combined
char__lost_traveler,lost traveler,Lost Traveler,False,False,24,139,1,24,212,265,light_combined
char__predator,predator,Predator,False,False,22,133,13,30,212,266,light_combined
char__ladies,ladies,Ladies,False,False,14,85,85,83,212,267,light_combined
char__sacrifice,sacrifice,Sacrifice,False,False,3,21,181,119,211,268,light_combined
char__their_family,their family,Their Family,False,False,21,142,5,25,210,269,light_combined
char__nobleman,nobleman,Nobleman,False,False,19,108,45,49,210,270,light_combined
char__blacksmith_apprentice,blacksmith apprentice,Blacksmith Apprentice,False,False,23,135,5,23,209,271,light_combined
char__traitor,traitor,Traitor,False,False,16,101,60,44,209,272,light_combined
char__royal_family_member,royal family member,Royal Family Member,False,False,22,140,2,24,208,273,light_combined
char__lawyer,lawyer,Lawyer,False,False,20,128,19,26,207,274,light_combined
char__beaver,beaver,Beaver,False,False,19,122,28,22,207,275,light_combined
char__groundskeeper_of_the_castle,groundskeeper of the castle,Groundskeeper Of The Castle,False,False,22,140,0,22,206,276,light_combined
char__camel,camel,Camel,False,False,19,116,32,25,205,277,light_combined
char__ancient_king,ancient king,Ancient King,False,False,21,136,4,21,203,278,light_combined
char__grandfather,grandfather,Grandfather,False,False,15,105,52,48,202,279,light_combined
char__hunting_dog,hunting dog,Hunting Dog,False,False,20,126,15,27,201,280,light_combined
char__police,police,Police,False,False,17,109,41,43,201,281,light_combined
char__trolls,trolls,Trolls,False,False,15,92,63,50,200,282,light_combined
char__mystical_lion,mystical lion,Mystical Lion,False,False,21,133,3,21,199,283,light_combined
char__iguana,iguana,Iguana,False,False,18,119,26,20,199,284,light_combined
char__nuns,nuns,Nuns,False,False,19,123,18,30,198,285,light_combined
char__colorful_bird,colorful bird,Colorful Bird,False,False,22,128,3,22,197,286,light_combined
char__dancer,dancer,Dancer,False,False,17,114,30,30,195,287,light_combined
char__genie,genie,Genie,False,False,14,98,55,25,195,288,light_combined
char__murderer,murderer,Murderer,False,False,18,109,31,32,194,289,light_combined
char__drunk,drunk,Drunk,False,False,3,14,171,141,194,290,light_combined
char__cleaning_person,cleaning person,Cleaning Person,False,False,20,130,3,20,193,291,light_combined
char__archaeologists,archaeologists,Archaeologists,False,False,19,133,2,19,192,292,light_combined
char__tribesman,tribesman,Tribesman,False,False,16,133,11,17,192,293,light_combined
char__critter,critter,Critter,False,False,19,109,24,28,190,294,light_combined
char__messenger,messenger,Messenger,False,False,15,105,39,34,189,295,light_combined
char__floor,floor,Floor,False,False,1,7,177,160,187,296,light_combined
char__king_s_architect,king's architect,King'S Architect,False,False,19,122,7,19,186,297,light_combined
char__sons,sons,Sons,False,False,8,56,106,88,186,298,light_combined
char__emperor,emperor,Emperor,False,False,17,119,15,21,185,299,light_combined
char__captured_knight,captured knight,Captured Knight,False,False,20,123,1,20,184,300,light_combined
char__stable_boy,stable boy,Stable Boy,False,False,14,88,54,44,184,301,light_combined
char__scorpion,scorpion,Scorpion,False,False,14,86,56,35,184,302,light_combined
char__helpers,helpers,Helpers,False,False,18,124,4,21,182,303,light_combined
char__weary_traveler,weary traveler,Weary Traveler,False,False,18,117,9,24,180,304,light_combined
char__raccoon,raccoon,Raccoon,False,False,15,101,34,22,180,305,light_combined
char__young_princess,young princess,Young Princess,False,False,20,115,4,22,179,306,light_combined
char__drunkard,drunkard,Drunkard,False,False,18,105,20,29,179,307,light_combined
char__teacher,teacher,Teacher,False,False,16,101,30,36,179,308,light_combined
char__crab,crab,Crab,False,False,13,84,56,26,179,309,light_combined
char__baby,baby,Baby,False,False,5,28,136,105,179,310,light_combined
char__proprietor,proprietor,Proprietor,False,False,18,120,3,20,177,311,light_combined
char__robber,robber,Robber,False,False,17,113,12,23,176,312,light_combined
char__swimmer,swimmer,Swimmer,False,False,17,104,19,27,174,313,light_combined
char__officer,officer,Officer,False,False,15,98,31,29,174,314,light_combined
char__fishermen,fishermen,Fishermen,False,False,14,96,36,44,174,315,light_combined
char__bride,bride,Bride,False,False,13,83,52,50,174,316,light_combined
char__sad_townsman,sad townsman,Sad Townsman,False,False,18,117,2,18,173,317,light_combined
char__handmaid,handmaid,Handmaid,False,False,16,111,12,21,171,318,light_combined
char__minister,minister,Minister,False,False,16,102,21,19,171,319,light_combined
char__young_boy,young boy,Young Boy,False,False,15,100,26,36,171,320,light_combined
char__royal_chef,royal chef,Royal Chef,False,False,18,111,5,22,170,321,light_combined
char__governor,governor,Governor,False,False,16,104,18,16,170,322,light_combined
char__citizen,citizen,Citizen,False,False,12,80,54,51,170,323,light_combined
char__footman,footman,Footman,False,False,18,102,12,21,168,324,light_combined
char__salesman,salesman,Salesman,False,False,18,96,18,29,168,325,light_combined
char__invader,invader,Invader,False,False,17,106,11,19,168,326,light_combined
char__king_and_queen,king and queen,King And Queen,False,False,9,60,81,80,168,327,light_combined
char__unicorn,unicorn,Unicorn,False,False,9,59,82,44,168,328,light_combined
char__figure,figure,Figure,False,False,3,15,143,136,167,329,light_combined
char__king_of,king of,King Of,False,False,1,7,157,131,167,330,light_combined
char__old_woman,old woman,Old Woman,False,False,15,102,18,27,165,331,light_combined
char__small_animals,small animals,Small Animals,False,False,18,105,5,22,164,332,light_combined
char__bodyguard,bodyguard,Bodyguard,False,False,15,99,19,24,163,333,light_combined
char__skeleton,skeleton,Skeleton,False,False,11,77,53,41,163,334,light_combined
char__pilgrims,pilgrims,Pilgrims,False,False,17,104,7,18,162,335,light_combined
char__temple_guard,temple guard,Temple Guard,False,False,16,109,5,18,162,336,light_combined
char__turkey,turkey,Turkey,False,False,11,75,53,27,161,337,light_combined
char__old_wizened_priestess,old wizened priestess,Old Wizened Priestess,False,False,16,110,1,16,159,338,light_combined
char__tadpole,tadpole,Tadpole,False,False,16,92,18,22,158,339,light_combined
char__hermit,hermit,Hermit,False,False,14,92,24,18,158,340,light_combined
char__egyptians,egyptians,Egyptians,False,False,17,104,2,17,157,341,light_combined
char__fisher,fisher,Fisher,False,False,15,102,8,16,155,342,light_combined
char__milk_maid,milk maid,Milk Maid,False,False,15,98,12,20,155,343,light_combined
char__village_official,village official,Village Official,False,False,16,102,4,18,154,344,light_combined
char__wrongdoer,wrongdoer,Wrongdoer,False,False,15,105,4,15,154,345,light_combined
char__barn_cat,barn cat,Barn Cat,False,False,17,99,3,18,153,346,light_combined
char__donkey,donkey,Donkey,False,False,10,70,53,28,153,347,light_combined
char__bat_queen,bat queen,Bat Queen,False,False,15,96,11,16,152,348,light_combined
char__watchmen,watchmen,Watchmen,False,False,15,90,17,23,152,349,light_combined
char__milkmaid,milkmaid,Milkmaid,False,False,15,96,10,19,151,350,light_combined
char__dirt,dirt,Dirt,False,False,4,28,111,91,151,351,light_combined
char__grounds_keeper,grounds keeper,Grounds Keeper,False,False,16,96,6,19,150,352,light_combined
char__faerie,faerie,Faerie,False,False,11,77,40,29,150,353,light_combined
char__empress,empress,Empress,False,False,17,83,15,18,149,354,light_combined
char__gobber,gobber,Gobber,False,False,13,87,23,14,149,355,light_combined
char__sinners,sinners,Sinners,False,False,12,78,35,35,149,356,light_combined
char__demons,demons,Demons,False,False,8,49,76,60,149,357,light_combined
char__young_man,young man,Young Man,False,False,6,42,89,73,149,358,light_combined
char__old_homeless_man,old homeless man,Old Homeless Man,False,False,15,101,1,15,147,359,light_combined
char__polar_bear,polar bear,Polar Bear,False,False,14,98,7,16,147,360,light_combined
char__weddings,weddings,Weddings,False,False,14,79,26,25,147,361,light_combined
char__insect,insect,Insect,False,False,7,38,88,68,147,362,light_combined
char__tavern_owner,tavern owner,Tavern Owner,False,False,16,95,3,17,146,363,light_combined
char__songbird,songbird,Songbird,False,False,15,91,9,16,145,364,light_combined
char__mad_king,mad king,Mad King,False,False,14,93,10,20,145,365,light_combined
char__old_gnaisha,old gnaisha,Old Gnaisha,False,False,15,94,5,16,144,366,light_combined
char__petitioner,petitioner,Petitioner,False,False,15,92,7,15,144,367,light_combined
char__armorer,armorer,Armorer,False,False,14,92,10,15,144,368,light_combined
char__farmer_bob,farmer bob,Farmer Bob,False,False,14,90,12,18,144,369,light_combined
char__groundskeeper,groundskeeper,Groundskeeper,False,False,13,72,33,34,144,370,light_combined
char__family_dog,family dog,Family Dog,False,False,15,98,0,15,143,371,light_combined
char__resting_travelers,resting travelers,Resting Travelers,False,False,16,94,0,16,142,372,light_combined
char__steward,steward,Steward,False,False,14,90,10,19,142,373,light_combined
char__camera_man,camera man,Camera Man,False,False,13,91,12,14,142,374,light_combined
char__freind,freind,Freind,False,False,13,85,18,29,142,375,light_combined
char__calf,calf,Calf,False,False,12,84,22,23,142,376,light_combined
char__prisoners,prisoners,Prisoners,False,False,4,28,102,83,142,377,light_combined
