character_id,episode_id,character_name,source_field
char__drunkard,train_ep_000023,drunkard,agents
char__sailor,train_ep_000023,sailor,agents
char__fairy,train_ep_000024,fairy,agents
char__person,train_ep_000024,person,agents
char__parishioner,train_ep_000025,parishioner,agents
char__petitioner,train_ep_000025,petitioner,agents
char__ghost,train_ep_000026,ghost,agents
char__pirate,train_ep_000026,pirate,agents
char__enemy,train_ep_000027,enemy,agents
char__horse,train_ep_000027,horse,agents
char__fairy,train_ep_000028,fairy,agents
char__thing,train_ep_000028,thing,agents
char__dogs,train_ep_000029,dogs,agents
char__village_chief,train_ep_000029,village chief,agents
char__barn_cat,train_ep_000030,barn cat,agents
char__enemy,train_ep_000030,enemy,agents
char__guard,train_ep_000031,guard,agents
char__wall_repairman,train_ep_000031,wall repairman,agents
char__king_fulmer,train_ep_000032,king fulmer,agents
char__soldier_named_zinney,train_ep_000032,soldier named zinney,agents
char__person,train_ep_000033,person,agents
char__scullery_boy,train_ep_000033,scullery boy,agents
char__lost_traveler,train_ep_000034,lost traveler,agents
char__roach,train_ep_000034,roach,agents
char__concubine,train_ep_000035,concubine,agents
char__foreign_ambassador,train_ep_000035,foreign ambassador,agents
char__eunuch,train_ep_000036,eunuch,agents
char__farmer_bob_s_wife,train_ep_000036,farmer bob's wife,agents
char__pet,train_ep_000037,pet,agents
char__resident,train_ep_000037,resident,agents
char__person,train_ep_000038,person,agents
char__squirrel,train_ep_000038,squirrel,agents
char__grandfather,train_ep_000039,grandfather,agents
char__grandmother,train_ep_000039,grandmother,agents
char__advisor,train_ep_000040,advisor,agents
char__royal_prince,train_ep_000040,royal prince,agents
char__companion,train_ep_000041,companion,agents
char__person,train_ep_000041,person,agents
char__rabbit,train_ep_000042,rabbit,agents
char__squirrel,train_ep_000042,squirrel,agents
char__bat,train_ep_000043,bat,agents
char__caveman,train_ep_000043,caveman,agents
char__robber,train_ep_000044,robber,agents
char__witch,train_ep_000044,witch,agents
char__farmer,train_ep_000045,farmer,agents
char__peasant,train_ep_000045,peasant,agents
char__king,train_ep_000046,king,agents
char__sell_swords,train_ep_000046,sell swords,agents
char__humble_knight,train_ep_000047,humble knight,agents
char__lord,train_ep_000047,lord,agents
char__blacksmith,train_ep_000048,blacksmith,agents
char__knight,train_ep_000048,knight,agents
char__rat,train_ep_000049,rat,agents
char__rival,train_ep_000049,rival,agents
char__groundskeeper_of_the_castle,train_ep_000050,groundskeeper of the castle,agents
char__pet_goldfish,train_ep_000050,pet goldfish,agents
char__dogs,train_ep_000051,dogs,agents
char__queen,train_ep_000051,queen,agents
char__ghosts_of_previous_occupants,train_ep_000052,ghosts of previous occupants,agents
char__spider,train_ep_000052,spider,agents
char__choir_room,train_ep_000053,choir room,agents
char__person,train_ep_000053,person,agents
char__guard,train_ep_000054,guard,agents
char__person,train_ep_000054,person,agents
char__town_baker,train_ep_000055,town baker,agents
char__person,train_ep_000056,person,agents
char__spelunker,train_ep_000056,spelunker,agents
char__butterfly,train_ep_000057,butterfly,agents
char__fox,train_ep_000057,fox,agents
char__princess,train_ep_000058,princess,agents
char__queen,train_ep_000058,queen,agents
char__king,train_ep_000059,king,agents
char__subjects,train_ep_000059,subjects,agents
char__bride,train_ep_000060,bride,agents
char__people,train_ep_000060,people,agents
char__king,train_ep_000061,king,agents
char__princess,train_ep_000061,princess,agents
char__knight,train_ep_000062,knight,agents
char__serving_wench,train_ep_000062,serving wench,agents
char__bartender,train_ep_000063,bartender,agents
char__guard,train_ep_000063,guard,agents
char__altar_boy,train_ep_000064,altar boy,agents
char__raccoon,train_ep_000064,raccoon,agents
char__nun,train_ep_000065,nun,agents
char__priest,train_ep_000065,priest,agents
char__dockworker,train_ep_000066,dockworker,agents
char__merchant,train_ep_000066,merchant,agents
char__hiker,train_ep_000067,hiker,agents
char__yeti,train_ep_000067,yeti,agents
char__ambassador,train_ep_000068,ambassador,agents
char__servant,train_ep_000068,servant,agents
char__altar_boy,train_ep_000069,altar boy,agents
char__priest,train_ep_000069,priest,agents
char__blacksmith,train_ep_000070,blacksmith,agents
char__merchant,train_ep_000070,merchant,agents
char__soldier,train_ep_000071,soldier,agents
char__war_officer,train_ep_000071,war officer,agents
char__emperor,train_ep_000072,emperor,agents
char__future_heir_to_the_throne,train_ep_000072,future heir to the throne,agents
char__barbarian,train_ep_000073,barbarian,agents
char__homeless_person,train_ep_000073,homeless person,agents
char__acolyte,train_ep_000074,acolyte,agents
char__farmer,train_ep_000074,farmer,agents
char__princess,train_ep_000075,princess,agents
char__queen,train_ep_000075,queen,agents
char__king,train_ep_000076,king,agents
char__officer,train_ep_000076,officer,agents
char__king,train_ep_000077,king,agents
char__maid,train_ep_000077,maid,agents
char__brother,train_ep_000078,brother,agents
char__customer,train_ep_000078,customer,agents
char__old_man,train_ep_000079,old man,agents
char__police,train_ep_000079,police,agents
char__queen,train_ep_000080,queen,agents
char__witch,train_ep_000080,witch,agents
char__dragon,train_ep_000081,dragon,agents
char__knight,train_ep_000081,knight,agents
char__cleaning_maid,train_ep_000082,cleaning maid,agents
char__person,train_ep_000082,person,agents
char__faerie,train_ep_000083,faerie,agents
char__talking_cat,train_ep_000083,talking cat,agents
char__boy,train_ep_000084,boy,agents
char__girl,train_ep_000084,girl,agents
char__ghost,train_ep_000085,ghost,agents
char__trolls,train_ep_000085,trolls,agents
char__geese,train_ep_000086,geese,agents
char__townperson,train_ep_000086,townperson,agents
char__butler,train_ep_000087,butler,agents
char__cook,train_ep_000087,cook,agents
char__chef,train_ep_000088,chef,agents
char__thief,train_ep_000088,thief,agents
char__congregant,train_ep_000089,congregant,agents
char__priests,train_ep_000089,priests,agents
char__fool,train_ep_000090,fool,agents
char__queen,train_ep_000090,queen,agents
char__king,train_ep_000091,king,agents
char__knight,train_ep_000091,knight,agents
char__cat,train_ep_000092,cat,agents
char__maid,train_ep_000092,maid,agents
char__father,train_ep_000093,father,agents
char__napping_mouse,train_ep_000093,napping mouse,agents
char__mouse,train_ep_000094,mouse,agents
char__stable_caretaker,train_ep_000094,stable caretaker,agents
char__chef,train_ep_000095,chef,agents
char__cleaning_person,train_ep_000095,cleaning person,agents
char__family_member,train_ep_000096,family member,agents
char__mother,train_ep_000096,mother,agents
char__family_member,train_ep_000097,family member,agents
char__jester,train_ep_000097,jester,agents
char__librarian,train_ep_000098,librarian,agents
char__preist,train_ep_000098,preist,agents
char__cowardly_guard_nervously_awaiting_an_attack,train_ep_000099,cowardly guard nervously awaiting an attack,agents
char__large_experienced_guard_with_a_grizzly_expression,train_ep_000099,large experienced guard with a grizzly expression,agents
char__boar,train_ep_000100,boar,agents
char__peasant,train_ep_000100,peasant,agents
char__person,train_ep_000101,person,agents
char__preist,train_ep_000101,preist,agents
char__congregant,train_ep_000102,congregant,agents
char__mayor,train_ep_000102,mayor,agents
char__bear,train_ep_000103,bear,agents
char__deer,train_ep_000103,deer,agents
char__chambermaid,train_ep_000104,chambermaid,agents
char__king,train_ep_000104,king,agents
char__craftsman,train_ep_000105,craftsman,agents
char__trader,train_ep_000105,trader,agents
char__princess,train_ep_000106,princess,agents
char__worms,train_ep_000106,worms,agents
char__court_jester,train_ep_000107,court jester,agents
char__servant,train_ep_000107,servant,agents
char__caretaker,train_ep_000108,caretaker,agents
char__tribesman,train_ep_000108,tribesman,agents
char__jester,train_ep_000109,jester,agents
char__subject,train_ep_000109,subject,agents
char__guard,train_ep_000110,guard,agents
char__person,train_ep_000110,person,agents
char__courtier,train_ep_000111,courtier,agents
char__king,train_ep_000111,king,agents
char__cat,train_ep_000112,cat,agents
char__shape_shifting_cat,train_ep_000112,shape-shifting cat,agents
char__clergy,train_ep_000113,clergy,agents
char__priest,train_ep_000113,priest,agents
char__mother,train_ep_000114,mother,agents
char__napping_mouse,train_ep_000114,napping mouse,agents
char__horse,train_ep_000115,horse,agents
char__village_youth,train_ep_000115,village youth,agents
char__cleaning_person,train_ep_000116,cleaning person,agents
char__serving_wench,train_ep_000116,serving wench,agents
char__man,train_ep_000117,man,agents
char__small_child_cleaning_boat,train_ep_000117,small child cleaning boat,agents
char__child,train_ep_000118,child,agents
char__family_member,train_ep_000118,family member,agents
char__cardinal,train_ep_000119,cardinal,agents
char__goldfinch,train_ep_000119,goldfinch,agents
char__captured_knight,train_ep_000120,captured knight,agents
char__rat_feasting_on_leftovers,train_ep_000120,rat feasting on leftovers,agents
char__king_s_guardsman,train_ep_000121,king's guardsman,agents
char__king_s_guardsmen,train_ep_000121,king's guardsmen,agents
char__diplomat,train_ep_000122,diplomat,agents
char__economist,train_ep_000122,economist,agents
char__person,train_ep_000123,person,agents
char__servant,train_ep_000123,servant,agents
char__mayor,train_ep_000124,mayor,agents
char__president,train_ep_000124,president,agents
char__beaver,train_ep_000125,beaver,agents
char__troll,train_ep_000125,troll,agents
char__his_wolf_companion_always_at_his_side,train_ep_000126,his wolf companion always at his side,agents
char__trader_s_wife_that_traveled_with_him,train_ep_000126,trader's wife that traveled with him,agents
char__caretaker,train_ep_000127,caretaker,agents
char__mourner,train_ep_000127,mourner,agents
char__person,train_ep_000128,person,agents
char__princess,train_ep_000128,princess,agents
char__court_jester,train_ep_000129,court jester,agents
char__servant,train_ep_000129,servant,agents
char__queen,train_ep_000130,queen,agents
char__subject,train_ep_000130,subject,agents
char__person,train_ep_000131,person,agents
char__priest,train_ep_000131,priest,agents
char__bishop,train_ep_000132,bishop,agents
char__priest,train_ep_000132,priest,agents
char__large_spider_high_in_one_corner,train_ep_000133,large spider high in one corner,agents
char__old_maniacal_man,train_ep_000133,old maniacal man,agents
char__king_s_architect,train_ep_000134,king's architect,agents
char__parishioner,train_ep_000134,parishioner,agents
char__armorer,train_ep_000135,armorer,agents
char__army,train_ep_000135,army,agents
char__king,train_ep_000136,king,agents
char__musician,train_ep_000136,musician,agents
char__altar_boy,train_ep_000137,altar boy,agents
char__organ_player,train_ep_000137,organ player,agents
char__jacob_s_son,train_ep_000138,jacob's son,agents
char__monkey_friend,train_ep_000138,monkey friend,agents
char__archaeologist,train_ep_000139,archaeologist,agents
char__robber,train_ep_000139,robber,agents
char__no_one,train_ep_000140,no one,agents
char__vulture,train_ep_000140,vulture,agents
char__goat_for_company_for_the_horses,train_ep_000141,goat for company for the horses,agents
char__veterinarian,train_ep_000141,veterinarian,agents
char__lady_of_the_house,train_ep_000142,lady of the house,agents
char__traveler,train_ep_000142,traveler,agents
char__grazing_milk_cow_in_the_background,train_ep_000143,grazing milk cow in the background,agents
char__person,train_ep_000143,person,agents
char__hangman,train_ep_000144,hangman,agents
char__royal,train_ep_000144,royal,agents
char__hawk,train_ep_000145,hawk,agents
char__squire,train_ep_000145,squire,agents
char__animal,train_ep_000146,animal,agents
char__wise_men,train_ep_000146,wise men,agents
char__guest,train_ep_000147,guest,agents
char__royal_family_member,train_ep_000147,royal family member,agents
char__horse,train_ep_000148,horse,agents
char__horse_thieves,train_ep_000148,horse thieves,agents
char__old_woman,train_ep_000149,old woman,agents
char__priest,train_ep_000149,priest,agents
char__dancer,train_ep_000150,dancer,agents
char__guard,train_ep_000150,guard,agents
char__animal,train_ep_000151,animal,agents
char__boy,train_ep_000151,boy,agents
char__fight,train_ep_000152,fight,agents
char__master_of_ceremonies,train_ep_000152,master of ceremonies,agents
char__another_prisoner,train_ep_000153,another prisoner,agents
char__guard,train_ep_000153,guard,agents
char__pig,train_ep_000154,pig,agents
char__turkey,train_ep_000154,turkey,agents
char__peasant,train_ep_000155,peasant,agents
char__person,train_ep_000155,person,agents
char__chef,train_ep_000156,chef,agents
char__waiter,train_ep_000156,waiter,agents
char__king,train_ep_000157,king,agents
char__queen,train_ep_000157,queen,agents
char__king,train_ep_000158,king,agents
char__queen,train_ep_000158,queen,agents
char__cooks,train_ep_000159,cooks,agents
char__maid,train_ep_000159,maid,agents
char__dog,train_ep_000160,dog,agents
char__half_wild_cat_chasing_away_mice,train_ep_000160,half-wild cat chasing away mice,agents
char__guest,train_ep_000161,guest,agents
char__soldier,train_ep_000161,soldier,agents
char__dove,train_ep_000162,dove,agents
char__village_official,train_ep_000162,village official,agents
char__bandit,train_ep_000163,bandit,agents
char__poorer_citizens_of_the_empire,train_ep_000163,poorer citizens of the empire,agents
char__lord,train_ep_000164,lord,agents
char__nun,train_ep_000164,nun,agents
char__hunter,train_ep_000165,hunter,agents
char__man_sleeping_inside,train_ep_000165,man sleeping inside,agents
char__king,train_ep_000166,king,agents
char__temple_guard,train_ep_000166,temple guard,agents
char__animal,train_ep_000167,animal,agents
char__camper,train_ep_000167,camper,agents
char__deer,train_ep_000168,deer,agents
char__horse,train_ep_000168,horse,agents
char__queen,train_ep_000169,queen,agents
char__royal_dog,train_ep_000169,royal dog,agents
char__preacher,train_ep_000170,preacher,agents
char__worshipper,train_ep_000170,worshipper,agents
char__congregant,train_ep_000171,congregant,agents
char__wolf,train_ep_000171,wolf,agents
char__man,train_ep_000172,man,agents
char__toucan,train_ep_000172,toucan,agents
char__child,train_ep_000173,child,agents
char__priest,train_ep_000173,priest,agents
char__person,train_ep_000174,person,agents
char__small_animals,train_ep_000174,small animals,agents
char__patron,train_ep_000175,patron,agents
char__troubadours,train_ep_000175,troubadours,agents
char__king,train_ep_000176,king,agents
char__queen,train_ep_000176,queen,agents
char__fight,train_ep_000177,fight,agents
char__servant,train_ep_000177,servant,agents
char__deckhand,train_ep_000178,deckhand,agents
char__wench,train_ep_000178,wench,agents
char__bird,train_ep_000179,bird,agents
char__soldier,train_ep_000179,soldier,agents
char__alter_boy,train_ep_000180,alter boy,agents
char__dogs,train_ep_000180,dogs,agents
char__mysterious_merchant,train_ep_000181,mysterious merchant,agents
char__vendor,train_ep_000181,vendor,agents
char__monster,train_ep_000182,monster,agents
char__traveller,train_ep_000182,traveller,agents
char__deity,train_ep_000183,deity,agents
char__priestess,train_ep_000183,priestess,agents
char__king_s_dog,train_ep_000184,king's dog,agents
char__queen,train_ep_000184,queen,agents
char__tribe_chief,train_ep_000185,tribe chief,agents
char__tribesman,train_ep_000185,tribesman,agents
char__challenger,train_ep_000186,challenger,agents
char__prisoner,train_ep_000186,prisoner,agents
char__musician,train_ep_000187,musician,agents
char__ogre,train_ep_000187,ogre,agents
char__camera_man,train_ep_000188,camera man,agents
char__king,train_ep_000188,king,agents
char__chicken,train_ep_000189,chicken,agents
char__farmer,train_ep_000189,farmer,agents
char__gravedigger_doing_his_work,train_ep_000190,gravedigger doing his work,agents
char__mourner,train_ep_000190,mourner,agents
char__peasant,train_ep_000191,peasant,agents
char__witch,train_ep_000191,witch,agents
char__maid,train_ep_000192,maid,agents
char__visitor,train_ep_000192,visitor,agents
char__guard,train_ep_000193,guard,agents
char__king,train_ep_000193,king,agents
char__bear,train_ep_000194,bear,agents
char__wolf,train_ep_000194,wolf,agents
char__king,train_ep_000195,king,agents
char__parishioner,train_ep_000195,parishioner,agents
char__guard,train_ep_000196,guard,agents
char__torture_assistant,train_ep_000196,torture assistant,agents
char__castaway,train_ep_000197,castaway,agents
char__person,train_ep_000197,person,agents
char__governor,train_ep_000198,governor,agents
char__man,train_ep_000198,man,agents
char__armed_guardsmen,train_ep_000199,armed guardsmen,agents
char__wise_men,train_ep_000199,wise men,agents
char__person,train_ep_000200,person,agents
char__round_man_with_a_bushy_mustache,train_ep_000200,round man with a bushy mustache,agents
char__priest,train_ep_000201,priest,agents
char__young_princess,train_ep_000201,young princess,agents
char__craftsman,train_ep_000202,craftsman,agents
char__prisoner,train_ep_000202,prisoner,agents
char__knight,train_ep_000203,knight,agents
char__mage,train_ep_000203,mage,agents
char__goblin,train_ep_000204,goblin,agents
char__princess,train_ep_000204,princess,agents
char__peasant,train_ep_000205,peasant,agents
char__thief,train_ep_000205,thief,agents
char__ghost,train_ep_000206,ghost,agents
char__noble,train_ep_000206,noble,agents
char__cricket,train_ep_000207,cricket,agents
char__praying_mantis,train_ep_000207,praying mantis,agents
char__cat,train_ep_000208,cat,agents
char__roach,train_ep_000208,roach,agents
char__jester,train_ep_000209,jester,agents
char__knight,train_ep_000209,knight,agents
char__child,train_ep_000210,child,agents
char__secret_lovers_seeking_privacy,train_ep_000210,secret lovers seeking privacy,agents
char__king,train_ep_000211,king,agents
char__rabid_rat,train_ep_000212,rabid rat,agents
char__servant,train_ep_000212,servant,agents
char__admiral,train_ep_000213,admiral,agents
char__guard,train_ep_000213,guard,agents
char__gardener_pulling_weeds,train_ep_000214,gardener pulling weeds,agents
char__young_student_reading_a_book_beneath_a_dogwood_tree,train_ep_000214,young student reading a book beneath a dogwood tree,agents
char__clergyman,train_ep_000215,clergyman,agents
char__parishioner,train_ep_000215,parishioner,agents
char__mouse,train_ep_000216,mouse,agents
char__vagabond,train_ep_000216,vagabond,agents
char__fish,train_ep_000217,fish,agents
char__person,train_ep_000217,person,agents
char__insects,train_ep_000218,insects,agents
char__vulture,train_ep_000218,vulture,agents
char__king_fulmer,train_ep_000219,king fulmer,agents
char__soldier_named_ulmer,train_ep_000219,soldier named ulmer,agents
char__castle_guards,train_ep_000220,castle guards,agents
char__scullery_boy,train_ep_000220,scullery boy,agents
char__barn_cat,train_ep_000221,barn cat,agents
char__worms,train_ep_000221,worms,agents
char__friend_of_the_princess,train_ep_000222,friend of the princess,agents
char__maid,train_ep_000222,maid,agents
char__chief_wife,train_ep_000223,chief wife,agents
char__concubine,train_ep_000223,concubine,agents
char__child,train_ep_000224,child,agents
char__vendor,train_ep_000224,vendor,agents
char__concubine,train_ep_000225,concubine,agents
char__mistress,train_ep_000225,mistress,agents
char__queen,train_ep_000226,queen,agents
char__traveler,train_ep_000226,traveler,agents
char__person,train_ep_000227,person,agents
char__vagrant,train_ep_000227,vagrant,agents
char__father,train_ep_000228,father,agents
char__grandfather,train_ep_000228,grandfather,agents
char__queen,train_ep_000229,queen,agents
char__royal_prince,train_ep_000229,royal prince,agents
char__gardener,train_ep_000230,gardener,agents
char__queen,train_ep_000230,queen,agents
char__captain,train_ep_000231,captain,agents
char__mate,train_ep_000231,mate,agents
char__elf,train_ep_000232,elf,agents
char__witch,train_ep_000232,witch,agents
char__albino_fish_totally_blind_swims_in_a_tiny_pool,train_ep_000233,albino fish totally blind swims in a tiny pool,agents
char__person,train_ep_000233,person,agents
char__farmer,train_ep_000234,farmer,agents
char__knight,train_ep_000234,knight,agents
char__child,train_ep_000235,child,agents
char__sell_swords,train_ep_000235,sell swords,agents
char__lady_in_a_white_decadent_dress,train_ep_000236,lady in a white decadent dress,agents
char__stable_boy_rushing_in_to_alert_the_knight,train_ep_000236,stable boy rushing in to alert the knight,agents
char__queen,train_ep_000237,queen,agents
char__roach,train_ep_000237,roach,agents
char__guy_with_the_key_when_he_lets_in_the_king,train_ep_000238,guy with the key when he lets in the king,agents
char__king_himself,train_ep_000238,king himself,agents
char__dogs,train_ep_000239,dogs,agents
char__person,train_ep_000239,person,agents
char__bigfoot,train_ep_000240,bigfoot,agents
char__person,train_ep_000240,person,agents
char__horseflies,train_ep_000241,horseflies,agents
char__lizards,train_ep_000241,lizards,agents
char__mice,train_ep_000242,mice,agents
char__town_baker,train_ep_000242,town baker,agents
char__clergyman,train_ep_000243,clergyman,agents
char__freind,train_ep_000243,freind,agents
char__bird,train_ep_000244,bird,agents
char__monkey,train_ep_000244,monkey,agents
char__king_s_guardsmen,train_ep_000245,king's guardsmen,agents
char__person,train_ep_000245,person,agents
char__princess,train_ep_000246,princess,agents
char__queen,train_ep_000246,queen,agents
char__chained_cat,train_ep_000247,chained cat,agents
char__priest,train_ep_000247,priest,agents
char__insects,train_ep_000248,insects,agents
char__sick_person,train_ep_000248,sick person,agents
char__blacksmith_apprentice,train_ep_000249,blacksmith apprentice,agents
char__serving_wench,train_ep_000249,serving wench,agents
char__cavalry,train_ep_000250,cavalry,agents
char__guard,train_ep_000250,guard,agents
char__bishop,train_ep_000251,bishop,agents
char__nun,train_ep_000251,nun,agents
char__person_on_a_pilgrimage,train_ep_000252,person on a pilgrimage,agents
char__resting_travelers,train_ep_000252,resting travelers,agents
char__fisherman,train_ep_000253,fisherman,agents
char__mariner,train_ep_000253,mariner,agents
char__soldier,train_ep_000254,soldier,agents
char__villager,train_ep_000254,villager,agents
char__old_wizened_priestess,train_ep_000255,old wizened priestess,agents
char__spider,train_ep_000255,spider,agents
char__ambassador,train_ep_000256,ambassador,agents
char__queen,train_ep_000256,queen,agents
char__child,train_ep_000257,child,agents
char__local_artist,train_ep_000257,local artist,agents
char__barbarian,train_ep_000258,barbarian,agents
char__homeless_person,train_ep_000258,homeless person,agents
char__person,train_ep_000259,person,agents
char__tourist,train_ep_000259,tourist,agents
char__farmer,train_ep_000260,farmer,agents
char__princess,train_ep_000260,princess,agents
char__king,train_ep_000261,king,agents
char__queen,train_ep_000261,queen,agents
char__king,train_ep_000262,king,agents
char__queen,train_ep_000262,queen,agents
char__king,train_ep_000263,king,agents
char__maid,train_ep_000263,maid,agents
char__queen,train_ep_000264,queen,agents
char__witch,train_ep_000264,witch,agents
char__queen,train_ep_000265,queen,agents
char__servant,train_ep_000265,servant,agents
char__cat,train_ep_000266,cat,agents
char__villager,train_ep_000266,villager,agents
char__rat_chews_on_a_dropped_hymnbook,train_ep_000267,rat chews on a dropped hymnbook,agents
char__spider_spins_its_web_in_the_pew_corner,train_ep_000267,spider spins its web in the pew corner,agents
char__seagull,train_ep_000268,seagull,agents
char__tern,train_ep_000268,tern,agents
char__captain,train_ep_000269,captain,agents
char__pirate,train_ep_000269,pirate,agents
char__girl,train_ep_000270,girl,agents
char__rival_jeweler,train_ep_000270,rival jeweler,agents
char__ghost,train_ep_000271,ghost,agents
char__shop_keeper,train_ep_000271,shop keeper,agents
char__goblin,train_ep_000272,goblin,agents
char__guard,train_ep_000272,guard,agents
char__butler,train_ep_000273,butler,agents
char__maid,train_ep_000273,maid,agents
char__guest,train_ep_000274,guest,agents
char__servant,train_ep_000274,servant,agents
char__lector,train_ep_000275,lector,agents
char__nuns,train_ep_000275,nuns,agents
char__king,train_ep_000276,king,agents
char__queen,train_ep_000276,queen,agents
char__king,train_ep_000277,king,agents
char__knight,train_ep_000277,knight,agents
char__priest,train_ep_000278,priest,agents
char__priests,train_ep_000278,priests,agents
char__dog,train_ep_000279,dog,agents
char__mouse,train_ep_000279,mouse,agents
char__crow,train_ep_000280,crow,agents
char__jester,train_ep_000280,jester,agents
char__child,train_ep_000281,child,agents
char__mother,train_ep_000281,mother,agents
char__horse,train_ep_000282,horse,agents
char__stable_hands,train_ep_000282,stable hands,agents
char__chef,train_ep_000283,chef,agents
char__serving_wench,train_ep_000283,serving wench,agents
char__knight,train_ep_000284,knight,agents
char__old_man_with_a_fishing_rod,train_ep_000284,old man with a fishing rod,agents
char__family_member,train_ep_000285,family member,agents
char__jester,train_ep_000285,jester,agents
char__child,train_ep_000286,child,agents
char__family_member,train_ep_000286,family member,agents
char__captured_knight,train_ep_000287,captured knight,agents
char__troll,train_ep_000287,troll,agents
char__person,train_ep_000288,person,agents
char__preist,train_ep_000288,preist,agents
char__cooker,train_ep_000289,cooker,agents
char__man,train_ep_000289,man,agents
char__baby,train_ep_000290,baby,agents
char__stray_cat,train_ep_000290,stray cat,agents
char__pig,train_ep_000291,pig,agents
char__villager,train_ep_000291,villager,agents
char__invader,train_ep_000292,invader,agents
char__worms,train_ep_000292,worms,agents
char__king,train_ep_000293,king,agents
char__party_goers,train_ep_000293,party goers,agents
char__armorer,train_ep_000294,armorer,agents
char__blacksmith,train_ep_000294,blacksmith,agents
char__follower,train_ep_000295,follower,agents
char__high_priest,train_ep_000295,high priest,agents
char__archaeologist,train_ep_000296,archaeologist,agents
char__bandit,train_ep_000296,bandit,agents
char__lizards,train_ep_000297,lizards,agents
char__toucan,train_ep_000297,toucan,agents
char__peasant,train_ep_000298,peasant,agents
char__thief,train_ep_000298,thief,agents
char__king,train_ep_000299,king,agents
char__veterinarian,train_ep_000299,veterinarian,agents
char__guest,train_ep_000300,guest,agents
char__lady_of_the_house,train_ep_000300,lady of the house,agents
char__archer,train_ep_000301,archer,agents
char__mistress,train_ep_000301,mistress,agents
char__book_keeper,train_ep_000302,book keeper,agents
char__monk,train_ep_000302,monk,agents
char__high_priestess,train_ep_000303,high priestess,agents
char__worker,train_ep_000303,worker,agents
char__archer,train_ep_000304,archer,agents
char__soldier,train_ep_000304,soldier,agents
char__alligator,train_ep_000305,alligator,agents
char__swimmer,train_ep_000305,swimmer,agents
char__rabbit,train_ep_000306,rabbit,agents
char__wealthy_noble,train_ep_000306,wealthy noble,agents
char__grandmother,train_ep_000307,grandmother,agents
char__priest,train_ep_000307,priest,agents
char__church_mouse,train_ep_000308,church mouse,agents
char__priest,train_ep_000308,priest,agents
char__sailor,train_ep_000309,sailor,agents
char__some_kind_of_police,train_ep_000309,some kind of police,agents
char__ghost,train_ep_000310,ghost,agents
char__residents_of_the_cottage,train_ep_000310,residents of the cottage,agents
char__horse,train_ep_000311,horse,agents
char__milkmaid,train_ep_000311,milkmaid,agents
char__castle_guards,train_ep_000312,castle guards,agents
char__wealthy_bookshop_owner,train_ep_000312,wealthy bookshop owner,agents
char__rat,train_ep_000313,rat,agents
char__spider,train_ep_000313,spider,agents
char__animal,train_ep_000314,animal,agents
char__craftsman,train_ep_000314,craftsman,agents
char__historian,train_ep_000315,historian,agents
char__preacher,train_ep_000315,preacher,agents
char__gravedigger,train_ep_000316,gravedigger,agents
char__loved_ones,train_ep_000316,loved ones,agents
char__cat,train_ep_000317,cat,agents
char__royal_family_member,train_ep_000317,royal family member,agents
char__guard,train_ep_000318,guard,agents
char__pirate,train_ep_000318,pirate,agents
char__peasant,train_ep_000319,peasant,agents
char__tavern_owner,train_ep_000319,tavern owner,agents
char__graveyard_keeper_who_lives_across_the_yard,train_ep_000320,graveyard keeper who lives across the yard,agents
char__rat,train_ep_000320,rat,agents
