crno,corpNm,corpEnsnNm,enpPbanCmpyNm,enpRprFnm,corpRegMrktDcd,corpRegMrktDcdNm,corpDcd,corpDcdNm,bzno,enpOzpno,enpBsadr,enpDtadr,enpHmpgUrl,enpTlno,enpFxno,sicNm,enpEstbDt,enpStacMm,enpXchgLstgDt,enpXchgLstgAbolDt,enpKosdaqLstgDt,enpKosdaqLstgAbolDt,enpKrxLstgDt,enpKrxLstgAbolDt,smenpYn,enpMntrBnkNm,enpEmpeCnt,empeAvgCnwkTermCtt,enpPn1AvgSlryAmt,actnAudpnNm,audtRptOpnnCtt,enpMainBizNm,fssCorpUnqNo,fssCorpChgDtm,fstOpegDt,lastOpegDt
1101110515358,경인약품,,,김준현,,,31,주식회사,2038149237,04586,서울 중구 청구로4길 49,(신당동),,02  22520844,02  22379949,,19870105,,,,,,,,Y,,20,,0,,,,,,20200517,20260914
1101110515358,(주)경인약품,"kyungin pharmaceutical co., ltd",,김준현,,,,,2038149237,04586,서울 중구 신당동,290-47,,82-02-2252-0844,02-2237-9949,,19870105,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110515366,(주)삼호필림,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515415,꽃을든남자 소망제약 주식회사,"Somang Pharm Aceutical Co., ltd",꽃을든남자소망제약,강석창,E,기타,,,1148148239,445938,경기도 화성시 향남읍 하길리 1405-3,,,02-2166-7726,02-2644-7531,,19870101,12,,,,,,,,,0,,0,,,,00764223,2024/06/28,20200509,20260914
1101110515415,꽃을든남자 소망제약 주식회사,"Somang Pharm Aceutical Co., ltd",꽃을든남자소망제약,강석창,E,기타,,,1148148239,445938,경기도 화성시 향남읍 하길리 1405-3,경기도 화성시 향남읍 하길리 1405-3,,02-2166-7726,02-2644-7531,,19870101,12,,,,,,,,,0,,0,,,,00764223,2024/06/28,20260101,20260101
1101110515431,(주)밤비노,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515444,대진철강산업(주),DAEJIN STEEL INDUSTRIAL CO.. LTD,,김필규,,,,,1078118848,08015,서울 양천구 신정2동,296-139번지,,82-02-2679-3947,02-2678-3774,,19870110,,,,,,,,,,6,,0,,,,,,20200517,20200517
1101110515457,(주)해동철강,HAE DONG CHUL GANG,,정진하,,,,,1078118834,07299,서울 영등포구 문래동3가,54-31,,82-02-2632-0011,02-679-8154,,,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110515473,대아정업화학(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515530,(주)대진코스탈,DAEJIN KOSTAL,대진코스탈,강태욱 강성공,E,기타,,,1228118599,403858,인천광역시 부평구 청천2동 403-22,,,032-523-6738,032-529-6918,,19870201,12,,,,,,,,,0,,0,,,,00670438,2023/02/23,20200509,20260914
1101110515530,(주)대진코스탈,DAEJIN KOSTAL,대진코스탈,강태욱 강성공,E,기타,,,1228118599,403858,인천광역시 부평구 청천2동 403-22,인천광역시 부평구 청천2동 403-22,,032-523-6738,032-529-6918,,19870201,12,,,,,,,,,0,,0,,,,00670438,2023/02/23,20260101,20260101
1101110515530,(주)대진코스탈,DAE JIN,,강성공,,,,,1228118599,21072,인천광역시 계양구 서운산단로1길 88,(청천동),,82-032-523-6738,032-529-6918,사무용 기계 및 장비 제조업,19870106,,,,,,,,,,73,,0,,,,,,20251008,20251014
1101110515548,(주)대현아이엔씨,DAEHYUN INC,,송진현,,,,,3018108369,07238,서울 영등포구 여의도동,13-5번지  오성빌딩  701호,,82-02-784-6756,02-78-6702,,19870106,,,,,,,,,,8,,0,,,,,,20200517,20200517
1101110515556,(주)한성직물,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515572,(주)더블유개발유통,,,최연숙,,,,,1188101430,03726,서울 서대문구 연희동,194-30  브라운스톤연희  A-304,,82-02-3144-5114,,,,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110515598,광덕철강,,,김지형,,,31,주식회사,1198107285,15417,경기 안산시 단원구 별망로 121,"(성곡동, 시화공단 5라 506-2)",,031 416 1131,031 431 1955,,19870106,,,,,,,,Y,,8,,0,,,,,,20200517,20260914
1101110515598,광덕철강(주),"KWANGDUCK STEEL CO.,LTD",,김광연,,,,,1198107285,15417,경기 안산시단원구 성곡동,674-10번지  시화공단5라  506동  2호,,82-031-416-1131,031-431-1955,,19870106,,,,,,,,,,9,,0,,,,,,20200517,20200517
1101110515621,(주)성천,"SUNGCHUN INDUSTRIAL CO.,LTD.",,김경찬,,,,,1148120624,15809,경기 군포시 금정동,692-2,,82-031-457-2292,031-477-1334,,19870106,,,,,,,,,,9,,0,,,,,,20200517,20200517
1101110515639,동산수출포장(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515647,(주)일신화학,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515663,새한디엔시 주식회사,Saehan Development and Creation,새한디엔시,박광업,E,기타,,,1048135741,135080,서울특별시 강남구 역삼동 651-3,,,02-3279-7288,02-3279-7674,,19870107,12,,,,,,,,,0,,0,,,,00249867,2017/06/30,20230704,20260914
1101110515663,새한디엔시 주식회사,Saehan Development and Creation,새한디엔시,박광업,E,기타,,,1048135741,135080,서울특별시 강남구 역삼동 651-3,서울특별시 강남구 역삼동 651-3,,02-3279-7288,02-3279-7674,,19870107,12,,,,,,,,,0,,0,,,,00249867,2017/06/30,20260101,20260101
1101110515663,새한디엔시 주식회사,Saehan Development and Creation,새한디엔시,박광업,E,기타,,,,135080,서울특별시 강남구 역삼동 651-3,,,02-3279-7288,02-3279-7674,,19870107,12,,,,,,,,,0,,0,,,,00249867,2017/06/30,20200509,20230703
1101110515697,(주)두성양말,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515704,정도화학(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515712,한원정밀화학(주),"HANONE FINE CHEMICAL CO.,LTD",한원정밀화학,최종명,E,기타,,,2118134375,135701,서울특별시 강남구 논현동 71-2 건설회관B/D 6층,,www.hanone.co.kr,02-540-0382,02-549-0563,,19870301,12,,,,,,,,,0,,0,,,,00162656,2017/06/30,20200509,20260914
1101110515712,한원정밀화학(주),"HANONE FINE CHEMICAL CO.,LTD",한원정밀화학,최종명,E,기타,,,2118134375,135701,서울특별시 강남구 논현동 71-2 건설회관B/D 6층,서울특별시 강남구 논현동 71-2 건설회관B/D 6층,www.hanone.co.kr,02-540-0382,02-549-0563,,19870301,12,,,,,,,,,0,,0,,,,00162656,2017/06/30,20260101,20260101
1101110515770,(주)능인상사,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515796,한성유니파트(주),,,황행수,,,,,2128132104,05252,서울 강동구 암사동,460-15,,82-02-478-4033,,,19870107,,,,,,,,,,26,,0,,,,,,20200517,20200517
1101110515811,(주)코러스커뮤니케이션,,,,,,,,,,서울특별시 중구 퇴계로 202 10층 1003호 (디엠시빌딩) 필동2가,10층 1003호 (디엠시빌딩) 필동2가,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110515811,(주)코러스커뮤니케이션,,,,,,,,,,서울특별시 중구,퇴계로 202 (10층 1003호 (디엠시빌딩) 필동2가),,*,,,,,,,,,,,,,0,,0,,,,,,20210216,20250318
1101110515811,(주)코러스커뮤니케이션,,,,,,,,,,,,,*,,,,,,,,,,,,,0,,0,,,,,,20210209,20210214
1101110515853,신화호일,,,김기욱,,,31,주식회사,2198104346,05561,서울 송파구 백제고분로,"75, 710호 (잠실동,올림피아오피스텔)",www.swfoil.com,02  421 3347,02  421 3423,,19870107,,,,,,,,Y,,2,,0,,,,,,20200517,20260914
1101110515861,한국호안콘크리트(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515879,(주)신한엘리베이타,"SHIN HAN ELEVATOR CO.,LTD",신한엘리베이타,음한욱,E,기타,,,1368103926,10047,"경기도 김포시 양촌읍 황금로110번길 85 (학운리, (주)신한엘레베이터)",,www.shelevator.co.kr,02-6673-6701,02-2026-6720,,19870108,12,,,,,,,,,0,,0,,,,01042340,2022/12/28,20200509,20260914
1101110515879,(주)신한엘리베이타,"SHIN HAN ELEVATOR CO.,LTD",신한엘리베이타,음한욱,E,기타,,,1368103926,10047,"경기도 김포시 양촌읍 황금로110번길 85 (학운리, (주)신한엘레베이터)","경기도 김포시 양촌읍 황금로110번길 85 (학운리, (주)신한엘레베이터)",www.shelevator.co.kr,02-6673-6701,02-2026-6720,,19870108,12,,,,,,,,,0,,0,,,,01042340,2022/12/28,20260101,20260101
1101110515879,(주)신한엘리베이타,"SHIN HAN ELEVATOR CO.,LTD",,음한욱,,,,,1368103926,10011,경기 김포시 하성면 원산리,193-3,,82-031-981-4517,031-981-8631,승강기 제조업,19870108,,,,,,,,,,0,,0,,,,,,20251008,20251014
1101110515895,(주)보우기술공사,BOW M.I.E,,윤응기,,,,,2208124677,04768,서울 성동구 성수동1가,668-3  NYK  빌딩  2층,,82-02-465-1891,02-465-1884,,,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110515936,(주)세진디피에스,"SEJIN DPS CO., LTD",,권오숙,,,,,2038144358,04561,서울 중구 광희동1가,71번지,,82-02-2272-2425,02-2279-6888,,,,,,,,,,,,20,,0,,,,,,20200517,20200517
1101110515944,아주통산(주),LIM DAE HI,,임수연,,,,,1238123815,15850,경기 군포시 당정동,508-10,,82-031-783-4478,031-783-4489,,19870108,,,,,,,,,,2,,0,,,,,,20200517,20200517
1101110515952,삼진종합토건(주),"samjin general construction co.,ltd",삼진종합토건,한성규,E,기타,,,1148120643,137060,서울특별시 서초구 방배동 927-2 서진레지던스빌딩 3층,,,02-586-1182~4,02-586-1185,,19870118,12,,,,,,,,,0,,0,,,,00467320,2017/06/30,20200509,20260914
1101110515952,삼진종합토건(주),"samjin general construction co.,ltd",삼진종합토건,한성규,E,기타,,,1148120643,137060,서울특별시 서초구 방배동 927-2 서진레지던스빌딩 3층,서울특별시 서초구 방배동 927-2 서진레지던스빌딩 3층,,02-586-1182~4,02-586-1185,,19870118,12,,,,,,,,,0,,0,,,,00467320,2017/06/30,20260101,20260101
1101110515960,주)성흥식품대표이사김종인,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110515986,(주)수도프리미엄엔지니어링,"Sudo Premium Engineering Co.,Ltd.",수도프리미엄엔지니어링,"안철, 박영만",E,기타,,,2148146851,06716,"서울특별시 서초구 반포대로4길 13 (서초동, 수도빌딩4층)",,www.sudo.co.kr,02-595-5799,02-595-5797,,19820501,12,,,,,,,,,0,,0,,,,01021286,2017/06/30,20200509,20260914
1101110515986,(주)수도프리미엄엔지니어링,"Sudo Premium Engineering Co.,Ltd.",수도프리미엄엔지니어링,"안철, 박영만",E,기타,,,2148146851,06716,"서울특별시 서초구 반포대로4길 13 (서초동, 수도빌딩4층)","서울특별시 서초구 반포대로4길 13 (서초동, 수도빌딩4층)",www.sudo.co.kr,02-595-5799,02-595-5797,,19820501,12,,,,,,,,,0,,0,,,,01021286,2017/06/30,20260101,20260101
1101110515986,㈜수도프리미엄엔지니어링,,,,,,,,,,경기도 광주시 도척면 1070,1070,,,,,,,,,,,,,,,0,,0,,,,,,20251008,20251014
1101110516009,(주)서일엔터프라이즈,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110516059,(주)다리흥업,DARI INDUSTRIAL CO,,송형하,,,,,2208112550,10207,경기도 고양시 일산서구 산율길42번길 3,구산동,,82-031-916-8580,031-916-8581,,19870114,,,,,,,,,,11,,0,,,,,,20200517,20200517
1101110516075,우량합섬(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516075,우량합섬(주),,,,,,,,,,,,,*,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516116,필운자동차,,,홍성훈,,,31,주식회사,2188108539,04808,서울 성동구 자동차시장1길 76,(용답동),,02  22440746,02  22442815,,19870109,,,,,,,,Y,,3,,0,,,,,,20200517,20211130
1101110516116,(주)필운자동차,"PHILWOON CAR CO.,LTD",,최석순,,,,,2188108539,04808,서울 성동구 용답동,234,,82-02-2244-0746,02-2244-2815,,19870109,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110516140,(주)진우상사,JINWOO CO LTD,,김상범,,,,,1128127301,08389,서울 구로구 구로3동,235번지한신IT타워  412호,,82-02-852-3311,02-852-3314,,19870109,,,,,,,,,,8,,0,,,,,,20200517,20200517
1101110516166,(주)한세실업,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110516174,(주)주원상사,CNW CORPORATION,,황원익,,,,,2128117802,06211,서울 강남구 역삼동,707-38테헤란빌딩  406,,82-02-565-7481,,,19870109,,,,,,,,,,20,,0,,,,,,20200517,20200517
1101110516215,세림용역(주),SAE RIM YUNG YUK,,이상철,,,,,1118111581,03321,서울특별시 은평구 갈현로33길 15,2층 (갈현동),,82-02-306-8800,02-386-8821,,19870110,,,,,,,,,,27,,0,,,,,,20200517,20200517
1101110516249,삼지비철금속(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516249,삼지비철금속(주),,,,,,,,,,,,,000000000000,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516314,(주)디자인삼과오,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516314,(주)디자인삼과오,,,,,,,,,,,,,02-0557-3535,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516322,(주)아이코닉레드,iconicred,아이코닉레드,유성재,E,기타,,,2208632153,135090,서울특별시 강남구 삼성동 41-19호 형빌딩 4층,,,02-3446-1516,02-3446-1517,,20020221,12,,,,,,,,,0,,0,,,,00456005,2017/06/30,20200509,20260914
1101110516322,(주)아이코닉레드,iconicred,아이코닉레드,유성재,E,기타,,,2208632153,135090,서울특별시 강남구 삼성동 41-19호 형빌딩 4층,서울특별시 강남구 삼성동 41-19호 형빌딩 4층,,02-3446-1516,02-3446-1517,,20020221,12,,,,,,,,,0,,0,,,,00456005,2017/06/30,20260101,20260101
1101110516348,범창유화(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516348,범창유화(주),,,,,,,,,,,,,6782790,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516364,(주)영정상역,"YOUNG JOUNG TRADING CO.,LTD",,전석태,,,,,2138119443,06259,서울 강남구 도곡동,941의5번지,,82-02-543-0449,02-3462-6050,,19870112,,,,,,,,,,2,,0,,,,,,20200517,20200517
1101110516380,현민산업(주),,,,,,,,,,서울특별시 성동구 둘레7길 12 성수동1가,성수동1가,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516380,현민산업(주),,,,,,,,,,서울특별시 성동구,둘레7길 12 (성수동1가),,024692700,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516413,효일종합설비(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516413,효일종합설비(주),,,,,,,,,,,,,554-3091,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516421,(주)한맥ENC,,,신대균,,,,,1068119484,15209,경기 안산시단원구 화정동,120,,82-031-403-4200,,,19870113,,,,,,,,,,6,,0,,,,,,20200517,20200517
1101110516463,씨유에이,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110516596,(주)정진약품,,,,,,,,,,서울특별시 구로구 공원로 70 대한산업안전협회 회관 구로동,대한산업안전협회 회관 구로동,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516596,(주)정진약품,,,,,,,,,,서울특별시 구로구,공원로 70 (대한산업안전협회 회관 구로동),,028371422,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516596,(주)정진약품,,,김광욱,,,,,1098142816,08289,서울 구로구 구로5동,23-1,,82-02-837-6850,,,19870113,,,,,,,,,,35,,0,,,,,,20200517,20200517
1101110516611,(주)예지무역,,,,,,,,,,서울특별시 영등포구,,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516611,(주)예지무역,,,,,,,,,,서울특별시 영등포구,,,028423693,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516661,(주)신영오에이,"SINYOUNG OA CO.,LTD.",,김태현,,,,,1048123129,10492,경기 고양시덕양구 행신동,181-3,,82-02-752-8989,,,19870120,,,,,,,,,,2,,0,,,,,,20200517,20200517
1101110516679,안건사,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110516687,대훈교역주),,,,,,,,2168105327,02140,서울 중랑구 면목동,146-75,,,,,,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110516695,(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,현신균,Q,유가,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,,www.lgcns.com,02-3777-1114,02)2099-0099,,19870114,12,25/02/05,,,,,,,,6890,12.89,116000000,삼일회계법인,적정의견,,00139834,2025/12/22,20260317,20260914
1101110516695,(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,현신균,Q,유가,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,,www.lgcns.com,02-3777-1114,02)2099-0099,,19870114,12,25/02/05,,,,,,,,6890,12.89,116000000,,,,00139834,2025/12/22,20260316,20260316
1101110516695,(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,현신균,Q,유가,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,,www.lgcns.com,02-3777-1114,02)2099-0099,,19870114,12,25/02/05,,,,,,,,6891,12.12,116000000,삼일회계법인,적정의견,,00139834,2025/12/22,20251222,20260315
1101110516695,(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,현신균,Q,유가,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,서울특별시 강서구 마곡중앙8로 71,www.lgcns.com,02-3777-1114,02)2099-0099,,19870114,12,25/02/05,,,,,,,,6891,12.12,116000000,삼일회계법인,적정의견,,00139834,2025/12/22,20260101,20260101
1101110516695,(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,현신균,Q,유가,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,,www.lgcns.com,02-3773-1114,02)2099-0099,,19870114,12,25/02/05,,,,,,,,6891,12.12,116000000,삼일회계법인,적정의견,,00139834,2025/02/05,20250312,20251221
1101110516695,(주)엘지씨엔에스,LG CNS,,현신균,,,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,LG사이언스파크 E13 (마곡동),,82-02-2099-1040,02-2099-0020,컴퓨터시스템 통합 자문 및 구축 서비스업,19870114,,,,,,,,,,0,,0,,,,,,20251008,20251014
1101110516695,(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,현신균,Q,유가,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,,www.lgcns.com,02-3773-1114,02)2099-0099,,19870114,12,25/02/05,,,,,,,,6891,12.12,116000000,,,,00139834,2025/02/05,20250311,20250311
1101110516695,(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,현신균,Q,유가,,,1168119477,07795,서울특별시 강서구 마곡중앙8로 71,,www.lgcns.com,02-3773-1114,02)2099-0099,,19870114,12,25/02/05,,,,,,,,6801,11.4,111000000,삼일회계법인,적정의견,,00139834,2025/02/05,20250205,20250310
1101110516695,주식회사엘지씨엔에스,"LG CNS Co., Ltd.",엘지씨엔에스,현신균,G,기타,,,1168119477,07795,"서울특별시 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크) LG CNS",,www.lgcns.com,02)3773-1114,02)2099-0099,,19870114,12,,,,,,,,,6801,11.4,111000000,삼일회계법인,적정의견,,00139834,2023/06/02,20240401,20250204
1101110516695,주식회사엘지씨엔에스,"LG CNS Co., Ltd.",엘지씨엔에스,현신균,G,기타,,,1168119477,07795,"서울특별시 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크) LG CNS",,www.lgcns.com,02)3773-1114,02)2099-0099,,19870114,12,,,,,,,,,6567,11.1,109000000,,,,00139834,2023/06/02,20230602,20240329
1101110516695,주식회사엘지씨엔에스,"LG CNS Co., Ltd.",엘지씨엔에스,김영섭,G,기타,,,1168119477,07795,"서울특별시 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크) LG CNS",,www.lgcns.com,02)3773-1114,02)2099-0099,,19870114,12,,,,,,,,,6567,11.1,109000000,,,,00139834,2023/02/15,20230331,20230601
1101110516695,주식회사엘지씨엔에스,"LG CNS Co., Ltd.",엘지씨엔에스,김영섭,G,기타,,,1168119477,07795,"서울특별시 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크) LG CNS",,www.lgcns.com,02)3773-1114,02)2099-0099,,19870114,12,,,,,,,,,6358,10.57,100000000,,,,00139834,2023/02/15,20220331,20230330
1101110516695,주식회사엘지씨엔에스,"LG CNS Co., Ltd.",엘지씨엔에스,김영섭,G,기타,,,1168119477,07795,"서울특별시 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크) LG CNS",,www.lgcns.com,02)3773-1114,02)2099-0099,,19870114,12,,,,,,,,,6175,11.5,93000000,,,,00139834,2022/02/23,20210331,20220330
1101110516695,주식회사엘지씨엔에스,"LG CNS Co., Ltd.",엘지씨엔에스,김영섭,G,기타,,,1168119477,07795,"서울특별시 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크) LG CNS",,www.lgcns.com,02)3773-1114,02)2099-0099,,19870114,12,,,,,,,,,6173,11.0,90000000,,,,00139834,2021/02/26,20200509,20210330
1101110516702,(주)서일,,,,,,,,,,경기도 파주시 명봉산로114번길 28 장곡리,장곡리,,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110516702,(주)서일,,,,,,,,,,경기도 파주시,"명봉산로114번길 28 ((장곡리,한양전공(주)))",,034809448188,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110516728,중앙설비엔지니어링(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
1101110516801,두산엔지니어링 주식회사,"Doosan Engineering Co.,Ltd",두산엔지니어링,김홍구,E,기타,,,2118601656,135280,서울특별시 강남구 논현동 105-7,,www.dseng.co.kr,02-3451-7000,02-3451-7200,,19780216,12,,,,,,,,,0,,0,,,,00204819,2017/06/30,20230704,20260914
1101110516801,두산엔지니어링 주식회사,"Doosan Engineering Co.,Ltd",두산엔지니어링,김홍구,E,기타,,,2118601656,135280,서울특별시 강남구 논현동 105-7,서울특별시 강남구 논현동 105-7,www.dseng.co.kr,02-3451-7000,02-3451-7200,,19780216,12,,,,,,,,,0,,0,,,,00204819,2017/06/30,20260101,20260101
1101110516801,두산엔지니어링 주식회사,"Doosan Engineering Co.,Ltd",두산엔지니어링,김홍구,E,기타,,,,135280,서울특별시 강남구 논현동 105-7,,www.dseng.co.kr,02-3451-7000,02-3451-7200,,19780216,12,,,,,,,,,0,,0,,,,00204819,2017/06/30,20200509,20230703
1101110516835,(주)허니문대리점,,,장동삼,,,,,1088136572,06956,서울 동작구 상도2동,368-11호,,82-02-822-5555,,,19870115,,,,,,,,,,2,,0,,,,,,20200517,20200517
1101110516869,(주)예종합건축사사무소,Y,,박춘명,,,,,2208125389,06254,서울특별시  강남구  도곡로7길  7,(역삼동),,82-02-569-8804,02-555-8661,,,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110516877,엘지전관판매(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20200509,20260914
